family,hierarchy,model_a,method_a,model_b,method_b,seed,bootstrap_rng_seed,fold,horizon,mae_a_report,mae_b_report,unit,n_paired,block_length,n_boot,mean_paired_diff,median_paired_diff,mae_independent,mae_reconciled,relative_mae_diff,abs_ci_low,abs_ci_high,rel_ci_low,rel_ci_high,prob_improvement,p_value_raw,abs_ci_crosses_zero,rel_ci_crosses_zero
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,1,0,1,1,0.8458250834966149,1.08740076279778,weighted_mean_pct,5261,32,5000,-0.241575679301165,-0.11073505125083027,1.08740076279778,0.8458250834966149,-0.22215882824986574,-0.29802712995959485,-0.18799177787406188,-0.2656038443980737,-0.1797416583924537,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,2,0,1,1,0.8458250834966149,1.08740076279778,weighted_mean_pct,5261,32,5000,-0.241575679301165,-0.11073505125083027,1.08740076279778,0.8458250834966149,-0.22215882824986574,-0.29802712995959485,-0.18799177787406188,-0.2656038443980737,-0.1797416583924537,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,0,0,1,8,0.8619293246865776,1.1046683251753342,weighted_mean_pct,4778,32,5000,-0.24273900048875655,-0.10776858784537802,1.1046683251753342,0.8619293246865776,-0.21973926015324893,-0.3002476489863159,-0.18522810227831765,-0.2658502156787064,-0.17432694012185276,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,1,0,1,8,0.8619293246865776,1.1046683251753342,weighted_mean_pct,4778,32,5000,-0.24273900048875655,-0.10776858784537802,1.1046683251753342,0.8619293246865776,-0.21973926015324893,-0.3002476489863159,-0.18522810227831765,-0.2658502156787064,-0.17432694012185276,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,2,0,1,8,0.8619293246865776,1.1046683251753342,weighted_mean_pct,4778,32,5000,-0.24273900048875655,-0.10776858784537802,1.1046683251753342,0.8619293246865776,-0.21973926015324893,-0.3002476489863159,-0.18522810227831765,-0.2658502156787064,-0.17432694012185276,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,0,0,1,16,0.8648501103571508,1.105875514139072,weighted_mean_pct,4317,32,5000,-0.241025403781921,-0.10585589402232731,1.105875514139072,0.8648501103571508,-0.21794985122675417,-0.30908064876963576,-0.18045994151440034,-0.2710082593797069,-0.17013333394439858,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,1,0,1,16,0.8648501103571508,1.105875514139072,weighted_mean_pct,4317,32,5000,-0.241025403781921,-0.10585589402232731,1.105875514139072,0.8648501103571508,-0.21794985122675417,-0.30908064876963576,-0.18045994151440034,-0.2710082593797069,-0.17013333394439858,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,2,0,1,16,0.8648501103571508,1.105875514139072,weighted_mean_pct,4317,32,5000,-0.241025403781921,-0.10585589402232731,1.105875514139072,0.8648501103571508,-0.21794985122675417,-0.30908064876963576,-0.18045994151440034,-0.2710082593797069,-0.17013333394439858,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,0,0,2,1,1.1492168649705437,1.4488408409865017,weighted_mean_pct,4852,32,5000,-0.2996239760159579,-0.07836812798957649,1.4488408409865017,1.1492168649705437,-0.20680254693258568,-0.37591044785727007,-0.22778460069251935,-0.2446481852745356,-0.1671913945146805,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,1,0,2,1,1.1492168649705437,1.4488408409865017,weighted_mean_pct,4852,32,5000,-0.2996239760159579,-0.07836812798957649,1.4488408409865017,1.1492168649705437,-0.20680254693258568,-0.37591044785727007,-0.22778460069251935,-0.2446481852745356,-0.1671913945146805,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,2,0,2,1,1.1492168649705437,1.4488408409865017,weighted_mean_pct,4852,32,5000,-0.2996239760159579,-0.07836812798957649,1.4488408409865017,1.1492168649705437,-0.20680254693258568,-0.37591044785727007,-0.22778460069251935,-0.2446481852745356,-0.1671913945146805,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,0,0,2,8,1.132114434314775,1.4494911511395023,weighted_mean_pct,4341,32,5000,-0.3173767168247274,-0.0796521634843188,1.4494911511395023,1.132114434314775,-0.21895733311322735,-0.3993403657244778,-0.24279909712609757,-0.2568667719037492,-0.17812118636818686,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,1,0,2,8,1.132114434314775,1.4494911511395023,weighted_mean_pct,4341,32,5000,-0.3173767168247274,-0.0796521634843188,1.4494911511395023,1.132114434314775,-0.21895733311322735,-0.3993403657244778,-0.24279909712609757,-0.2568667719037492,-0.17812118636818686,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,2,0,2,8,1.132114434314775,1.4494911511395023,weighted_mean_pct,4341,32,5000,-0.3173767168247274,-0.0796521634843188,1.4494911511395023,1.132114434314775,-0.21895733311322735,-0.3993403657244778,-0.24279909712609757,-0.2568667719037492,-0.17812118636818686,1.0,0.0,False,False
