target,model,horizon,context,n_seeds,mae_mean,mae_std,rmse_mean,rmse_std,mase_mean,mase_std,r2_mean,r2_std,train_time_mean,infer_time_mean
cluster_UM,xgboost,1,32,2,1151696627.2878482,0.0,3399633334.6104217,0.0,1.147825197985077,0.0,0.4686806413355441,0.0,0.44536468699971005,0.0056336039997404
cluster_UM,xgboost,8,32,2,1780138678.8793209,0.0,4217001412.803589,0.0,1.774154741025271,0.0,0.1834046729371171,0.0,3.7586612289996992,0.0264717289996951
cluster_mean_CU,dlinear,1,32,2,1.38640172368066,0.04422015953276454,3.0202427036927046,0.03988749850096996,1.2197081080870817,0.038903361270950475,0.49361822254771043,0.013374117947430236,0.4671985625000161,0.00101425000002555
cluster_mean_CU,dlinear,4,32,1,1.6998969355393585,,3.7358819303912782,,1.495510312613629,,0.2256896147891687,,0.3519854999995004,0.0010712080002122
cluster_mean_CU,dlinear,8,32,2,1.7611209864535,0.003510485931957483,3.821967038543746,0.00027113122697828326,1.5493731072383101,0.0030884036577557544,0.19015960985215108,0.00011490052942410418,0.22334691649984956,0.00104418800037815
cluster_mean_CU,drift,1,32,1,1.45603443563382,,3.3695707920058995,,1.280968550790429,,0.3697604134557858,,6.670006769127212e-07,4.875000013271347e-05
cluster_mean_CU,drift,4,32,1,2.1249474559689903,,5.052910077434362,,1.8694550050208865,,-0.4164848657161277,,5.000001692678779e-07,8.60840000314056e-05
cluster_mean_CU,ewma,1,32,2,1.626448471147904,0.0,3.6659690275935337,0.0,1.430892903377461,0.0,0.2540081351005648,0.0,5.625001904263627e-07,0.0002699579999898
cluster_mean_CU,ewma,4,32,1,1.9398962415543703,,4.332990627284087,,1.706653370561247,,-0.0416079810180134,,7.500002539018169e-07,0.0002729160005401
cluster_mean_CU,ewma,8,32,2,2.089961909073555,0.0,4.539866067152922,0.0,1.8386759353722015,0.0,-0.1426458293934245,0.0,5.834995135955978e-07,0.0002634169995872
cluster_mean_CU,historical_mean,1,32,1,1.976581650919062,,4.274839839929822,,1.7389279202003058,,-0.0143695527695286,,3.7957999666105025e-05,1.316699945164146e-05
cluster_mean_CU,historical_mean,4,32,1,1.976562924009693,,4.276224120013216,,1.7389114449155405,,-0.0144945477298097,,2.845800008799415e-05,2.708000465645455e-06
cluster_mean_CU,lightgbm,1,32,2,1.1517693053776599,0.009430346343807742,2.541457024676337,0.02401448271455158,1.0132866516390313,0.008296491342404662,0.6414568440752049,0.006775518113953193,0.2861501244997271,0.0030917290000615997
cluster_mean_CU,lightgbm,4,32,1,1.4880666931847275,,3.304542502622641,,1.3091494189961117,,0.3941690115872323,,0.852408749999995,0.0081412079998699
cluster_mean_CU,lightgbm,8,32,2,1.6079375817850308,0.0,3.5538872769286516,0.0,1.4146076655144706,0.0,0.2997826707415739,0.0,2.9766576874999373,0.03377029150033195
cluster_mean_CU,lstm,1,32,2,1.927652800196156,0.0013388077750037277,4.290331481614601,0.0004923099776376186,1.695882015880688,0.0011778366042470107,-0.02173485212135005,0.0002344854988682511,13.609825958500096,0.12629979200028169
cluster_mean_CU,lstm,8,32,2,1.9269499665069985,0.010884737368170484,4.29494703309987,0.0038494826382513996,1.6952636871995708,0.009576014077009155,-0.022683752872183202,0.0018332248288542665,14.666704124999342,0.1096665625000241
cluster_mean_CU,moving_average,1,32,1,1.8940960570380772,,4.137720163856204,,1.6663599581597528,,0.0496605888104503,,1.207999957841821e-06,0.0001659159997871
cluster_mean_CU,moving_average,4,32,1,2.0813019805828668,,4.464339343717369,,1.8310572309122095,,-0.1057149899994847,,3.8749994928366505e-06,0.0003047919999517
cluster_mean_CU,persistence,1,32,2,1.421018713915566,0.0,3.3119138672508623,0.0,1.2501629343801364,0.0,0.3911440201995528,0.0,3.045850007765694e-05,2.0829997993132565e-06
cluster_mean_CU,persistence,4,32,1,1.991979444902721,,4.787488300400313,,1.7524743648185823,,-0.271581646866569,,2.845800008799415e-05,3.162499979225686e-05
cluster_mean_CU,persistence,8,32,2,2.248095380527262,0.0,5.246793735064202,0.0,1.9777962740140125,0.0,-0.5262073474663225,0.0,4.441700048118946e-05,3.856249986711191e-05
cluster_mean_CU,ridge,1,32,2,1.3935553602445252,0.0,2.967076236593113,0.0,1.2260016292002045,0.0,0.5113319790441837,0.0,0.00796270800037745,0.00012916649984615
cluster_mean_CU,ridge,4,32,1,1.7050936626718265,,3.6614166790116793,,1.5000822127423736,,0.2562497738245136,,0.0119089999998323,0.0004420830000526
cluster_mean_CU,ridge,8,32,2,1.7645939864272109,0.0,3.775335467555578,0.0,1.5524285320513111,0.0,0.2098006764652188,0.0,0.02029787499986915,0.0008954165000431499
cluster_mean_CU,xgboost,1,32,2,1.1397498981624845,0.0,2.5544041637746133,0.0,1.002712394420258,0.0,0.6378106003532038,0.0,1.1869701669997994,0.00379843749988135
cluster_mean_CU,xgboost,8,32,2,1.6174530046039808,0.0,3.5910894166651772,0.0,1.4229790041863082,0.0,0.2850461726027884,0.0,7.645032916999753,0.02721214549956125
