run_id,experiment_stage,eligible_for_final_claims,evaluation_role,scope,target,model,horizon,context,seed,mae,rmse,mse,smape,mape,mape_fraction_excluded,mase,r2,nrmse,medae,maxae,peak_recall,peak_precision,training_time_sec,inference_time_sec,n_parameters,runtime_sec,n_test_windows
local__cluster_UM__h4__c32__ridge__seed0,pilot,False,development_benchmark,local,cluster_UM,ridge,4,32,0,1500638419.8124874,3960287447.510822,1.568387666691178e+19,1.1906170569296377,1.1651687267328878,0.0,1.4955940223438526,0.2793257282487605,0.0631932559024503,447047818.19773865,59734796195.90979,0.3191287878787879,0.6753507014028056,0.0064536659992882,0.0003232919998481,132,1.7304671660003803,4951
local__cluster_UM__h4__c32__lightgbm__seed0,pilot,False,development_benchmark,local,cluster_UM,lightgbm,4,32,0,1545231001.7820466,3948874126.92606,1.5593606870306054e+19,1.226681264935482,1.208273348479589,0.0,1.5400367063069118,0.2834736262022818,0.0630111365745054,468431723.1614609,60017660997.99675,0.3598484848484848,0.6451612903225806,0.67708841700005,0.0082365419993948,-200,2.379436791000444,4951
local__cluster_UM__h4__c32__persistence__seed0,pilot,False,development_benchmark,local,cluster_UM,persistence,4,32,0,1619313889.648152,4669710932.251469,2.180620019078888e+19,1.2596323875611608,1.2499541538186836,0.0,1.6138705644753315,-0.0019950918966835,0.0745133381966286,351684608.0,59590508544.0,0.4725378787878788,0.4725378787878788,2.949999998236308e-05,2.8542000109155197e-05,0,1.7898285000001124,4951
local__cluster_UM__h4__c32__ewma__seed0,pilot,False,development_benchmark,local,cluster_UM,ewma,4,32,0,1669245053.0026,4309760019.94972,1.857403142955701e+19,1.318008278763354,1.296692460252442,0.0,1.6636338841769014,0.1465230913081161,0.068769697005204,424932763.2258682,59636056739.00464,0.3996212121212121,0.4323770491803279,5.000001692678779e-07,0.0002493330002835,1,1.728877958999874,4951
local__cluster_UM__h4__c32__drift__seed0,pilot,False,development_benchmark,local,cluster_UM,drift,4,32,0,1773659584.04712,4927916936.345571,2.428436533152151e+19,1.3800830265335613,1.3743844091330255,0.0,1.7676974256764812,-0.1158668020615949,0.0786334628866996,401931891.6129074,59594391816.25807,0.4715909090909091,0.4252775405636208,4.160001481068321e-07,6.287499945756281e-05,0,1.668596458999673,4951
local__cluster_UM__h4__c32__moving_average__seed0,pilot,False,development_benchmark,local,cluster_UM,moving_average,4,32,0,1884252805.3516464,4617135587.2717705,2.1317941031251436e+19,1.488599512851842,1.4684091915754616,0.0,1.8779188877629096,0.0204404208084038,0.0736744073681227,480503040.0,59861074432.0,0.2471590909090909,0.3034883720930232,9.169998520519584e-07,0.0001637909999772,1,1.744555207999838,4951
local__cluster_UM__h4__c32__historical_mean__seed0,pilot,False,development_benchmark,local,cluster_UM,historical_mean,4,32,0,2015245844.543777,4847128180.956691,2.3494651602624516e+19,1.6143406205036874,1.5538593412306578,0.0,2.0084715937298045,-0.079579449224558,0.0773443381549737,860613362.742096,60511673613.257904,0.0,0.0,2.5834000553004444e-05,3.500000275380444e-06,1,1.7090416669998376,4951
local__cluster_UM__h4__c32__dlinear__seed0,pilot,False,development_benchmark,local,cluster_UM,dlinear,4,32,0,157703698298.10544,160517129875.1389,2.57657489833522e+22,195.59348439057092,130.59171435833358,0.0,157.17357716700133,-1182.936393983315,2.5613292467702355,161759707136.0,256575651840.0,0.0,0.0,0.1756467499999416,0.0010488750003787,264,1.842760124999586,4951
local__cluster_UM__h8__c32__ridge__seed0,pilot,False,development_benchmark,local,cluster_UM,ridge,8,32,0,1693538922.612974,4213741537.788544,1.7755617747284564e+19,1.3459293944391308,1.3169145534679254,0.0,1.6878460899215846,0.1846666928129285,0.067237555564716,500172351.5999069,59997910756.20181,0.1680871212121212,0.5986509274873525,0.0105641669997567,0.0006579999999303,264,1.6551505000006728,4947
local__cluster_UM__h8__c32__ridge__seed1,pilot,False,development_benchmark,local,cluster_UM,ridge,8,32,1,1693538922.612974,4213741537.788544,1.7755617747284564e+19,1.3459293944391308,1.3169145534679254,0.0,1.6878460899215846,0.1846666928129285,0.067237555564716,500172351.5999069,59997910756.20181,0.1680871212121212,0.5986509274873525,0.0097404159996585,0.0006338749999486,264,1.607497666999734,4947
local__cluster_UM__h8__c32__lightgbm__seed0,pilot,False,development_benchmark,local,cluster_UM,lightgbm,8,32,0,1778892495.1504622,4198872783.42433,1.7630532651381584e+19,1.4140799920555305,1.3944240915199104,0.0,1.7729127463441965,0.1904105675895742,0.0670002987968824,550182265.8426056,59599494581.6694,0.1950757575757575,0.4681818181818182,2.558434292000129,0.0295426249995216,-800,4.266465374999825,4947
local__cluster_UM__h8__c32__lightgbm__seed1,pilot,False,development_benchmark,local,cluster_UM,lightgbm,8,32,1,1778892495.1504622,4198872783.42433,1.7630532651381584e+19,1.4140799920555305,1.3944240915199104,0.0,1.7729127463441965,0.1904105675895742,0.0670002987968824,550182265.8426056,59599494581.6694,0.1950757575757575,0.4681818181818182,2.463596833000338,0.0288161250000484,-800,4.228669541999807,4947
local__cluster_UM__h8__c32__xgboost__seed0,pilot,False,development_benchmark,local,cluster_UM,xgboost,8,32,0,1780138678.8793209,4217001412.803589,1.7783100915587463e+19,1.414797786239978,1.3951628431002028,0.0,1.774154741025271,0.1834046729371171,0.0672895725252942,554123264.0,59748376576.0,0.1941287878787878,0.4772991850989522,3.7862825829997746,0.0264542499999151,4800,5.4809001670000725,4947
local__cluster_UM__h8__c32__xgboost__seed1,pilot,False,development_benchmark,local,cluster_UM,xgboost,8,32,1,1780138678.8793209,4217001412.803589,1.7783100915587463e+19,1.414797786239978,1.3951628431002028,0.0,1.774154741025271,0.1834046729371171,0.0672895725252942,554123264.0,59748376576.0,0.1941287878787878,0.4772991850989522,3.731039874999624,0.0264892079994751,4800,5.4104468750001615,4947
local__cluster_UM__h8__c32__ewma__seed0,pilot,False,development_benchmark,local,cluster_UM,ewma,8,32,0,1939730114.432161,4747102981.043423,2.2534986712631353e+19,1.5338981517815584,1.5132892640135116,0.0,1.9332097098164387,-0.0348006757825345,0.0757482625825337,501084332.25286865,59905575785.40207,0.2613636363636363,0.2827868852459016,6.250002115848474e-07,0.0002727080000113,1,2.0190356659995814,4947
local__cluster_UM__h8__c32__ewma__seed1,pilot,False,development_benchmark,local,cluster_UM,ewma,8,32,1,1939730114.432161,4747102981.043423,2.2534986712631353e+19,1.5338981517815584,1.5132892640135116,0.0,1.9332097098164387,-0.0348006757825345,0.0757482625825337,501084332.25286865,59905575785.40207,0.2613636363636363,0.2827868852459016,5.410001904238015e-07,0.0002754170000116,1,1.808080875000087,4947
local__cluster_UM__h8__c32__persistence__seed0,pilot,False,development_benchmark,local,cluster_UM,persistence,8,32,0,1991975295.3531432,5272294406.260992,2.779708830629094e+19,1.555394613861816,1.5481918651238495,0.0,1.9852792685123015,-0.2764349999822082,0.084128602790517,437694464.0,60180971520.0,0.3143939393939394,0.3143939393939394,5.558399971050676e-05,3.9958000343176536e-05,0,1.6489142910004375,4947
local__cluster_UM__h8__c32__persistence__seed1,pilot,False,development_benchmark,local,cluster_UM,persistence,8,32,1,1991975295.3531432,5272294406.260992,2.779708830629094e+19,1.555394613861816,1.5481918651238495,0.0,1.9852792685123015,-0.2764349999822082,0.084128602790517,437694464.0,60180971520.0,0.3143939393939394,0.3143939393939394,4.2583000322338194e-05,3.412500063859625e-05,0,1.6714862079998056,4947
local__cluster_UM__h8__c32__dlinear__seed0,pilot,False,development_benchmark,local,cluster_UM,dlinear,8,32,0,97103969627.07742,114729278954.93674,1.3162807449519689e+22,114.69646754667107,80.37743098582065,0.0,96.77755454126186,-603.432663646682,1.83070465984985,84531149824.0,230593798144.0,0.0359848484848484,0.5588235294117647,0.2663058750003984,0.001019833999635,528,1.903307166999184,4947
local__cluster_UM__h8__c32__lstm__seed0,pilot,False,development_benchmark,local,cluster_UM,lstm,8,32,0,120795982277.95969,120886088787.91943,1.461344646244074e+22,199.99999999663993,99.99999999915998,0.0,120.3899264691924,-670.0456264156285,1.928947240590534,119614459903.10152,179990249471.32254,0.0,0.0,5.2324128339996605,0.1184387919993241,17672,7.116119209000317,4947
local__cluster_UM__h8__c32__lstm__seed1,pilot,False,development_benchmark,local,cluster_UM,lstm,8,32,1,120795982278.13889,120886088788.0985,1.4613446462484037e+22,199.999999997234,99.99999999930851,0.0,120.389926469371,-670.0456264176164,1.928947240593391,119614459903.28204,179990249471.5637,0.0,0.0,5.848702582999977,0.1214303750002727,17672,7.83178074999978,4947
local__cluster_UM__h8__c32__dlinear__seed1,pilot,False,development_benchmark,local,cluster_UM,dlinear,8,32,1,138260354467.05316,150772271539.57617,2.2732277865203693e+22,163.48923257608908,114.4817553505239,0.0,137.7955921546413,-1042.8602337317452,2.405833128194449,131136365056.0,314990157824.0,0.0,0.0,0.2752053339991107,0.0010190829998464,528,2.078310457999578,4947
local__cluster_mean_CU__h1__c32__xgboost__seed0,pilot,False,development_benchmark,local,cluster_mean_CU,xgboost,1,32,0,1.1397498981624845,2.5544041637746133,6.524980631909083,20.570942053989864,23.64629061275846,0.0,1.002712394420258,0.6378106003532038,0.0776027703045099,0.3914460745186146,26.111375359676817,0.6731234866828087,0.6435185185185185,1.0696045419999791,0.0033647499994913,600,2.8497403750006924,4954
local__cluster_mean_CU__h1__c32__xgboost__seed1,pilot,False,development_benchmark,local,cluster_mean_CU,xgboost,1,32,1,1.1397498981624845,2.5544041637746133,6.524980631909083,20.570942053989864,23.64629061275846,0.0,1.002712394420258,0.6378106003532038,0.0776027703045099,0.3914460745186146,26.111375359676817,0.6731234866828087,0.6435185185185185,1.3043357919996197,0.0042321250002714,600,3.248700791000374,4954
local__cluster_mean_CU__h1__c32__lightgbm__seed1,pilot,False,development_benchmark,local,cluster_mean_CU,lightgbm,1,32,1,1.1451010435290156,2.5244762211021903,6.372980190910395,20.743045876925116,24.038023658512273,0.0,1.0074201463507615,0.6462478588796334,0.076693559736413,0.3983075297438656,24.265893428782903,0.6561743341404358,0.625866050808314,0.3541026659995623,0.0032071250006993,-100,1.9950942499999655,4954
local__cluster_mean_CU__h1__c32__lightgbm__seed0,pilot,False,development_benchmark,local,cluster_mean_CU,lightgbm,1,32,0,1.158437567226304,2.5584378282504834,6.545604121023049,20.937708114461017,24.347715251640707,0.0,1.0191531569273011,0.6366658292707762,0.0777253129867704,0.3961139832756009,24.789819349258035,0.6343825665859564,0.6150234741784038,0.2181975829998919,0.0029763329994239,-50,1.913902374999452,4954
local__cluster_mean_CU__h1__c32__dlinear__seed1,pilot,False,development_benchmark,local,cluster_mean_CU,dlinear,1,32,1,1.3551333490098914,2.9920379830181005,8.952291291823023,25.28902070439787,27.199406230394175,0.0,1.1921992775214425,0.5030751520407271,0.0908980809033045,0.5482755563275463,27.49243721827277,0.5302663438256658,0.6403508771929824,0.2078721249999944,0.0010184169996136,66,2.0388955420003185,4954
local__cluster_mean_CU__h1__c32__ridge__seed0,pilot,False,development_benchmark,local,cluster_mean_CU,ridge,1,32,0,1.3935553602445252,2.967076236593113,8.803541393755552,26.69306467652192,29.825283258963996,0.0,1.2260016292002045,0.5113319790441837,0.0901397433223967,0.5933883100391422,27.383193555685978,0.549636803874092,0.6202185792349727,0.0131524160005938,0.0001306669992118,65,1.7623573749997377,4954
local__cluster_mean_CU__h1__c32__ridge__seed1,pilot,False,development_benchmark,local,cluster_mean_CU,ridge,1,32,1,1.3935553602445252,2.967076236593113,8.803541393755552,26.69306467652192,29.825283258963996,0.0,1.2260016292002045,0.5113319790441837,0.0901397433223967,0.5933883100391422,27.383193555685978,0.549636803874092,0.6202185792349727,0.0027730000001611,0.0001276660004805,65,1.6979011249995892,4954
local__cluster_mean_CU__h1__c32__dlinear__seed0,pilot,False,development_benchmark,local,cluster_mean_CU,dlinear,1,32,0,1.417670098351429,3.0484474243673088,9.293031699131678,25.861261048007712,28.806625384578172,0.0,1.2472169386527208,0.4841612930546938,0.0926117991089465,0.5521165567937445,28.028839920604312,0.549636803874092,0.5776081424936387,0.7265250000000378,0.0010100830004375,66,2.4007764160005536,4954
local__cluster_mean_CU__h1__c32__persistence__seed0,pilot,False,development_benchmark,local,cluster_mean_CU,persistence,1,32,0,1.421018713915566,3.3119138672508623,10.968773464088562,24.968208991937797,27.99247757303694,0.0,1.2501629343801364,0.3911440201995528,0.1006159067360756,0.4914880953910854,28.4163756614382,0.6004842615012107,0.6004842615012107,4.354199973022333e-05,3.582999852369539e-06,0,2.8833145420003348,4954
local__cluster_mean_CU__h1__c32__persistence__seed1,pilot,False,development_benchmark,local,cluster_mean_CU,persistence,1,32,1,1.421018713915566,3.3119138672508623,10.968773464088562,24.968208991937797,27.99247757303694,0.0,1.2501629343801364,0.3911440201995528,0.1006159067360756,0.4914880953910854,28.4163756614382,0.6004842615012107,0.6004842615012107,1.7375000425090548e-05,5.829997462569736e-07,0,1.6396225409998806,4954
