family,family_size,model_a,method_a,model_b,method_b,fold,horizon,p_value_raw,p_value_holm,holm_rank,reject_holm_0.05,relative_mae_diff_mean,n_seeds
memory_lightgbm_reconciliation,54,lightgbm,wls,ewma,independent,2,8,0.0,0.0,17,True,0.1226022751681215,3
memory_lightgbm_reconciliation,54,lightgbm,wls,ewma,independent,2,16,0.0008,0.012,40,True,0.0952568546289999,3
memory_lightgbm_reconciliation,54,lightgbm,wls,lightgbm,independent,0,1,0.6124,1.0,50,False,0.0109322376988525,3
memory_lightgbm_reconciliation,54,lightgbm,wls,lightgbm,independent,0,8,0.0252,0.2016,47,False,0.0588730527846076,3
memory_lightgbm_reconciliation,54,lightgbm,wls,lightgbm,independent,0,16,0.0144,0.144,45,False,0.0612851744595622,3
memory_lightgbm_reconciliation,54,lightgbm,wls,lightgbm,independent,1,1,0.0,0.0,18,True,-0.0966356946477463,3
memory_lightgbm_reconciliation,54,lightgbm,wls,lightgbm,independent,1,8,0.0336,0.2352,48,False,-0.0245280449740042,3
memory_lightgbm_reconciliation,54,lightgbm,wls,lightgbm,independent,1,16,0.678,1.0,52,False,0.0050993054022417,3
memory_lightgbm_reconciliation,54,lightgbm,wls,lightgbm,independent,2,1,0.0,0.0,19,True,-0.0756382146799501,3
memory_lightgbm_reconciliation,54,lightgbm,wls,lightgbm,independent,2,8,0.0,0.0,4,True,-0.0790128689894755,3
memory_lightgbm_reconciliation,54,lightgbm,wls,lightgbm,independent,2,16,0.0,0.0,22,True,-0.1036707549222403,3
cpu_dlinear_vs_deterministic,36,dlinear,independent,ewma,independent,0,1,0.0,0.0,1,True,-0.066457019530174,3
cpu_dlinear_vs_deterministic,36,dlinear,independent,ewma,independent,0,8,0.0017333333333333,0.0225333333333333,24,True,-0.0574119047555197,3
cpu_dlinear_vs_deterministic,36,dlinear,independent,ewma,independent,0,16,0.0001333333333333,0.0025333333333333,20,True,-0.0606396108594851,3
cpu_dlinear_vs_deterministic,36,dlinear,independent,ewma,independent,1,1,0.0003999999999999,0.0063999999999999,21,True,-0.0511859355023644,3
cpu_dlinear_vs_deterministic,36,dlinear,independent,ewma,independent,1,8,0.0,0.0,17,True,-0.061502077206205,3
cpu_dlinear_vs_deterministic,36,dlinear,independent,ewma,independent,1,16,0.0,0.0,15,True,-0.0655165419438038,3
cpu_dlinear_vs_deterministic,36,dlinear,independent,ewma,independent,2,1,0.0004,0.0063999999999999,22,True,-0.043168926606307,3
