hierarchy,base_model,horizon,fold,method_b,relative_mae_diff,rel_ci_low,rel_ci_high,rel_ci_crosses_zero,prob_improvement,p_value_raw,n_boot,block_length,n_paired
cpu_core_weighted,persistence,16,2,mint,-4.756460526884258e-16,-6.144413437810314e-16,-3.3804830432904747e-16,False,1.0,0.0,5000,32,3798
cpu_core_weighted,ridge,1,0,bottom_up,-0.1016320551448976,-0.12398347980560713,-0.08082610943334716,False,1.0,0.0,5000,32,4847
cpu_core_weighted,ridge,1,0,wls,-0.08610786014336082,-0.10219683612232162,-0.07210951520312037,False,1.0,0.0,5000,32,4847
cpu_core_weighted,ridge,1,0,mint,-0.09689327193757581,-0.1161657290892993,-0.07977238096695403,False,1.0,0.0,5000,32,4847
cpu_core_weighted,ridge,1,1,bottom_up,-0.11808614192901792,-0.14369645512409654,-0.09721159206529999,False,1.0,0.0,5000,32,5261
cpu_core_weighted,ridge,1,1,wls,-0.09983265049545272,-0.11808369088264416,-0.08559359814077404,False,1.0,0.0,5000,32,5261
cpu_core_weighted,ridge,1,1,mint,-0.10257660551633946,-0.12155591801631105,-0.08773568674887791,False,1.0,0.0,5000,32,5261
cpu_core_weighted,ridge,1,2,bottom_up,-0.056914740357961645,-0.0744573759620417,-0.03859932521284691,False,1.0,0.0,5000,32,4852
cpu_core_weighted,ridge,1,2,wls,-0.05916341678053512,-0.07131030692319579,-0.0471904260325691,False,1.0,0.0,5000,32,4852
cpu_core_weighted,ridge,1,2,mint,-0.061731969288064,-0.0757499952047544,-0.04780953271216601,False,1.0,0.0,5000,32,4852
cpu_core_weighted,ridge,8,0,bottom_up,-0.1036504194909226,-0.12910848914546155,-0.08145184092445211,False,1.0,0.0,5000,32,4295
cpu_core_weighted,ridge,8,0,wls,-0.08443945026125624,-0.10155175732477013,-0.07017732823337425,False,1.0,0.0,5000,32,4295
cpu_core_weighted,ridge,8,0,mint,-0.09831847070101316,-0.1200166506022386,-0.0796783453760919,False,1.0,0.0,5000,32,4295
cpu_core_weighted,ridge,8,1,bottom_up,-0.11684109308836374,-0.14496019291097356,-0.09466600877403769,False,1.0,0.0,5000,32,4778
cpu_core_weighted,ridge,8,1,wls,-0.09808273451271912,-0.1178091018659316,-0.08274693248873294,False,1.0,0.0,5000,32,4778
cpu_core_weighted,ridge,8,1,mint,-0.10111410791222684,-0.12173175041154642,-0.0850350712183817,False,1.0,0.0,5000,32,4778
cpu_core_weighted,ridge,8,2,bottom_up,-0.06600172491844411,-0.08411479254698596,-0.046320649006365316,False,1.0,0.0,5000,32,4341
cpu_core_weighted,ridge,8,2,wls,-0.06446614079604941,-0.07703813937263324,-0.05098753565539748,False,1.0,0.0,5000,32,4341
cpu_core_weighted,ridge,8,2,mint,-0.06814349684017511,-0.08272423214007892,-0.05259149425406612,False,1.0,0.0,5000,32,4341
cpu_core_weighted,ridge,16,0,bottom_up,-0.10726584241339394,-0.13441757948083358,-0.08470863711925611,False,1.0,0.0,5000,32,3707
cpu_core_weighted,ridge,16,0,wls,-0.0861720536410025,-0.10477423373111454,-0.07122665698510212,False,1.0,0.0,5000,32,3707
cpu_core_weighted,ridge,16,0,mint,-0.10143572643683753,-0.12537312961771677,-0.08211605236643467,False,1.0,0.0,5000,32,3707
cpu_core_weighted,ridge,16,1,bottom_up,-0.11769941736554115,-0.1471578947835123,-0.09480276065670429,False,1.0,0.0,5000,32,4317
cpu_core_weighted,ridge,16,1,wls,-0.09897850704186356,-0.12005584612842721,-0.08328963015602847,False,1.0,0.0,5000,32,4317
cpu_core_weighted,ridge,16,1,mint,-0.10212848448188223,-0.12413778727779763,-0.08564183859596056,False,1.0,0.0,5000,32,4317
cpu_core_weighted,ridge,16,2,bottom_up,-0.06180008933902274,-0.08264705548702404,-0.04097094533036775,False,1.0,0.0,5000,32,3798
cpu_core_weighted,ridge,16,2,wls,-0.061463593339453254,-0.07592743829038213,-0.047627578736830045,False,1.0,0.0,5000,32,3798
cpu_core_weighted,ridge,16,2,mint,-0.06450722382492587,-0.08091972221652066,-0.048573237048610364,False,1.0,0.0,5000,32,3798
cpu_core_weighted,lightgbm,1,0,bottom_up,-0.09330899256243341,-0.1310077321095921,-0.055331543094769085,False,1.0,0.0,5000,32,4847
cpu_core_weighted,lightgbm,1,0,wls,-0.09876764591525787,-0.11951816789295366,-0.07832253672809089,False,1.0,0.0,5000,32,4847
cpu_core_weighted,lightgbm,1,0,mint,-0.10071003332852008,-0.12269060745535496,-0.07903395448390742,False,1.0,0.0,5000,32,4847
cpu_core_weighted,lightgbm,1,1,bottom_up,-0.07717925236653382,-0.12234173838922459,-0.03330019822253519,False,0.9988,0.0024,5000,32,5261
cpu_core_weighted,lightgbm,1,1,wls,-0.08566796483239265,-0.11327959032944716,-0.05733575632177113,False,1.0,0.0,5000,32,5261
cpu_core_weighted,lightgbm,1,1,mint,-0.08599750550226194,-0.11423435532520912,-0.05712996753551647,False,1.0,0.0,5000,32,5261
cpu_core_weighted,lightgbm,1,2,bottom_up,-0.11195607588786474,-0.14529773315047104,-0.07491041212115082,False,1.0,0.0,5000,32,4852
cpu_core_weighted,lightgbm,1,2,wls,-0.1154836356358882,-0.13844268371209645,-0.09131780544191749,False,1.0,0.0,5000,32,4852
cpu_core_weighted,lightgbm,1,2,mint,-0.1200825828937573,-0.14761516207941217,-0.08981749290632834,False,1.0,0.0,5000,32,4852
cpu_core_weighted,lightgbm,8,0,bottom_up,-0.08554422343579791,-0.1261671124365099,-0.047082693036416975,False,1.0,0.0,5000,32,4295
cpu_core_weighted,lightgbm,8,0,wls,-0.09489588230971382,-0.11598208849306406,-0.07567532718434893,False,1.0,0.0,5000,32,4295
cpu_core_weighted,lightgbm,8,0,mint,-0.10060648182532889,-0.12641036158796573,-0.07733002541946907,False,1.0,0.0,5000,32,4295
cpu_core_weighted,lightgbm,8,1,bottom_up,-0.07868394605972472,-0.12774326065375077,-0.03164985638767597,False,0.9996,0.0008,5000,32,4778
cpu_core_weighted,lightgbm,8,1,wls,-0.08647449536504995,-0.11543640237347216,-0.05735988778616186,False,1.0,0.0,5000,32,4778
cpu_core_weighted,lightgbm,8,1,mint,-0.08601607139358783,-0.11439071802043962,-0.05749061256799231,False,1.0,0.0,5000,32,4778
cpu_core_weighted,lightgbm,8,2,bottom_up,-0.09809843903529403,-0.13427687975237543,-0.058183538223792554,False,1.0,0.0,5000,32,4341
cpu_core_weighted,lightgbm,8,2,wls,-0.10637782532783681,-0.13129342945569036,-0.0800199306217958,False,1.0,0.0,5000,32,4341
cpu_core_weighted,lightgbm,8,2,mint,-0.10798502669144082,-0.1380641933115599,-0.07561581536414326,False,1.0,0.0,5000,32,4341
cpu_core_weighted,lightgbm,16,0,bottom_up,-0.07737450000349783,-0.12528405725151265,-0.028923053472727056,False,0.9996,0.0008,5000,32,3707
cpu_core_weighted,lightgbm,16,0,wls,-0.0887298405573946,-0.11337028493085947,-0.06458218177504231,False,1.0,0.0,5000,32,3707
cpu_core_weighted,lightgbm,16,0,mint,-0.09322664389371522,-0.12415167392870685,-0.06318192675399276,False,1.0,0.0,5000,32,3707
cpu_core_weighted,lightgbm,16,1,bottom_up,-0.07568509510517281,-0.1259852105611831,-0.029345091467438703,False,0.9982,0.0036,5000,32,4317
cpu_core_weighted,lightgbm,16,1,wls,-0.08738737961765332,-0.11793930476318558,-0.0570130200043684,False,1.0,0.0,5000,32,4317
cpu_core_weighted,lightgbm,16,1,mint,-0.08632915059549583,-0.11547304133141514,-0.05723135088179041,False,1.0,0.0,5000,32,4317
cpu_core_weighted,lightgbm,16,2,bottom_up,-0.11113927801786386,-0.14527075274188253,-0.07514902934416454,False,1.0,0.0,5000,32,3798
cpu_core_weighted,lightgbm,16,2,wls,-0.1160214460539701,-0.1392365366589506,-0.09128070274623873,False,1.0,0.0,5000,32,3798
cpu_core_weighted,lightgbm,16,2,mint,-0.11924211287084303,-0.14757140361503743,-0.0896639937970474,False,1.0,0.0,5000,32,3798
cpu_core_weighted,dlinear,1,0,bottom_up,-0.07152816093927415,-0.09260377808928948,-0.051213532540086884,False,1.0,0.0,5000,32,4847
cpu_core_weighted,dlinear,1,0,wls,-0.06312416650135683,-0.07784689788284888,-0.04937554967849836,False,1.0,0.0,5000,32,4847
cpu_core_weighted,dlinear,1,0,mint,-0.06907039283568797,-0.08640479337600454,-0.05288779708716835,False,1.0,0.0,5000,32,4847
cpu_core_weighted,dlinear,1,1,bottom_up,-0.11820977345429363,-0.1417521841265584,-0.09905231341233085,False,1.0,0.0,5000,32,5261
cpu_core_weighted,dlinear,1,1,wls,-0.0977921306276794,-0.11440784318249217,-0.08476495459639584,False,1.0,0.0,5000,32,5261
cpu_core_weighted,dlinear,1,1,mint,-0.09945198258982814,-0.11645794816850143,-0.0861665613225491,False,1.0,0.0,5000,32,5261
cpu_core_weighted,dlinear,1,2,bottom_up,-0.051258402268080955,-0.06630281309689892,-0.03515283190027,False,1.0,0.0,5000,32,4852
cpu_core_weighted,dlinear,1,2,wls,-0.05223807175986316,-0.06169233023368487,-0.042625797429149896,False,1.0,0.0,5000,32,4852
cpu_core_weighted,dlinear,1,2,mint,-0.054422191316410455,-0.06522670310878555,-0.04290632349703557,False,1.0,0.0,5000,32,4852
cpu_core_weighted,dlinear,8,0,bottom_up,-0.07155924695890968,-0.09318093130090307,-0.052967608318832474,False,1.0,0.0,5000,32,4295
cpu_core_weighted,dlinear,8,0,wls,-0.05810576176653855,-0.07267442254408972,-0.0457793323424481,False,1.0,0.0,5000,32,4295
cpu_core_weighted,dlinear,8,0,mint,-0.06740156778385109,-0.08573040738069078,-0.05185602732017062,False,1.0,0.0,5000,32,4295
cpu_core_weighted,dlinear,8,1,bottom_up,-0.09432477509713978,-0.12503710047297217,-0.07135178906972192,False,1.0,0.0,5000,32,4778
