hierarchy,unit,base_model,horizon,fold,method_a,method_b,npz_path,correction_family,in_holm_family,effect_class,tradeoff_class,coherence_before,coherence_after,n_paired,block_length,n_boot,seed,mean_paired_diff,median_paired_diff,mae_independent,mae_reconciled,relative_mae_diff,rel_ci_low,rel_ci_high,prob_improvement,p_value_raw,abs_ci_crosses_zero,rel_ci_crosses_zero,macro_independent,macro_reconciled,macro_rel,weighted_independent,weighted_reconciled,weighted_rel,worst_independent,worst_reconciled,worst_rel,machines_improved,machines_degraded,ci_low,ci_high,p_value_holm,holm_rank,family_size,alpha,reject_holm_0.05
memory_um,memory_level,ridge,1,1,independent,bottom_up,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h1__ridge__s0.npz,memory_ridge,True,substantial_improvement,pareto_improvement,301581705.2888302,0.0,8276,32,5000,0,-42353317.92880735,-24010812.059944153,834422178.6472346,792068860.7184273,-0.05075766082520788,-0.06799505067126847,-0.0346693492824937,1.0,0.0,False,False,178183129.56075743,178183129.56075743,0.0,1247281906.925302,1247281906.925302,0.0,323324236.2392898,323324236.2392898,0.0,0,0,-54719629.68405352,-29507642.41579168,0.0,16.0,27,0.05,True
memory_um,memory_level,ridge,1,1,independent,wls,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h1__ridge__s0.npz,memory_ridge,True,substantial_improvement,pareto_improvement,301581705.2888302,0.0,8276,32,5000,0,-47401350.98729179,-28780802.856407166,834422178.6472346,787020827.6599429,-0.056807395824663806,-0.06971376785954513,-0.04509533222982934,1.0,0.0,False,False,178183129.56075743,177628446.42540503,-0.0031129946854102446,1247281906.925302,1243399124.9778352,-0.0031129946854102685,323324236.2392898,333659702.0682708,0.031966257615565145,3,4,-56539039.76685872,-38419100.72763793,0.0,15.0,27,0.05,True
memory_um,memory_level,ridge,1,1,independent,mint,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h1__ridge__s0.npz,memory_ridge,True,substantial_improvement,pareto_improvement,301581705.2888302,0.0,8276,32,5000,0,-47174094.16847809,-28950418.164222717,834422178.6472346,787248084.4787565,-0.05653504350154827,-0.06925375734652692,-0.04499112642735704,1.0,0.0,False,False,178183129.56075743,177520776.71471253,-0.003717259022656502,1247281906.925302,1242645437.002988,-0.003717259022656215,323324236.2392898,332717766.907755,0.02905297412196813,4,3,-56171245.010516845,-38301109.757500336,0.0,14.0,27,0.05,True
memory_um,memory_level,ridge,1,2,independent,bottom_up,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h1__ridge__s0.npz,memory_ridge,True,modest_degradation,accuracy_costly_coherence,427789448.31166357,0.0,8279,32,5000,0,41509894.84440204,33942748.47314453,1062872941.5920458,1104382836.436448,0.03905442806947893,0.018461483154386952,0.05982231136923853,0.0,0.0,False,False,224063327.55073223,224063327.55073223,0.0,1568443292.8551257,1568443292.8551257,0.0,624311043.091988,624311043.091988,0.0,0,0,19247439.25287456,64021466.54903416,0.0,13.0,27,0.05,True
memory_um,memory_level,ridge,1,2,independent,wls,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h1__ridge__s0.npz,memory_ridge,True,accuracy_neutral,coherence_only,427789448.31166357,0.0,8279,32,5000,0,736093.168010057,10883609.504394531,1062872941.5920458,1063609034.760056,0.0006925504820053889,-0.013132892151374908,0.014061743955587508,0.482,0.964,True,True,224063327.55073223,222852884.58402556,-0.005402235965778898,1568443292.8551257,1559970192.0881786,-0.005402235965779144,624311043.091988,597631222.4171896,-0.04273482099990226,3,4,-13657458.923187284,15012171.247483559,1.0,24.0,27,0.05,False
memory_um,memory_level,ridge,1,2,independent,mint,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h1__ridge__s0.npz,memory_ridge,True,accuracy_neutral,coherence_only,427789448.31166357,0.0,8279,32,5000,0,155157.00321908476,10054617.54624939,1062872941.5920458,1063028098.595265,0.00014597888152715572,-0.013494459158671484,0.013352413119402683,0.5122,0.9756,True,True,224063327.55073223,221996840.72351244,-0.009222780228290112,1568443292.8551257,1553977885.064587,-0.009222780228290149,624311043.091988,594671676.1871946,-0.047475320567773815,3,4,-14057626.562836075,14294008.058854874,1.0,25.0,27,0.05,False
memory_um,memory_level,ridge,8,0,independent,bottom_up,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h8__ridge__s0.npz,memory_ridge,True,substantial_improvement,pareto_improvement,464923296.3696819,0.0,8269,32,5000,0,-95690047.09325941,-115166473.11401367,1357156730.2391167,1261466683.1458573,-0.07050773500301608,-0.09088073950382199,-0.05244123596996663,1.0,0.0,False,False,261400373.59635028,261400373.59635028,0.0,1829802615.1744518,1829802615.1744518,0.0,557653013.2877678,557653013.2877678,0.0,0,0,-117129622.43052043,-74051141.4374306,0.0,12.0,27,0.05,True
memory_um,memory_level,ridge,8,0,independent,wls,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h8__ridge__s0.npz,memory_ridge,True,substantial_improvement,aggregate_focused_improvement,464923296.3696819,0.0,8269,32,5000,0,-79762487.00902544,-81505423.28456116,1357156730.2391167,1277394243.2300913,-0.05877175806730305,-0.07090180767952813,-0.04799665068758144,1.0,0.0,False,False,261400373.59635028,267470159.40056887,0.0232202644575843,1829802615.1744518,1872291115.8039823,0.023220264457584464,557653013.2877678,556351577.2994941,-0.0023337737934934024,2,5,-91528940.06291622,-67878765.52201608,0.0,19.0,27,0.05,True
memory_um,memory_level,ridge,8,0,independent,mint,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h8__ridge__s0.npz,memory_ridge,True,substantial_improvement,pareto_improvement,464923296.3696819,0.0,8269,32,5000,0,-84070165.16092171,-87012856.2021637,1357156730.2391167,1273086565.0781949,-0.06194580425954888,-0.07528138745855534,-0.050155425751278584,1.0,0.0,False,False,261400373.59635028,265875886.39355162,0.01712129457057449,1829802615.1744518,1861131204.7548618,0.01712129457057485,557653013.2877678,555259558.2555056,-0.004292014882428516,2,5,-97100875.84928975,-70835420.55212879,0.0,10.0,27,0.05,True
memory_um,memory_level,ridge,8,1,independent,bottom_up,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h8__ridge__s0.npz,memory_ridge,True,substantial_improvement,pareto_improvement,301967643.2167778,0.0,8269,32,5000,0,-42212487.7237821,-23861293.380996704,835005834.3233938,792793346.5996116,-0.050553524285236795,-0.06756325257454338,-0.03428352272660255,1.0,0.0,False,False,178261117.22330347,178261117.22330347,0.0,1247827820.5631242,1247827820.5631242,0.0,323284304.3208601,323284304.3208601,0.0,0,0,-54598992.12132394,-29393600.4860698,0.0,9.0,27,0.05,True
