hierarchy,fold,horizon,seed,method,reconstructed_mae,source_mae,abs_diff,status
memory_um,0,16,2,mint,1371102034.437272,1371102034.437272,0.0,ok
memory_um,1,1,0,independent,836589801.3086051,836589801.3086051,0.0,ok
memory_um,1,1,0,bottom_up,799487870.2696177,799487870.2696177,0.0,ok
memory_um,1,1,0,wls,792786911.0619098,792786911.0619098,0.0,ok
memory_um,1,1,0,mint,792890342.5107149,792890342.5107149,0.0,ok
memory_um,1,1,1,independent,835042020.9050137,835042020.9050137,0.0,ok
memory_um,1,1,1,bottom_up,789788087.818767,789788087.818767,0.0,ok
memory_um,1,1,1,wls,784987446.2757449,784987446.2757449,0.0,ok
memory_um,1,1,1,mint,785173797.7174767,785173797.7174767,0.0,ok
memory_um,1,1,2,independent,836233490.9888268,836233490.9888268,0.0,ok
memory_um,1,1,2,bottom_up,804186280.5178248,804186280.5178248,0.0,ok
memory_um,1,1,2,wls,796969617.4532963,796969617.4532963,0.0,ok
memory_um,1,1,2,mint,797087545.8944224,797087545.8944224,0.0,ok
memory_um,1,8,0,independent,836114125.5450646,836114125.5450646,0.0,ok
memory_um,1,8,0,bottom_up,798545078.7047428,798545078.7047428,0.0,ok
memory_um,1,8,0,wls,794256307.6040021,794256307.6040021,0.0,ok
memory_um,1,8,0,mint,794415111.9192388,794415111.9192388,0.0,ok
memory_um,1,8,1,independent,846440845.2396958,846440845.2396958,0.0,ok
memory_um,1,8,1,bottom_up,814135817.3139976,814135817.3139976,0.0,ok
memory_um,1,8,1,wls,805020064.0723344,805020064.0723344,0.0,ok
memory_um,1,8,1,mint,805044241.3326281,805044241.3326281,0.0,ok
memory_um,1,8,2,independent,837441384.0210297,837441384.0210297,0.0,ok
memory_um,1,8,2,bottom_up,810015026.8022116,810015026.8022116,0.0,ok
memory_um,1,8,2,wls,798790711.7710268,798790711.7710268,0.0,ok
memory_um,1,8,2,mint,798881175.0295172,798881175.0295172,0.0,ok
memory_um,1,16,0,independent,846438532.3283072,846438532.3283072,0.0,ok
memory_um,1,16,0,bottom_up,805620111.2654964,805620111.2654964,0.0,ok
memory_um,1,16,0,wls,800705804.6421564,800705804.6421564,0.0,ok
memory_um,1,16,0,mint,800943702.60157,800943702.60157,0.0,ok
memory_um,1,16,1,independent,848788268.2440104,848788268.2440104,0.0,ok
memory_um,1,16,1,bottom_up,794251346.0221783,794251346.0221783,0.0,ok
memory_um,1,16,1,wls,791043489.7628727,791043489.7628727,0.0,ok
memory_um,1,16,1,mint,791327446.0788033,791327446.0788033,0.0,ok
memory_um,1,16,2,independent,860186673.0334218,860186673.0334218,0.0,ok
memory_um,1,16,2,bottom_up,806641602.0151223,806641602.0151223,0.0,ok
memory_um,1,16,2,wls,805140793.5784646,805140793.5784646,0.0,ok
memory_um,1,16,2,mint,805903054.7677052,805903054.7677052,0.0,ok
memory_um,2,1,0,independent,1048733686.1079497,1048733686.1079496,1.1920928955078125e-07,ok
memory_um,2,1,0,bottom_up,1087821698.7668452,1087821698.7668452,0.0,ok
memory_um,2,1,0,wls,1045026092.8781725,1045026092.8781724,1.1920928955078125e-07,ok
memory_um,2,1,0,mint,1044144042.2036036,1044144042.2036036,0.0,ok
memory_um,2,1,1,independent,1060078627.4855586,1060078627.4855586,0.0,ok
memory_um,2,1,1,bottom_up,1088970658.4786875,1088970658.4786875,0.0,ok
memory_um,2,1,1,wls,1053543218.4334736,1053543218.4334736,0.0,ok
memory_um,2,1,1,mint,1052851462.0479527,1052851462.0479528,1.1920928955078125e-07,ok
memory_um,2,1,2,independent,1047857594.3617969,1047857594.3617969,0.0,ok
memory_um,2,1,2,bottom_up,1089924119.544496,1089924119.544496,0.0,ok
memory_um,2,1,2,wls,1049065310.6556197,1049065310.6556196,1.1920928955078125e-07,ok
memory_um,2,1,2,mint,1047712950.3144735,1047712950.3144736,1.1920928955078125e-07,ok
memory_um,2,8,0,independent,1047041227.013701,1047041227.013701,0.0,ok
memory_um,2,8,0,bottom_up,1102962664.1543586,1102962664.1543586,0.0,ok
memory_um,2,8,0,wls,1057524495.8382838,1057524495.8382838,0.0,ok
memory_um,2,8,0,mint,1055903452.2580509,1055903452.2580508,1.1920928955078125e-07,ok
memory_um,2,8,1,independent,1043534124.4204463,1043534124.4204464,1.1920928955078125e-07,ok
memory_um,2,8,1,bottom_up,1096835386.279895,1096835386.279895,0.0,ok
memory_um,2,8,1,wls,1052795742.0968314,1052795742.0968314,0.0,ok
memory_um,2,8,1,mint,1051138787.7667587,1051138787.7667588,1.1920928955078125e-07,ok
memory_um,2,8,2,independent,1065201981.9429041,1065201981.942904,1.1920928955078125e-07,ok
memory_um,2,8,2,bottom_up,1143045349.8114996,1143045349.8114996,0.0,ok
memory_um,2,8,2,wls,1084196815.425309,1084196815.425309,0.0,ok
memory_um,2,8,2,mint,1081950068.4160104,1081950068.4160104,0.0,ok
memory_um,2,16,0,independent,1056253575.3982915,1056253575.3982916,1.1920928955078125e-07,ok
memory_um,2,16,0,bottom_up,1114268869.9370599,1114268869.93706,2.384185791015625e-07,ok
memory_um,2,16,0,wls,1065327935.1031616,1065327935.1031616,0.0,ok
memory_um,2,16,0,mint,1063840218.9395489,1063840218.9395489,0.0,ok
memory_um,2,16,1,independent,1061806479.0421293,1061806479.0421292,1.1920928955078125e-07,ok
memory_um,2,16,1,bottom_up,1109621115.1633756,1109621115.1633756,0.0,ok
memory_um,2,16,1,wls,1066505691.4668428,1066505691.4668428,0.0,ok
memory_um,2,16,1,mint,1065254537.6591183,1065254537.6591184,1.1920928955078125e-07,ok
memory_um,2,16,2,independent,1057947382.5346687,1057947382.5346688,1.1920928955078125e-07,ok
memory_um,2,16,2,bottom_up,1124392060.6235838,1124392060.6235838,0.0,ok
memory_um,2,16,2,wls,1073923370.0244174,1073923370.0244174,0.0,ok
memory_um,2,16,2,mint,1072180974.3016919,1072180974.301692,1.1920928955078125e-07,ok
