hierarchy,seed,fold,horizon,method,threshold_name,threshold_value,n_peak,peak_mae,signed_bias,max_underpred,pred_to_target_range_ratio
cpu_core_weighted,1,1,16,mint,q95,1678.6133333214827,207,1704.0171400199094,-1249.1100918531206,-6288.534036920138,0.9343614352405465
cpu_core_weighted,1,2,1,independent,q90,1174.872469176665,620,1217.2734567145683,-829.6881540186117,-6929.794059759711,0.9673517559525372
cpu_core_weighted,1,2,1,independent,q95,1930.676666647816,337,1845.8356287023284,-1529.223204819608,-6929.794059759711,0.9673517559525372
cpu_core_weighted,1,2,1,bottom_up,q90,1174.872469176665,620,1235.1943534525183,-911.8659961529011,-6856.183983331781,0.8228408051237683
cpu_core_weighted,1,2,1,bottom_up,q95,1930.676666647816,337,1877.5727882926046,-1638.8392580636662,-6856.183983331781,0.8228408051237683
cpu_core_weighted,1,2,1,wls,q90,1174.872469176665,620,1220.6985137250217,-880.2842023376451,-6884.473096261674,0.8783778566523591
cpu_core_weighted,1,2,1,wls,q95,1930.676666647816,337,1859.6177887992849,-1596.7126762201224,-6884.473096261674,0.8783778566523591
cpu_core_weighted,1,2,1,mint,q90,1174.872469176665,620,1223.8225717756627,-889.8581047212523,-6875.89735774302,0.8615420077098185
cpu_core_weighted,1,2,1,mint,q95,1930.676666647816,337,1864.1313790032905,-1609.4831915583088,-6875.89735774302,0.8615420077098185
cpu_core_weighted,1,2,8,independent,q90,1175.0487831049757,556,1222.8093898680456,-815.5070176443392,-6914.5910397780535,0.9079391976797162
cpu_core_weighted,1,2,8,independent,q95,1930.886666651816,307,1835.3097730664706,-1484.017655414373,-6914.5910397780535,0.9079391976797162
cpu_core_weighted,1,2,8,bottom_up,q90,1175.0487831049757,556,1255.3321779331836,-950.901760605382,-6836.152102546875,0.8275714357869111
cpu_core_weighted,1,2,8,bottom_up,q95,1930.886666651816,307,1906.4088921882174,-1656.3209496615073,-6836.152102546875,0.8275714357869111
cpu_core_weighted,1,2,8,wls,q90,1175.0487831049757,556,1235.9277155938048,-899.5066426828613,-6865.927102229642,0.8551575408567191
cpu_core_weighted,1,2,8,wls,q95,1930.886666651816,307,1874.0664793340775,-1590.9155437158845,-6865.927102229642,0.8551575408567191
cpu_core_weighted,1,2,8,mint,q90,1175.0487831049757,556,1240.34520955949,-913.8587879454595,-6857.612399629192,0.8474540895719498
cpu_core_weighted,1,2,8,mint,q95,1930.886666651816,307,1882.3965406781738,-1609.1800778785619,-6857.612399629192,0.8474540895719498
cpu_core_weighted,1,2,16,independent,q90,1175.319999997194,490,1256.3952131056699,-889.3412624884235,-6905.507726026645,0.9103443269324114
cpu_core_weighted,1,2,16,independent,q95,1931.1733333257325,273,1877.427676517218,-1555.0406110597798,-6905.507726026645,0.9103443269324114
cpu_core_weighted,1,2,16,bottom_up,q90,1175.319999997194,490,1264.0462458356194,-951.3072174271431,-6850.357358509356,0.8248028773451213
cpu_core_weighted,1,2,16,bottom_up,q95,1931.1733333257325,273,1895.574692813342,-1661.6579151266135,-6850.357358509356,0.8248028773451213
