hierarchy,fold,horizon,method,ewma_alpha,ewma_top_mae,comparator,comparator_top_mae,rel_mae_vs_comparator,pct_change_vs_comparator
cpu_core_weighted,1,1,wls,0.9,256.6265800202774,ridge,220.64514378710177,1.1630737736421417,16.30737736421417
cpu_core_weighted,1,1,wls,0.9,256.6265800202774,lightgbm,182.51413291746803,1.4060641546938322,40.606415469383215
cpu_core_weighted,1,1,mint,0.9,256.62658002028934,persistence,258.58644036215964,0.9924208696359893,-0.75791303640107
cpu_core_weighted,1,1,mint,0.9,256.62658002028934,ridge,219.9725573502996,1.1666299792642738,16.66299792642738
cpu_core_weighted,1,1,mint,0.9,256.62658002028934,lightgbm,182.4483517490206,1.4065711066182156,40.65711066182156
cpu_core_weighted,1,8,independent,0.9,260.7017247413789,persistence,262.57198527389465,0.9928771512674329,-0.7122848732567078
cpu_core_weighted,1,8,independent,0.9,260.7017247413789,ridge,248.29780331202304,1.0499558242719065,4.995582427190648
cpu_core_weighted,1,8,independent,0.9,260.7017247413789,lightgbm,203.41532062603233,1.281622858784882,28.16228587848819
cpu_core_weighted,1,8,bottom_up,0.9,260.7017247413789,persistence,262.57198527389465,0.9928771512674329,-0.7122848732567078
cpu_core_weighted,1,8,bottom_up,0.9,260.7017247413789,ridge,219.2864165616067,1.1888639927140079,18.88639927140079
cpu_core_weighted,1,8,bottom_up,0.9,260.7017247413789,lightgbm,187.409800510172,1.39107839628285,39.10783962828499
cpu_core_weighted,1,8,wls,0.9,260.70172474139224,persistence,262.57198527388874,0.9928771512675062,-0.7122848732493803
cpu_core_weighted,1,8,wls,0.9,260.70172474139224,ridge,223.9440757896785,1.164137625976922,16.413762597692205
cpu_core_weighted,1,8,wls,0.9,260.70172474139224,lightgbm,185.8250834253763,1.4029415186356418,40.294151863564174
cpu_core_weighted,1,8,mint,0.9,260.7017247414082,persistence,262.57198527389204,0.9928771512675546,-0.7122848732445397
cpu_core_weighted,1,8,mint,0.9,260.7017247414082,ridge,223.1913924335622,1.1680635256532654,16.80635256532654
cpu_core_weighted,1,8,mint,0.9,260.7017247414082,lightgbm,185.9183338845139,1.4022378497827286,40.22378497827286
cpu_core_weighted,1,16,independent,0.9,260.986621336821,persistence,262.3406169270242,0.9948387878092858,-0.5161212190714193
cpu_core_weighted,1,16,independent,0.9,260.986621336821,ridge,247.1723245770978,1.0558893346306424,5.588933463064238
cpu_core_weighted,1,16,independent,0.9,260.986621336821,lightgbm,204.1046260442876,1.2786903775526912,27.869037755269122
cpu_core_weighted,1,16,bottom_up,0.9,260.986621336821,persistence,262.3406169270242,0.9948387878092858,-0.5161212190714193
cpu_core_weighted,1,16,bottom_up,0.9,260.986621336821,ridge,218.08028598548697,1.1967455937497689,19.674559374976887
cpu_core_weighted,1,16,bottom_up,0.9,260.986621336821,lightgbm,188.65694801071996,1.3833925762542871,38.339257625428715
cpu_core_weighted,1,16,wls,0.9,260.9866213368113,persistence,262.34061692702153,0.9948387878092592,-0.5161212190740838
cpu_core_weighted,1,16,wls,0.9,260.9866213368113,ridge,222.7075769083897,1.1718802968439983,17.18802968439983
cpu_core_weighted,1,16,wls,0.9,260.9866213368113,lightgbm,186.26845760643627,1.401131596248281,40.11315962482811
cpu_core_weighted,1,16,mint,0.9,260.98662133679346,persistence,262.34061692700317,0.9948387878092607,-0.5161212190739284
cpu_core_weighted,1,16,mint,0.9,260.98662133679346,ridge,221.92898966217487,1.1759915716016776,17.599157160167756
