hierarchy,unit,base_model,horizon,fold,method_a,method_b,n_paired,block_length,n_boot,seed,mean_paired_diff,median_paired_diff,mae_independent,mae_reconciled,relative_mae_diff,ci_low,ci_high,prob_reconciliation_improves,p_value_raw,ci_crosses_zero,effect_class,outcome,correction_family,macro_independent,macro_reconciled,macro_rel,weighted_independent,weighted_reconciled,weighted_rel,worst_independent,worst_reconciled,worst_rel,machines_improved,machines_degraded,coherence_before,coherence_after,tradeoff_class,npz_path,p_value_holm,reject_holm_0.05,family_size,alpha,ci_low_rel,ci_high_rel
memory_um,memory_level,ridge,1,1,independent,bottom_up,8276,32,1000,0,-42353317.92880735,-24010812.059944153,834422178.6472346,792068860.7184273,-0.0507576608252077,-54515516.782840416,-29582378.544573717,1.0,0.0,False,substantial_improvement,win,memory_ridge,178183129.56075722,178183129.56075722,0.0,150152195.76093137,150152195.76093137,0.0,323324236.2392891,323324236.2392891,0.0,0,0,301581705.2888302,0.0,pareto_improvement,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h1__ridge__s0.npz,0.0,True,27.0,0.05,-0.06533325476945134,-0.03545253146618499
memory_um,memory_level,ridge,1,1,independent,wls,8276,32,1000,0,-47401350.98729179,-28780802.85640717,834422178.6472346,787020827.6599429,-0.0568073958246636,-56451871.73499072,-38447826.20183865,1.0,0.0,False,substantial_improvement,win,memory_ridge,178183129.56075722,177628446.42540455,-0.0031129946854117,150152195.76093137,150372762.813466,0.0014689565571576,323324236.2392891,333659702.0682692,0.0319662576155624,3,4,301581705.2888302,0.0,pareto_improvement,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h1__ridge__s0.npz,0.0,True,27.0,0.05,-0.06765384859078231,-0.046077186328113036
memory_um,memory_level,ridge,1,1,independent,mint,8276,32,1000,0,-47174094.16847809,-28950418.164222717,834422178.6472346,787248084.4787565,-0.0565350435015481,-56121900.396215156,-38457041.411422975,1.0,0.0,False,substantial_improvement,win,memory_ridge,178183129.56075722,177520776.7147126,-0.003717259022655,150152195.76093137,150248508.40439934,0.000641433466756,323324236.2392891,332717766.9077562,0.029052974121974,4,3,301581705.2888302,0.0,pareto_improvement,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h1__ridge__s0.npz,0.0,True,27.0,0.05,-0.06725839968347916,-0.0460882301495983
memory_um,memory_level,ridge,1,2,independent,bottom_up,8279,32,1000,0,41509894.84440204,33942748.47314453,1062872941.5920458,1104382836.436448,0.0390544280694791,17804581.90424014,63958716.91742993,0.0,0.0,False,modest_degradation,loss,memory_ridge,224063327.55073184,224063327.55073184,0.0,188936680.61391616,188936680.61391616,0.0,624311043.0919858,624311043.0919858,0.0,0,0,427789448.3116636,0.0,accuracy_costly_coherence,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h1__ridge__s0.npz,0.0,True,27.0,0.05,0.016751373760226868,0.06017531768343643
memory_um,memory_level,ridge,1,2,independent,wls,8279,32,1000,0,736093.168010057,10883609.504394531,1062872941.5920458,1063609034.760056,0.0006925504820055,-14800081.985870669,15449739.162913533,0.503,0.994,True,accuracy_neutral,loss,memory_ridge,224063327.55073184,222852884.5840256,-0.005402235965777,188936680.61391616,188165170.1667587,-0.0040834339030969,624311043.0919858,597631222.4171891,-0.0427348209998997,3,4,427789448.3116636,0.0,coherence_only,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h1__ridge__s0.npz,1.0,False,27.0,0.05,-0.013924601339179889,0.01453582884495284
memory_um,memory_level,ridge,1,2,independent,mint,8279,32,1000,0,155157.00321908476,10054617.54624939,1062872941.5920458,1063028098.595265,0.0001459788815273,-15205734.685610617,14690240.858176256,0.538,0.924,True,accuracy_neutral,loss,memory_ridge,224063327.55073184,221996840.723512,-0.0092227802282902,188936680.61391616,187289740.8993446,-0.0087168871032354,624311043.0919858,594671676.187193,-0.047475320567773,3,4,427789448.3116636,0.0,coherence_only,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h1__ridge__s0.npz,1.0,False,27.0,0.05,-0.014306258152394394,0.013821257728296461
memory_um,memory_level,ridge,8,0,independent,bottom_up,8269,32,1000,0,-95690047.0932594,-115166473.11401369,1357156730.239117,1261466683.145857,-0.070507735003016,-117886461.62646993,-73616240.70448446,1.0,0.0,False,substantial_improvement,win,memory_ridge,261400373.5963501,261400373.5963501,0.0,217818747.40955713,217818747.40955713,0.0,557653013.287769,557653013.287769,0.0,0,0,464923296.3696819,0.0,pareto_improvement,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h8__ridge__s0.npz,0.0,True,27.0,0.05,-0.08686282063067215,-0.05424299129512775
memory_um,memory_level,ridge,8,0,independent,wls,8269,32,1000,0,-79762487.00902544,-81505423.28456116,1357156730.239117,1277394243.230091,-0.0587717580673029,-92401042.22433531,-67613059.70072275,1.0,0.0,False,substantial_improvement,win,memory_ridge,261400373.5963501,267470159.40056887,0.023220264457585,217818747.40955713,224369680.90469652,0.0300751591543307,557653013.287769,556351577.2994949,-0.0023337737934942,2,5,464923296.3696819,0.0,aggregate_focused_improvement,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h8__ridge__s0.npz,0.0,True,27.0,0.05,-0.06808428250439079,-0.049819639982782264
memory_um,memory_level,ridge,8,0,independent,mint,8269,32,1000,0,-84070165.16092171,-87012856.2021637,1357156730.239117,1273086565.0781949,-0.0619458042595489,-97777132.71062057,-70540075.81991835,1.0,0.0,False,substantial_improvement,win,memory_ridge,261400373.5963501,265875886.39355135,0.0171212945705742,217818747.40955713,222876767.92479283,0.0232212358917172,557653013.287769,555259558.2555041,-0.0042920148824332,2,5,464923296.3696819,0.0,pareto_improvement,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h8__ridge__s0.npz,0.0,True,27.0,0.05,-0.0720455718429759,-0.05197636665552248
memory_um,memory_level,ridge,8,1,independent,bottom_up,8269,32,1000,0,-42212487.7237821,-23861293.380996704,835005834.3233938,792793346.5996116,-0.0505535242852368,-54465225.943996094,-29514660.66852418,1.0,0.0,False,substantial_improvement,win,memory_ridge,178261117.22330353,178261117.22330353,0.0,150206568.73585832,150206568.73585832,0.0,323284304.3208599,323284304.3208599,0.0,0,0,301967643.2167778,0.0,pareto_improvement,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h8__ridge__s0.npz,0.0,True,27.0,0.05,-0.06522735974429368,-0.035346652029611195
