run_id,fold,horizon,base_model,reconciliation_method,nonnegative,coherence_before_wsum,coherence_after_wsum,coherence_before_mean,coherence_after_mean,is_coherent_after,adj_magnitude_mean_units
base__cpu_core_weighted__f2__h1__lightgbm__s0__wls__nn0,2,1,lightgbm,wls,False,171.5725267317513,0.0,0.7270022319142004,0.0,True,0.24695163706115286
base__cpu_core_weighted__f2__h1__lightgbm__s0__mint__nn0,2,1,lightgbm,mint,False,171.5725267317513,0.0,0.7270022319142004,0.0,True,0.1688742087134659
base__cpu_core_weighted__f2__h1__persistence__s0__independent__nn0,2,1,persistence,independent,False,0.0,0.0,0.0,0.0,True,0.0
base__cpu_core_weighted__f2__h1__persistence__s0__bottom_up__nn0,2,1,persistence,bottom_up,False,0.0,0.0,0.0,0.0,True,0.0
base__cpu_core_weighted__f2__h1__persistence__s0__wls__nn0,2,1,persistence,wls,False,0.0,0.0,0.0,0.0,True,2.2443560589740198e-14
base__cpu_core_weighted__f2__h1__persistence__s0__mint__nn0,2,1,persistence,mint,False,0.0,0.0,0.0,0.0,True,1.3002065646544471e-14
base__cpu_core_weighted__f2__h1__ridge__s0__independent__nn0,2,1,ridge,independent,False,130.53487334987042,130.53487334987042,0.5531138701265695,0.5531138701265695,False,0.0
base__cpu_core_weighted__f2__h1__ridge__s0__bottom_up__nn0,2,1,ridge,bottom_up,False,130.53487334987042,0.0,0.5531138701265695,0.0,True,0.06913923376582119
base__cpu_core_weighted__f2__h1__ridge__s0__wls__nn0,2,1,ridge,wls,False,130.53487334987042,0.0,0.5531138701265695,0.0,True,0.21371340825816873
base__cpu_core_weighted__f2__h1__ridge__s0__mint__nn0,2,1,ridge,mint,False,130.53487334987042,0.0,0.5531138701265695,0.0,True,0.16684273875690428
base__cpu_core_weighted__f2__h8__lightgbm__s0__independent__nn0,2,8,lightgbm,independent,False,170.36132440790686,170.36132440790686,0.7218700186775715,0.7218700186775715,False,0.0
base__cpu_core_weighted__f2__h8__lightgbm__s0__independent__nn1,2,8,lightgbm,independent,True,170.36132440790686,0.0,0.7218700186775715,0.0,True,0.09044272026466292
base__cpu_core_weighted__f2__h8__lightgbm__s0__bottom_up__nn0,2,8,lightgbm,bottom_up,False,170.36132440790686,0.0,0.7218700186775715,0.0,True,0.09023375233469644
base__cpu_core_weighted__f2__h8__lightgbm__s0__bottom_up__nn1,2,8,lightgbm,bottom_up,True,170.36132440790686,0.0,0.7218700186775715,0.0,True,0.09044272026466292
base__cpu_core_weighted__f2__h8__lightgbm__s0__wls__nn0,2,8,lightgbm,wls,False,170.36132440790686,0.0,0.7218700186775715,0.0,True,0.23931338793262993
base__cpu_core_weighted__f2__h8__lightgbm__s0__wls__nn1,2,8,lightgbm,wls,True,170.36132440790686,0.0,0.7218700186775715,0.0,True,0.23713413738194639
base__cpu_core_weighted__f2__h8__lightgbm__s0__mint__nn0,2,8,lightgbm,mint,False,170.36132440790686,0.0,0.7218700186775715,0.0,True,0.1705342458583444
base__cpu_core_weighted__f2__h8__lightgbm__s0__mint__nn1,2,8,lightgbm,mint,True,170.36132440790686,0.0,0.7218700186775715,0.0,True,0.169099960952564
base__cpu_core_weighted__f2__h8__lightgbm__s0__ols__nn0,2,8,lightgbm,ols,False,170.36132440790686,0.0,0.7218700186775715,0.0,True,0.6065086728107825
base__cpu_core_weighted__f2__h8__lightgbm__s0__ols__nn1,2,8,lightgbm,ols,True,170.36132440790686,0.0,0.7218700186775715,0.0,True,0.539569805022291
base__cpu_core_weighted__f2__h8__persistence__s0__independent__nn0,2,8,persistence,independent,False,0.0,0.0,0.0,0.0,True,0.0
base__cpu_core_weighted__f2__h8__persistence__s0__independent__nn1,2,8,persistence,independent,True,0.0,0.0,0.0,0.0,True,0.0
base__cpu_core_weighted__f2__h8__persistence__s0__bottom_up__nn0,2,8,persistence,bottom_up,False,0.0,0.0,0.0,0.0,True,0.0
base__cpu_core_weighted__f2__h8__persistence__s0__bottom_up__nn1,2,8,persistence,bottom_up,True,0.0,0.0,0.0,0.0,True,0.0
base__cpu_core_weighted__f2__h8__persistence__s0__wls__nn0,2,8,persistence,wls,False,0.0,0.0,0.0,0.0,True,2.1429561393969117e-14
base__cpu_core_weighted__f2__h8__persistence__s0__wls__nn1,2,8,persistence,wls,True,0.0,0.0,0.0,0.0,True,2.1429561393969117e-14
base__cpu_core_weighted__f2__h8__persistence__s0__mint__nn0,2,8,persistence,mint,False,0.0,0.0,0.0,0.0,True,1.5978452020256846e-14
base__cpu_core_weighted__f2__h8__persistence__s0__mint__nn1,2,8,persistence,mint,True,0.0,0.0,0.0,0.0,True,1.5978452020256846e-14
base__cpu_core_weighted__f2__h8__persistence__s0__ols__nn0,2,8,persistence,ols,False,0.0,0.0,0.0,0.0,True,4.056298988626913e-15
base__cpu_core_weighted__f2__h8__persistence__s0__ols__nn1,2,8,persistence,ols,True,0.0,0.0,0.0,0.0,True,4.056298988626913e-15
base__cpu_core_weighted__f2__h8__ridge__s0__independent__nn0,2,8,ridge,independent,False,129.19730536784897,129.19730536784897,0.5474462091858007,0.5474462091858007,False,0.0
base__cpu_core_weighted__f2__h8__ridge__s0__independent__nn1,2,8,ridge,independent,True,129.19730536784897,0.0,0.5474462091858007,0.0,True,0.09987012936189914
base__cpu_core_weighted__f2__h8__ridge__s0__bottom_up__nn0,2,8,ridge,bottom_up,False,129.19730536784897,0.0,0.5474462091858007,0.0,True,0.06843077614822511
base__cpu_core_weighted__f2__h8__ridge__s0__bottom_up__nn1,2,8,ridge,bottom_up,True,129.19730536784897,0.0,0.5474462091858007,0.0,True,0.09987012936189914
base__cpu_core_weighted__f2__h8__ridge__s0__wls__nn0,2,8,ridge,wls,False,129.19730536784897,0.0,0.5474462091858007,0.0,True,0.20947246247268045
base__cpu_core_weighted__f2__h8__ridge__s0__wls__nn1,2,8,ridge,wls,True,129.19730536784897,0.0,0.5474462091858007,0.0,True,0.2336134920695521
base__cpu_core_weighted__f2__h8__ridge__s0__mint__nn0,2,8,ridge,mint,False,129.19730536784897,0.0,0.5474462091858007,0.0,True,0.16451366424746228
base__cpu_core_weighted__f2__h8__ridge__s0__mint__nn1,2,8,ridge,mint,True,129.19730536784897,0.0,0.5474462091858007,0.0,True,0.19049697190144319
base__cpu_core_weighted__f2__h8__ridge__s0__ols__nn0,2,8,ridge,ols,False,129.19730536784897,0.0,0.5474462091858007,0.0,True,0.45995936273518806
base__cpu_core_weighted__f2__h8__ridge__s0__ols__nn1,2,8,ridge,ols,True,129.19730536784897,0.0,0.5474462091858007,0.0,True,0.48129284677885026
