claim,hierarchy,base_model,horizon,fold,method,threshold,effect,verdict,best_model,lgbm_high_load_mae,best_high_load_mae,aspect
P2,cpu_core_weighted,dlinear,8,2,wls,q90,-0.010791366906474864,uncertain,,,,
P2,cpu_core_weighted,dlinear,8,2,mint,q90,-0.01258992805755399,uncertain,,,,
P2,cpu_core_weighted,dlinear,8,2,bottom_up,q95,0.006514657980456029,uncertain,,,,
P2,cpu_core_weighted,dlinear,8,2,wls,q95,0.009771986970684043,uncertain,,,,
P2,cpu_core_weighted,dlinear,8,2,mint,q95,0.006514657980456029,uncertain,,,,
P2,cpu_core_weighted,dlinear,16,0,bottom_up,q90,-0.0513274336283186,contradict,,,,
P2,cpu_core_weighted,dlinear,16,0,wls,q90,-0.030088495575221197,contradict,,,,
P2,cpu_core_weighted,dlinear,16,0,mint,q90,-0.038938053097345104,contradict,,,,
P2,cpu_core_weighted,dlinear,16,0,bottom_up,q95,0.0,uncertain,,,,
P2,cpu_core_weighted,dlinear,16,0,wls,q95,0.0,uncertain,,,,
P2,cpu_core_weighted,dlinear,16,0,mint,q95,-0.0033444816053511683,uncertain,,,,
P2,cpu_core_weighted,dlinear,16,1,bottom_up,q90,-0.015625,uncertain,,,,
P2,cpu_core_weighted,dlinear,16,1,wls,q90,-0.015625,uncertain,,,,
P2,cpu_core_weighted,dlinear,16,1,mint,q90,-0.0234375,contradict,,,,
P2,cpu_core_weighted,dlinear,16,1,bottom_up,q95,-0.004830917874396157,uncertain,,,,
P2,cpu_core_weighted,dlinear,16,1,wls,q95,-0.004830917874396157,uncertain,,,,
P2,cpu_core_weighted,dlinear,16,1,mint,q95,0.0,uncertain,,,,
P2,cpu_core_weighted,dlinear,16,2,bottom_up,q90,-0.006122448979591799,uncertain,,,,
P2,cpu_core_weighted,dlinear,16,2,wls,q90,-0.006122448979591799,uncertain,,,,
P2,cpu_core_weighted,dlinear,16,2,mint,q90,-0.008163265306122436,uncertain,,,,
P2,cpu_core_weighted,dlinear,16,2,bottom_up,q95,0.01831501831501825,uncertain,,,,
P2,cpu_core_weighted,dlinear,16,2,wls,q95,0.01831501831501825,uncertain,,,,
P2,cpu_core_weighted,dlinear,16,2,mint,q95,0.01831501831501825,uncertain,,,,
P2,cpu_core_weighted,lightgbm,1,0,bottom_up,q90,0.07282184655396617,support,,,,
P2,cpu_core_weighted,lightgbm,1,0,wls,q90,0.07932379713914173,uncertain,,,,
P2,cpu_core_weighted,lightgbm,1,0,mint,q90,0.0819245773732119,uncertain,,,,
P2,cpu_core_weighted,lightgbm,1,0,bottom_up,q95,0.08270676691729317,uncertain,,,,
P2,cpu_core_weighted,lightgbm,1,0,wls,q95,0.07017543859649122,support,,,,
P2,cpu_core_weighted,lightgbm,1,0,mint,q95,0.07017543859649122,support,,,,
P2,cpu_core_weighted,lightgbm,1,1,bottom_up,q90,0.079185520361991,support,,,,
P2,cpu_core_weighted,lightgbm,1,1,wls,q90,0.079185520361991,support,,,,
P2,cpu_core_weighted,lightgbm,1,1,mint,q90,0.079185520361991,support,,,,
P2,cpu_core_weighted,lightgbm,1,1,bottom_up,q95,0.15833333333333333,uncertain,,,,
P2,cpu_core_weighted,lightgbm,1,1,wls,q95,0.12083333333333335,support,,,,
P2,cpu_core_weighted,lightgbm,1,1,mint,q95,0.12083333333333335,support,,,,
P2,cpu_core_weighted,lightgbm,1,2,bottom_up,q90,0.01774193548387104,uncertain,,,,
P2,cpu_core_weighted,lightgbm,1,2,wls,q90,0.02580645161290329,support,,,,
P2,cpu_core_weighted,lightgbm,1,2,mint,q90,0.024193548387096753,support,,,,
P2,cpu_core_weighted,lightgbm,1,2,bottom_up,q95,0.12166172106824924,support,,,,
P2,cpu_core_weighted,lightgbm,1,2,wls,q95,0.13056379821958453,support,,,,
P2,cpu_core_weighted,lightgbm,1,2,mint,q95,0.12759643916913943,support,,,,
P2,cpu_core_weighted,lightgbm,8,0,bottom_up,q90,0.07530120481927705,support,,,,
P2,cpu_core_weighted,lightgbm,8,0,wls,q90,0.07981927710843373,support,,,,
P2,cpu_core_weighted,lightgbm,8,0,mint,q90,0.07530120481927705,uncertain,,,,
P2,cpu_core_weighted,lightgbm,8,0,bottom_up,q95,0.09734513274336287,uncertain,,,,
P2,cpu_core_weighted,lightgbm,8,0,wls,q95,0.07079646017699115,support,,,,
P2,cpu_core_weighted,lightgbm,8,0,mint,q95,0.07964601769911506,uncertain,,,,
P2,cpu_core_weighted,lightgbm,8,1,bottom_up,q90,0.08333333333333326,support,,,,
P2,cpu_core_weighted,lightgbm,8,1,wls,q90,0.08571428571428574,support,,,,
P2,cpu_core_weighted,lightgbm,8,1,mint,q90,0.08571428571428574,support,,,,
P2,cpu_core_weighted,lightgbm,8,1,bottom_up,q95,0.16521739130434776,uncertain,,,,
P2,cpu_core_weighted,lightgbm,8,1,wls,q95,0.14347826086956517,support,,,,
P2,cpu_core_weighted,lightgbm,8,1,mint,q95,0.14347826086956517,support,,,,
P2,cpu_core_weighted,lightgbm,8,2,bottom_up,q90,0.021582733812949617,support,,,,
P2,cpu_core_weighted,lightgbm,8,2,wls,q90,0.043165467625899234,support,,,,
P2,cpu_core_weighted,lightgbm,8,2,mint,q90,0.03237410071942448,support,,,,
P2,cpu_core_weighted,lightgbm,8,2,bottom_up,q95,0.13029315960912058,uncertain,,,,
P2,cpu_core_weighted,lightgbm,8,2,wls,q95,0.13029315960912058,support,,,,
P2,cpu_core_weighted,lightgbm,8,2,mint,q95,0.1335504885993486,uncertain,,,,
P2,cpu_core_weighted,lightgbm,16,0,bottom_up,q90,0.07256637168141589,support,,,,
