hierarchy,base_model,horizon,fold,method,npz_path,summing_matrix_hash,top_mae_recon,bottom_mae_mean_recon,coherence_before_recon,coherence_after_recon,adjustment_magnitude,nonnegative,match_ok,diff_top_mae,ok_top_mae,diff_bottom_mae_mean,ok_bottom_mae_mean,diff_coherence_before,ok_coherence_before,diff_coherence_after,ok_coherence_after
memory_um,ridge,8,2,independent,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h8__ridge__s0.npz,abe0cd1cb9555ccb,1063739741.8137753,224244437.99396488,428265056.35127103,428265056.35127103,0.0,False,True,1.1920928955078125e-07,True,0.0,True,0.0,True,0.0,True
memory_um,ridge,8,2,bottom_up,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h8__ridge__s0.npz,abe0cd1cb9555ccb,1105377507.1309767,224244437.99396488,428265056.35127103,0.0,428265056.35127103,False,True,-2.384185791015625e-07,True,0.0,True,0.0,True,0.0,True
memory_um,ridge,8,2,wls,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h8__ridge__s0.npz,abe0cd1cb9555ccb,1064527863.0082309,223031947.13097054,428265056.35127103,0.0,284507641.9321034,False,True,1.1920928955078125e-07,True,-2.9802322387695312e-08,True,0.0,True,0.0,True
memory_um,ridge,8,2,mint,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h8__ridge__s0.npz,abe0cd1cb9555ccb,1063940225.901815,222174121.57506785,428265056.35127103,0.0,281296505.5120875,False,True,0.0,True,0.0,True,0.0,True,0.0,True
memory_um,ridge,16,0,independent,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h16__ridge__s0.npz,abe0cd1cb9555ccb,1353419666.8608923,260710830.93452504,464949215.46992654,464949215.46992654,0.0,False,True,0.0,True,0.0,True,0.0,True,0.0,True
memory_um,ridge,16,0,bottom_up,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h16__ridge__s0.npz,abe0cd1cb9555ccb,1257283240.3761187,260710830.93452504,464949215.46992654,0.0,464949215.46992654,False,True,-2.384185791015625e-07,True,0.0,True,0.0,True,0.0,True
memory_um,ridge,16,0,wls,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h16__ridge__s0.npz,abe0cd1cb9555ccb,1273487701.6344788,266823319.9246361,464949215.46992654,0.0,269059011.23848695,False,True,0.0,True,0.0,True,0.0,True,0.0,True
memory_um,ridge,16,0,mint,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h16__ridge__s0.npz,abe0cd1cb9555ccb,1269524914.2103639,265376802.99344355,464949215.46992654,0.0,292854361.1246689,False,True,-2.384185791015625e-07,True,0.0,True,0.0,True,0.0,True
memory_um,ridge,16,1,independent,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h16__ridge__s0.npz,abe0cd1cb9555ccb,835539072.0094448,178285454.22070652,301682596.29424995,301682596.29424995,0.0,False,True,0.0,True,0.0,True,0.0,True,0.0,True
memory_um,ridge,16,1,bottom_up,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h16__ridge__s0.npz,abe0cd1cb9555ccb,792886360.3036158,178285454.22070652,301682596.29424995,0.0,301682596.29424995,False,True,0.0,True,0.0,True,0.0,True,0.0,True
