hierarchy,unit,base_model,horizon,fold,method,threshold,threshold_value,n_paired,eval_days,y_min,y_max,yhat_min,yhat_max,coherence_error,false_alarms_per_day,npz_path,tp,fp,fn,tn,n_actual_peaks,n_predicted_peaks,precision,precision_valid,recall,recall_valid,f1,f1_valid,specificity,false_positive_rate,high_load_mae,low_load_mae,peak_magnitude_mae,signed_peak_bias,max_underprediction,max_overprediction,predicted_actual_peak_ratio,invalid_reason
cpu_core_weighted,cpu_weighted_mean_pct,lightgbm,16,1,bottom_up,q90,4.692372881319361,4317,2.112790065069444,1.7536723164125938,32.57853107326954,2.117029071918005,33.163430777520865,0.0,100.8145596297089,/Users/fgtek002/TimeTrack/results/final/packs/03_cpu_classical/metrics/predictions/base__cpu_core_weighted__f1__h16__lightgbm__s0.npz,301,213,83,3720,384,514,0.585603112840467,True,0.7838541666666666,True,0.6703786191536749,True,0.9458428680396643,0.05415713196033562,3.7010071902405195,0.5160936889443962,3.7010071902405195,-1.3495797436563153,-19.135754441275402,13.742783046526606,0.9936678468382464,
cpu_core_weighted,cpu_weighted_mean_pct,lightgbm,16,1,bottom_up,q95,7.138686440503589,4317,2.112790065069444,1.7536723164125938,32.57853107326954,2.117029071918005,33.163430777520865,0.0,43.07100904367845,/Users/fgtek002/TimeTrack/results/final/packs/03_cpu_classical/metrics/predictions/base__cpu_core_weighted__f1__h16__lightgbm__s0.npz,166,91,41,4019,207,257,0.6459143968871596,True,0.8019323671497585,True,0.7155172413793105,True,0.9778588807785888,0.022141119221411192,5.079226175086364,0.5838402485225771,5.079226175086364,-2.9287753081578862,-19.135754441275402,13.742783046526606,0.9030646051987183,
cpu_core_weighted,cpu_weighted_mean_pct,lightgbm,16,1,wls,q90,4.692372881319361,4317,2.112790065069444,1.7536723164125938,32.57853107326954,2.181228018182377,32.49651719080984,0.0,98.9213284629538,/Users/fgtek002/TimeTrack/results/final/packs/03_cpu_classical/metrics/predictions/base__cpu_core_weighted__f1__h16__lightgbm__s0.npz,304,209,80,3724,384,513,0.5925925925925926,True,0.7916666666666666,True,0.6778149386845039,True,0.9468599033816425,0.05314009661835749,3.6662864402125965,0.5083748002873976,3.6662864402125965,-1.7170385075357146,-20.435455763451696,14.80369051662377,0.9562307518247982,
cpu_core_weighted,cpu_weighted_mean_pct,lightgbm,16,1,wls,q95,7.138686440503589,4317,2.112790065069444,1.7536723164125938,32.57853107326954,2.181228018182377,32.49651719080984,0.0,43.07100904367845,/Users/fgtek002/TimeTrack/results/final/packs/03_cpu_classical/metrics/predictions/base__cpu_core_weighted__f1__h16__lightgbm__s0.npz,157,91,50,4019,207,248,0.6330645161290323,True,0.7584541062801933,True,0.6901098901098901,True,0.9778588807785888,0.022141119221411192,5.254454689067145,0.5643844189623048,5.254454689067145,-3.471375110550735,-20.435455763451696,14.80369051662377,0.859814058323672,
cpu_core_weighted,cpu_weighted_mean_pct,lightgbm,16,1,mint,q90,4.692372881319361,4317,2.112790065069444,1.7536723164125938,32.57853107326954,2.1842792725035776,32.44961697240951,0.0,97.50140508788748,/Users/fgtek002/TimeTrack/results/final/packs/03_cpu_classical/metrics/predictions/base__cpu_core_weighted__f1__h16__lightgbm__s0.npz,304,206,80,3727,384,510,0.596078431372549,True,0.7916666666666666,True,0.680089485458613,True,0.9476226798881261,0.05237732011187389,3.670835962142372,0.5089351722509372,3.670835962142372,-1.7428797808617347,-20.528195872397482,14.99026231531472,0.9535980150394234,
cpu_core_weighted,cpu_weighted_mean_pct,lightgbm,16,1,mint,q95,7.138686440503589,4317,2.112790065069444,1.7536723164125938,32.57853107326954,2.1842792725035776,32.44961697240951,0.0,43.54431683536722,/Users/fgtek002/TimeTrack/results/final/packs/03_cpu_classical/metrics/predictions/base__cpu_core_weighted__f1__h16__lightgbm__s0.npz,157,92,50,4018,207,249,0.6305220883534136,True,0.7584541062801933,True,0.6885964912280701,True,0.9776155717761558,0.02238442822384428,5.273302290104754,0.5643964642029009,5.273302290104754,-3.5095330514643406,-20.528195872397482,14.99026231531472,0.8567724947166433,
cpu_core_weighted,cpu_weighted_mean_pct,lightgbm,16,2,independent,q90,4.978273174477393,3798,1.858785422083333,1.8000000000057879,34.34491525427833,1.9464673635386651,34.80928643632005,172.7779307352326,125.35067105209637,/Users/fgtek002/TimeTrack/results/final/packs/03_cpu_classical/metrics/predictions/base__cpu_core_weighted__f2__h16__lightgbm__s0.npz,372,233,118,3075,490,605,0.6148760330578512,True,0.7591836734693878,True,0.6794520547945206,True,0.9295646916565901,0.07043530834340991,4.365209850408368,0.6794509618501099,4.365209850408368,-3.076881773086067,-24.726044476249417,17.31903808690253,0.8240697182532427,
cpu_core_weighted,cpu_weighted_mean_pct,lightgbm,16,2,independent,q95,8.180833333253458,3798,1.858785422083333,1.8000000000057879,34.34491525427833,1.9464673635386651,34.80928643632005,172.7779307352326,46.80475700228491,/Users/fgtek002/TimeTrack/results/final/packs/03_cpu_classical/metrics/predictions/base__cpu_core_weighted__f2__h16__lightgbm__s0.npz,169,87,104,3438,273,256,0.66015625,True,0.6190476190476191,True,0.6389413988657845,True,0.9753191489361702,0.02468085106382979,6.543096190099937,0.7376769783270871,6.543096190099937,-5.250341974875201,-24.726044476249417,17.31903808690253,0.7260424655978815,
cpu_core_weighted,cpu_weighted_mean_pct,lightgbm,16,2,bottom_up,q90,4.978273174477393,3798,1.858785422083333,1.8000000000057879,34.34491525427833,2.167481418633309,32.25399426231254,0.0,110.28707109733801,/Users/fgtek002/TimeTrack/results/final/packs/03_cpu_classical/metrics/predictions/base__cpu_core_weighted__f2__h16__lightgbm__s0.npz,366,205,124,3103,490,571,0.6409807355516638,True,0.746938775510204,True,0.6899151743638077,True,0.9380290205562273,0.061970979443772674,3.657201282789682,0.6369489185896465,3.657201282789682,-1.8710387228756493,-18.758368326616253,15.10336387370872,0.9201088746817702,
cpu_core_weighted,cpu_weighted_mean_pct,lightgbm,16,2,bottom_up,q95,8.180833333253458,3798,1.858785422083333,1.8000000000057879,34.34491525427833,2.167481418633309,32.25399426231254,0.0,47.880728427624796,/Users/fgtek002/TimeTrack/results/final/packs/03_cpu_classical/metrics/predictions/base__cpu_core_weighted__f2__h16__lightgbm__s0.npz,211,89,62,3436,273,300,0.7033333333333334,True,0.7728937728937729,True,0.7364746945898778,True,0.9747517730496454,0.02524822695035461,4.974759354008773,0.7208358432956313,4.974759354008773,-3.5154933474560734,-18.758368326616253,12.269355464140496,0.8342978269910589,
cpu_core_weighted,cpu_weighted_mean_pct,lightgbm,16,2,wls,q90,4.978273174477393,3798,1.858785422083333,1.8000000000057879,34.34491525427833,2.2058640650266548,31.713526946305972,0.0,109.21109967199813,/Users/fgtek002/TimeTrack/results/final/packs/03_cpu_classical/metrics/predictions/base__cpu_core_weighted__f2__h16__lightgbm__s0.npz,371,203,119,3105,490,574,0.6463414634146342,True,0.7571428571428571,True,0.6973684210526315,True,0.93863361547763,0.06136638452237001,3.638129506937965,0.6332999361414574,3.638129506937965,-2.2336055389679115,-18.878584973072396,13.78766860654471,0.8912323047497199,
cpu_core_weighted,cpu_weighted_mean_pct,lightgbm,16,2,wls,q95,8.180833333253458,3798,1.858785422083333,1.8000000000057879,34.34491525427833,2.2058640650266548,31.713526946305972,0.0,45.72878557694503,/Users/fgtek002/TimeTrack/results/final/packs/03_cpu_classical/metrics/predictions/base__cpu_core_weighted__f2__h16__lightgbm__s0.npz,212,85,61,3440,273,297,0.7138047138047138,True,0.7765567765567766,True,0.743859649122807,True,0.975886524822695,0.024113475177304965,5.144026769512811,0.7016511600222827,5.144026769512811,-4.03711889659833,-18.878584973072396,13.78766860654471,0.8017481500671901,
