hierarchy,base_model,horizon,fold,threshold,method,delta_high_load_mae,rel_delta_high_load_mae,delta_precision,delta_recall,delta_f1,delta_false_alarms_per_day,rel_delta_false_alarms_per_day,delta_signed_peak_bias,delta_peak_magnitude_mae,coherence_independent,coherence_method,coherence_improved,operational_class
cpu_core_weighted,dlinear,8,0,q90,mint,-0.02463095649778957,-0.005441762217031151,0.035710417042787435,0.003012048192771122,0.021283675457223983,-19.505019605480314,-0.13851351351351351,-0.0741949286550474,-0.02463095649778957,96.52036216500535,0.0,True,operationally_harmful
cpu_core_weighted,dlinear,8,0,q95,bottom_up,-0.04430736742735242,-0.005929459877860381,0.019418789539564996,-0.017699115044247815,0.0011235256406132432,-6.660250596993279,-0.10526315789473686,-0.1445740405854421,-0.04430736742735242,96.52036216500535,0.0,True,coherence_only
cpu_core_weighted,dlinear,8,0,q95,wls,-0.04288567804441534,-0.00573920144806928,0.023296576135048652,-0.017699115044247815,0.0030279374541669624,-7.611714967992313,-0.12030075187969917,-0.08669357844854986,-0.04288567804441534,96.52036216500535,0.0,True,operationally_harmful
cpu_core_weighted,dlinear,8,0,q95,mint,-0.04512460545689834,-0.006038827244693888,0.01727247974950652,-0.02359882005899705,-0.0029333144087242413,-6.660250596993279,-0.10526315789473686,-0.11386595513557918,-0.04512460545689834,96.52036216500535,0.0,True,operationally_harmful
cpu_core_weighted,dlinear,8,1,q90,bottom_up,-0.05396480415172267,-0.011322374661891623,-0.0026505817486384142,0.021428571428571463,0.006976879000367142,3.84877095656843,0.04186046511627911,0.20633516475212677,-0.05396480415172267,97.31203887243763,0.0,True,operationally_harmful
cpu_core_weighted,dlinear,8,1,q90,wls,-0.05671482130832928,-0.011899356734988537,0.00799996942199932,0.01666666666666672,0.011600970858121396,-0.8552824347929828,-0.009302325581395342,0.1278461669878328,-0.05671482130832928,97.31203887243763,0.0,True,coherence_only
cpu_core_weighted,dlinear,8,1,q90,mint,-0.0575735902317156,-0.01207953534679693,0.012240606581532365,0.01904761904761909,0.015130025824990567,-2.138206086982464,-0.02325581395348843,0.13151890208000205,-0.0575735902317156,97.31203887243763,0.0,True,coherence_only
cpu_core_weighted,dlinear,8,1,q95,bottom_up,-0.15324933867567214,-0.020684813753437968,-0.005291005291005346,0.047826086956521685,0.025373696771762266,2.9934885217754434,0.11290322580645165,0.09890831043813186,-0.15324933867567214,97.31203887243763,0.0,True,recall_focused_tradeoff
cpu_core_weighted,dlinear,8,1,q95,wls,-0.11465076880261194,-0.015474975747787532,0.003300060001090954,0.017391304347826098,0.01171927770522807,0.4276412173964914,0.016129032258064502,0.061284020045259346,-0.11465076880261194,97.31203887243763,0.0,True,coherence_only
cpu_core_weighted,dlinear,8,1,q95,mint,-0.11724611515036987,-0.01582528235460854,-0.0018545791741668705,0.01304347826086949,0.007002296573152544,0.8552824347929864,0.03225806451612914,0.06304457318743939,-0.11724611515036987,97.31203887243763,0.0,True,coherence_only
cpu_core_weighted,dlinear,8,2,q90,bottom_up,0.08105775566829809,0.01519560940859051,0.005326139586359524,-0.01258992805755399,-0.0013726364915411793,-6.589674340955099,-0.03932584269662916,-0.22966271744461597,0.08105775566829809,116.15117033739223,0.0,True,coherence_only
cpu_core_weighted,dlinear,8,2,q90,wls,0.02528984135077028,0.004740996688140785,0.01041811792752212,-0.010791366906474864,0.0025199082595898092,-9.413820487078738,-0.05617977528089894,-0.14105950658759436,0.02528984135077028,116.15117033739223,0.0,True,coherence_only
cpu_core_weighted,dlinear,8,2,q90,mint,0.034645654373329116,0.0064948977086968064,0.007525238492173791,-0.01258992805755399,9.827816652152599e-06,-8.001747414016933,-0.047752808988764134,-0.16196309519332175,0.034645654373329116,116.15117033739223,0.0,True,coherence_only
cpu_core_weighted,dlinear,8,2,q95,bottom_up,0.14582715775301658,0.01793504205979975,0.021248339973439556,0.006514657980456029,0.012483229306422428,-3.2948371704775568,-0.07865168539325848,-0.39449950060765726,0.14582715775301658,116.15117033739223,0.0,True,operationally_harmful
cpu_core_weighted,dlinear,8,2,q95,wls,0.06992258138427232,0.008599663172347288,0.01195219123505975,0.009771986970684043,0.010752688172043001,-1.412073073061812,-0.033707865168539394,-0.24230273648219214,0.06992258138427232,116.15117033739223,0.0,True,coherence_only
cpu_core_weighted,dlinear,8,2,q95,mint,0.08442020664862504,0.010382702236468408,0.018549284642805364,0.006514657980456029,0.011412600442529452,-2.824146146123617,-0.06741573033707862,-0.27820954520423324,0.08442020664862504,116.15117033739223,0.0,True,coherence_only
cpu_core_weighted,dlinear,16,0,q90,bottom_up,0.0736199698798723,0.01602418697010225,0.02637610813361646,-0.0513274336283186,-0.007418144261730708,-24.25245978303191,-0.16858237547892724,-0.3998553931162858,0.0736199698798723,116.57592199027869,0.0,True,operationally_harmful
cpu_core_weighted,dlinear,16,0,q90,wls,0.010580520336860744,0.002302965301337066,0.016920867151281938,-0.030088495575221197,-0.003007550900864242,-15.43338349829304,-0.10727969348659011,-0.23444254013648846,0.010580520336860744,116.57592199027869,0.0,True,operationally_harmful
cpu_core_weighted,dlinear,16,0,q90,mint,0.02533515602452585,0.005514472197097549,0.020078138907366982,-0.038938053097345104,-0.00519534035337188,-18.740537105070104,-0.13026819923371644,-0.28911479550620856,0.02533515602452585,116.57592199027869,0.0,True,operationally_harmful
cpu_core_weighted,dlinear,16,0,q95,bottom_up,0.11937179161034095,0.0162417570085784,0.026968610839578577,0.0,0.013681797643843474,-7.165499481350338,-0.10924369747899164,-0.6032636271891665,0.11937179161034095,116.57592199027869,0.0,True,operationally_harmful
cpu_core_weighted,dlinear,16,0,q95,wls,0.04701197913723654,0.00639646210665743,0.03574810084773761,0.0,0.01801247059867761,-9.370268552535052,-0.14285714285714282,-0.3537045130937271,0.04701197913723654,116.57592199027869,0.0,True,operationally_harmful
