hierarchy,fold,horizon,seed,reconciliation_method,base_model,source,top_mae_native,top_mae_report,top_rmse_report,top_r2,mase,mase_valid,coherence_error_before,coherence_error_after,is_coherent_after,recon_adjustment_l2,bottom_mae_mean_native,bottom_mae_weighted_native,worst_machine_mae_native,improved_machine_count,degraded_machine_count,neg_pred_rate,prediction_hash,model_config_hash,report_unit,rel_mae_vs_independent,pct_vs_independent,persistence_mae_native,ewma_mae_native,ridge_mae_native,lightgbm_mae_native,rel_mae_vs_persistence,rel_mae_vs_ewma,rel_mae_vs_ridge,rel_mae_vs_lightgbm
memory_um,0,16,1,wls,dlinear,robustness_extension,1296714082.035089,1296714082.035089,3939010653.7379036,0.5019247428504905,1.4912134553937522,True,402989375.0767776,0.0,True,421247024.3924649,273954613.8425022,273954613.8425021,544420786.317712,5,2,0.0,674c8f849199b397,177793534259287c,native,0.9594906748418367,-4.05093251581633,1285438902.927975,1278392838.9775565,1353419666.8608923,1735274052.5911322,1.0087714624798048,1.014331465648842,0.9581019943671089,0.747267603119415
memory_um,0,16,1,mint,dlinear,robustness_extension,1293806896.8056438,1293806896.8056438,3939782052.604421,0.501729641925889,1.4878702097303236,True,402989375.0767776,0.0,True,470448377.98984474,273012392.91177285,273012392.9117729,543877932.2849722,5,2,0.0,674c8f849199b397,177793534259287c,native,0.9573395320754122,-4.266046792458777,1285438902.927975,1278392838.9775565,1353419666.8608923,1735274052.5911322,1.006509834001918,1.012057371848559,0.9559539649711802,0.7455922566661535
memory_um,0,16,2,independent,dlinear,robustness_extension,1393497020.5925777,1393497020.5925777,4012333585.761013,0.48320926000869335,1.602513257122572,True,529072246.86218697,529072246.86218697,False,0.0,289102414.74909085,289102414.7490908,648985888.4730203,0,0,0.0,3bc8799ab0af65c0,177793534259287c,native,1.0,0.0,1285438902.927975,1278392838.9775565,1353419666.8608923,1735274052.5911322,1.08406320784167,1.0900381933514898,1.0296119191356516,0.803041466857521
memory_um,0,16,2,bottom_up,dlinear,robustness_extension,1400298306.5383697,1400298306.5383697,4060007447.997395,0.47085546201793727,1.610334695369335,True,529072246.86218697,0.0,True,930053933.075335,289102414.74909085,289102414.7490908,648985888.4730203,0,0,0.0,3bc8799ab0af65c0,177793534259287c,native,1.0048807323196858,0.48807323196857766,1285438902.927975,1278392838.9775565,1353419666.8608923,1735274052.5911322,1.0893542301767651,1.0953583779914722,1.0346371793061107,0.8069608972988602
memory_um,0,16,2,wls,dlinear,robustness_extension,1367547069.698006,1367547069.698006,4014789570.0379076,0.48257640216770636,1.5726709684662625,True,529072246.86218697,0.0,True,551987302.0318863,295114074.12328154,295114074.1232815,647135222.6945975,4,3,0.0,3bc8799ab0af65c0,177793534259287c,native,0.9813778210422461,-1.8622178957753865,1285438902.927975,1278392838.9775565,1353419666.8608923,1735274052.5911322,1.063875588783726,1.0697393070441117,1.0104383017204712,0.788087084951203
memory_um,0,16,2,mint,dlinear,robustness_extension,1371102034.437272,1371102034.437272,4021471368.7353764,0.48085267679477295,1.5767591566999586,True,529072246.86218697,0.0,True,632362204.016247,293472602.0190576,293472602.0190575,645814293.5566134,5,2,0.0,3bc8799ab0af65c0,177793534259287c,native,0.9839289314405694,-1.6071068559430635,1285438902.927975,1278392838.9775565,1353419666.8608923,1735274052.5911322,1.0666411537056903,1.0725201148137402,1.0130649553936157,0.7901357323875879
memory_um,1,1,0,independent,dlinear,experiment-freeze-v2:memory_dlinear,836589801.3086051,836589801.3086051,2867150182.7298512,0.5387808720082927,0.8573248490880949,True,303539149.51929253,303539149.51929253,False,0.0,178494246.02162883,178494246.02162886,328854318.090123,0,0,0.0,64e71b67366f24d6,177793534259287c,native,1.0,0.0,843922661.6452392,834534180.4979616,834422178.6472346,1352577183.857901,0.9913109806503612,1.0024631954672207,1.0025977529323162,0.618515387729988
memory_um,1,1,0,bottom_up,dlinear,experiment-freeze-v2:memory_dlinear,799487870.2696177,799487870.2696177,2849186520.3198338,0.5445421537328827,0.8193033391687513,True,303539149.51929253,0.0,True,540193194.6817759,178494246.02162883,178494246.02162886,328854318.090123,0,0,0.0,64e71b67366f24d6,177793534259287c,native,0.9556509881175314,-4.434901188246865,843922661.6452392,834534180.4979616,834422178.6472346,1352577183.857901,0.9473473181902767,0.9580049432997075,0.9581335332741846,0.5910848414500611
memory_um,1,1,0,wls,dlinear,experiment-freeze-v2:memory_dlinear,792786911.0619098,792786911.0619098,2843815929.5196085,0.5462575713283054,0.8124362953289778,True,303539149.51929253,0.0,True,356899655.3468573,177809120.0540493,177809120.0540493,322746810.76172173,3,4,0.0,64e71b67366f24d6,177793534259287c,native,0.947641137654107,-5.235886234589304,843922661.6452392,834534180.4979616,834422178.6472346,1352577183.857901,0.9394070654725167,0.9499753630089285,0.9501028751982313,0.586130625685017
memory_um,1,1,0,mint,dlinear,experiment-freeze-v2:memory_dlinear,792890342.5107149,792890342.5107149,2843829666.3187456,0.5462531877930761,0.8125422903472043,True,303539149.51929253,0.0,True,353056383.543727,177528654.64329857,177528654.6432985,321138315.97130764,4,3,0.0,64e71b67366f24d6,177793534259287c,native,0.9477647722581187,-5.223522774188128,843922661.6452392,834534180.4979616,834422178.6472346,1352577183.857901,0.9395296258130619,0.9500993021491365,0.9502268309743982,0.5862070955900541
