experiment_stage,eligible_for_final_claims,target,model,method,threshold_mode,threshold,outer_fold,mae,peak_precision,peak_recall,peak_f1,peak_magnitude_mae,peak_timing_mae_steps,high_load_mae,false_alarms_per_day,n_true_peaks,n_pred_peaks
development,False,machine01_DWT,ridge,point,q95,66507332.266666666,outer_1,6899310.548662293,0.8910891089108911,0.7079646017699115,0.7890410958904109,174497384.27316093,0.6625,146810546.17511603,5.663784704260163,113,101
development,False,machine01_DWT,ridge,point,mad,363317.7668266663,outer_1,6899310.548662293,0.24976206662134603,0.9977653631284916,0.39951656878300756,32526951.834189165,0.051511758118701005,32492529.049521446,1742.8274647109129,895,7355
development,False,machine01_DWT,lightgbm,point,q90,9112576.0,outer_1,6374524.937212799,0.6088397790055249,1.0,0.7568681318681318,59286482.862765916,0.1792717086834734,59286482.862765916,147.7978103778366,357,905
development,False,machine01_DWT,lightgbm,point,q95,66507332.266666666,outer_1,6374524.937212799,0.660377358490566,0.7256637168141593,0.6914829538609807,119651471.87534659,0.36585365853658536,132085090.70146349,20.767210582287262,113,159
development,False,machine01_DWT,lightgbm,point,mad,363317.7668266663,outer_1,6374524.937212799,0.29365351629502573,1.0,0.4539909838239194,34196591.709556,0.08826815642458101,34196591.709556,1330.9894055011382,895,5830
development,False,machine01_tx_bond0,persistence,point,q90,24.211555555555627,outer_1,39.078021413551674,1.0,1.0,1.0,216.50454551955383,0.4376391982182628,216.50454551955383,-0.2622276383560367,898,897
development,False,machine01_tx_bond0,persistence,point,q95,63.06733333333317,outer_1,39.078021413551674,1.0,1.0,1.0,294.14854207434377,0.4069767441860465,294.14854207434377,-0.2622276383560367,602,601
development,False,machine01_tx_bond0,persistence,point,mad,7.595648666671119,outer_1,39.078021413551674,0.9993742177722152,1.0,0.9996870109546165,154.20492130047975,0.28115216030056356,154.20492130047975,0.2622276383560367,1597,1598
development,False,machine01_tx_bond0,ridge,point,q90,24.211555555555627,outer_1,45.498169388352686,0.8058981233243968,0.9242761692650334,0.861037449735026,256.2081676780692,0.07951807228915662,239.27313599093893,271.405605698498,898,1865
development,False,machine01_tx_bond0,ridge,point,q95,63.06733333333317,outer_1,45.498169388352686,0.673289183222958,0.9335548172757475,0.7823439739294744,340.3060961897245,0.18327402135231316,330.20425832457715,208.99542776976125,602,1359
development,False,machine01_tx_bond0,ridge,point,mad,7.595648666671119,outer_1,45.498169388352686,0.33102030326394244,1.0,0.49739331917358565,161.4294352568492,0.003757044458359424,161.4294352568492,1621.8779432320869,1597,7782
development,False,machine01_tx_bond0,lightgbm,point,q90,24.211555555555627,outer_1,44.959222850113484,0.7713075701429327,0.9955456570155902,0.8691971578351715,252.805602067648,0.17785234899328858,251.89896029279137,260.9165001642565,898,1889
development,False,machine01_tx_bond0,lightgbm,point,q95,63.06733333333317,outer_1,44.959222850113484,0.7030636292223095,0.9817275747508306,0.8193501366629155,342.78680676379855,0.2521150592216582,339.3675415309069,178.83924935881703,602,1273
development,False,machine01_tx_bond0,lightgbm,point,mad,7.595648666671119,outer_1,44.959222850113484,0.8437751004016064,1.0,0.9152690045741668,171.8567452876632,0.1340012523481528,171.8567452876632,234.16928105194077,1597,2490
development,False,machine01_rx_bond0,persistence,point,q90,19.953333333333333,outer_1,17.061195028430255,1.0,0.9987593052109182,0.9993792675356922,93.27787456623348,0.4968944099378882,93.18674403534072,0.2622276383560367,806,806
development,False,machine01_rx_bond0,persistence,point,q95,38.80333333333333,outer_1,17.061195028430255,1.0,1.0,1.0,133.8881529758742,0.571753986332574,133.8881529758742,0.2622276383560367,439,440
development,False,machine01_rx_bond0,persistence,point,mad,14.681580222226668,outer_1,17.061195028430255,0.9990654205607477,0.9981308411214953,0.998597912174898,79.5665002252299,0.43913857677902624,79.44457426426895,0.5244552767120734,1070,1070
development,False,machine01_rx_bond0,ridge,point,q90,19.953333333333333,outer_1,14.29825423501927,0.8334430546412114,0.9317617866004962,0.8798643324318134,80.42629793937166,0.18641810918774968,75.99915424479664,201.39082625743617,806,1519
development,False,machine01_rx_bond0,ridge,point,q95,38.80333333333333,outer_1,14.29825423501927,0.7525773195876289,0.8792710706150342,0.8110060585128582,129.17240295452712,0.38860103626943004,122.6190618891266,102.26877895885431,439,776
development,False,machine01_rx_bond0,ridge,point,mad,14.681580222226668,outer_1,14.29825423501927,0.8856068743286788,0.9476635514018692,0.9155848955974788,64.66290577165965,0.1291913214990138,61.70650259535044,222.36903732591912,1070,1862
development,False,machine01_rx_bond0,lightgbm,point,q90,19.953333333333333,outer_1,14.519389985559013,0.7940642035130224,0.9987593052109182,0.8847262525668341,77.325992157851,0.24472049689440994,77.24520828233996,221.84458204920705,806,1651
development,False,machine01_rx_bond0,lightgbm,point,q95,38.80333333333333,outer_1,14.519389985559013,0.6415289256198347,0.9567198177676538,0.7680449483862134,119.93123627264288,0.430952380952381,119.09395091226753,143.7007458191081,439,968
development,False,machine01_rx_bond0,lightgbm,point,mad,14.681580222226668,outer_1,14.519389985559013,0.8452075858534085,0.9981308411214953,0.9153259610332168,64.36965140327399,0.19194756554307116,64.2649562306735,231.5470046683804,1070,1951
development,False,averageRttWithGoogleDns,persistence,point,q90,3.345700000000001,outer_1,0.22476448439208066,1.0,0.9961977186311787,0.9980952380952381,3.461671755725191,0.7633587786259542,3.4535969581749053,0.0,263,262
development,False,averageRttWithGoogleDns,persistence,point,q95,4.846699999999998,outer_1,0.22476448439208066,1.0,1.0,1.0,8.51543373493976,0.9518072289156626,8.51543373493976,0.0,83,83
development,False,averageRttWithGoogleDns,persistence,point,mad,2.8699258000044483,outer_1,0.22476448439208066,1.0,1.0,1.0,1.6703193548387096,0.7387096774193549,1.6703193548387096,-0.24818143545126176,620,619
development,False,averageRttWithGoogleDns,ridge,point,q90,3.345700000000001,outer_1,0.25381493997743615,0.6454545454545455,0.6958174904942965,0.6696904878488776,4.127174617597208,0.5901639344262295,3.1025377842851802,63.78262891097427,263,440
development,False,averageRttWithGoogleDns,ridge,point,q95,4.846699999999998,outer_1,0.25381493997743615,0.7333333333333333,0.4819277108433735,0.5816259087904825,13.121609760097448,0.8,8.025347910560987,12.409071772563088,83,90
development,False,averageRttWithGoogleDns,ridge,point,mad,2.8699258000044483,outer_1,0.25381493997743615,0.3424568965517241,1.0,0.5101942526890352,1.4882063017746148,0.27419354838709675,1.4882063017746148,997.6893705140723,620,4640
development,False,averageRttWithGoogleDns,lightgbm,point,q90,3.345700000000001,outer_1,0.2777674196860344,0.31025299600532624,0.623574144486692,0.41435023286326944,3.7927042624607443,0.6097560975609756,3.1976989924352166,145.68250260989063,263,751
