experiment_stage,eligible_for_final_claims,family,method,base_model,horizon,outer_fold,machine,mae,mase,mase_valid,nmae_train_range,n_parameters,train_seconds,infer_seconds,n_test
development,False,CU,global_embed,ridge,8,outer_0,machine06,0.07038751285948269,1.291255171056466,True,0.043576336521885285,3208,0.6075194170007308,0.09058983400245779,4295
development,False,CU,global_embed,ridge,8,outer_0,machine07,0.9512165003932119,0.6578099483803728,True,0.07924969686482815,3208,0.6075194170007308,0.09058983400245779,4295
development,False,CU,local,ridge,16,outer_0,machine01,3.8218855893091357,1.4626070862580927,True,0.03871861280263235,528,0.011181107000343868,0.002548291002312908,3707
development,False,CU,local,ridge,16,outer_0,machine02,1.2293837725144277,0.6116126350003769,True,0.08592916378956443,528,0.011181107000343868,0.0020530830006464384,3707
development,False,CU,local,ridge,16,outer_0,machine03,0.8214389725802337,0.826910991615876,True,0.013470711081080054,528,0.011181107000343868,0.0021230000020295847,3707
development,False,CU,local,ridge,16,outer_0,machine04,3.362777728495905,1.864483555373074,True,0.03380053557813313,528,0.011181107000343868,0.0037209589972917456,3707
development,False,CU,local,ridge,16,outer_0,machine05,0.6012373141297562,0.7104745785038985,True,0.05837255476917549,528,0.011181107000343868,0.002159750001737848,3707
development,False,CU,local,ridge,16,outer_0,machine06,0.058705728552941205,1.0769534607076279,True,0.036344238903460196,528,0.011181107000343868,0.0024729579999984708,3707
development,False,CU,local,ridge,16,outer_0,machine07,0.9484160204858929,0.6558732877542037,True,0.07901637754831153,528,0.011181107000343868,0.002754542001639493,3707
development,False,CU,global_pooled,ridge,16,outer_0,machine01,4.43622471992709,1.6977100857620313,True,0.04494233624282096,528,0.16840783299994655,0.11256104200219852,3707
development,False,CU,global_pooled,ridge,16,outer_0,machine02,1.506754282053085,0.7496031567585811,True,0.10531628803620607,528,0.16840783299994655,0.11256104200219852,3707
development,False,CU,global_pooled,ridge,16,outer_0,machine03,1.2120423251041408,1.2201163499512224,True,0.01987618377568961,528,0.16840783299994655,0.11256104200219852,3707
development,False,CU,global_pooled,ridge,16,outer_0,machine04,3.5642587489165365,1.9761941945005903,True,0.035825696605380736,528,0.16840783299994655,0.11256104200219852,3707
development,False,CU,global_pooled,ridge,16,outer_0,machine05,0.630794195192026,0.7454015734210402,True,0.06124215487227387,528,0.16840783299994655,0.11256104200219852,3707
development,False,CU,global_pooled,ridge,16,outer_0,machine06,0.0698402275028808,1.2812152503653276,True,0.043237516610455905,528,0.16840783299994655,0.11256104200219852,3707
development,False,CU,global_pooled,ridge,16,outer_0,machine07,1.0536868876997834,0.7286729329446526,True,0.08778691959835977,528,0.16840783299994655,0.11256104200219852,3707
development,False,CU,global_onehot,ridge,16,outer_0,machine01,3.9006273217510414,1.4927409594896535,True,0.03951632654329347,640,0.21944054200139362,0.1220002910013136,3707
development,False,CU,global_onehot,ridge,16,outer_0,machine02,1.455759846071934,0.7242336651009843,True,0.10175197448355638,640,0.21944054200139362,0.1220002910013136,3707
development,False,CU,global_onehot,ridge,16,outer_0,machine03,1.2040183106942621,1.2120388835369238,True,0.019744598614242524,640,0.21944054200139362,0.1220002910013136,3707
development,False,CU,global_onehot,ridge,16,outer_0,machine04,3.651046753211838,2.024313582660275,True,0.03669803526817145,640,0.21944054200139362,0.1220002910013136,3707
development,False,CU,global_onehot,ridge,16,outer_0,machine05,0.6309145109941906,0.7455437490924787,True,0.06125383601811496,640,0.21944054200139362,0.1220002910013136,3707
development,False,CU,global_onehot,ridge,16,outer_0,machine06,0.07110735336775877,1.3044606068061704,True,0.044021983923766696,640,0.21944054200139362,0.1220002910013136,3707
development,False,CU,global_onehot,ridge,16,outer_0,machine07,1.0219555242071314,0.706729236033895,True,0.08514325126747944,640,0.21944054200139362,0.1220002910013136,3707
development,False,CU,global_residual,ridge,16,outer_0,machine01,3.8218868972693194,1.4626075868046917,True,0.0387186260532655,4336,0.36982245900071575,29.49320912499752,3707
development,False,CU,global_residual,ridge,16,outer_0,machine02,1.2293831622985893,0.6116123314208721,True,0.08592912113784096,4336,0.36982245900071575,29.49320912499752,3707
development,False,CU,global_residual,ridge,16,outer_0,machine03,0.8214392850779966,0.826911306195344,True,0.01347071620570552,4336,0.36982245900071575,29.49320912499752,3707
