hierarchy,method,model,horizon,top_mae_mean,top_mae_std,top_mase_mean,top_mase_std,bottom_mae_macro_mean,bottom_mae_macro_std,worst_child_mae_mean,worst_child_mae_max,coherence_error_mean,coherence_error_max,adjustment_mae_mean,infer_seconds_total_mean,outer_fold_count
bond0_transmitted_acamas,ols,ridge,1,48.69183671118972,6.094196571805303,1.5297715462369197,0.18180737852101025,12.173868866761127,1.5235924929158706,48.68977054202974,55.71716461993784,0.0,0.0,0.002728582934949597,0.0013641389996337239,3
bond0_transmitted_acamas,ols,ridge,8,48.35063281871916,6.21614670198782,1.5341279127632068,0.1795128404049914,12.088565699322787,1.5540818961043539,48.34856249369768,55.52139026664476,0.0,0.0,0.0027149402903553278,0.007386082666926086,3
bond0_transmitted_acamas,ols_nn,lightgbm,1,49.78077744937182,6.1922788047272705,1.5668567654081809,0.22114669137404322,12.960641303947599,1.477821807509246,48.56373146538027,54.99302115503906,0.0,0.0,7.441315170929033,0.07436352800141321,3
bond0_transmitted_acamas,ols_nn,lightgbm,8,48.850429801885646,6.121226086998639,1.5525403892044591,0.20936548726852583,12.642091710661328,1.553014844204453,47.48183686941086,54.11910159789621,0.0,0.0,7.2550344631302215,0.6633216253321734,3
bond0_transmitted_acamas,ols_nn,persistence,1,48.05185786473901,8.235388825996287,1.521124234887898,0.3573394443115601,12.014152373019757,2.058890023873683,48.05157070359991,55.2638459319333,0.0,0.0,0.004338703020224074,0.0003204446657036897,3
bond0_transmitted_acamas,ols_nn,persistence,8,47.528719295580466,8.388897229504531,1.519607427122021,0.3605269817702692,11.883367964331567,2.097264501832107,47.52843413676365,54.78067574455932,0.0,0.0,0.004327209682026166,0.0006971939983486664,3
bond0_transmitted_acamas,ols_nn,ridge,1,48.67560961898281,6.106963894447469,1.5291630363962774,0.1809150767204332,12.169614719466216,1.5266751155393357,48.67320048534302,55.71390944397411,0.0,0.0,0.02377700753206791,0.0013717496670627345,3
bond0_transmitted_acamas,ols_nn,ridge,8,48.33197517788542,6.228790430086205,1.5334281606671614,0.17849950674099815,12.083707642230172,1.5571357674113133,48.32956821303293,55.51572950713824,0.0,0.0,0.02678667418641827,0.007356610332256726,3
bond0_transmitted_acamas,top_down,lightgbm,1,49.218739599159335,5.4670688593630885,1.552874475735566,0.24260890128750642,12.307141369277481,1.3661349427681864,49.21079094637624,55.355100428974595,4.393693564103847e-12,8.972662446714391e-12,2.723631472445432,0.07453738900100386,3
bond0_transmitted_acamas,top_down,lightgbm,8,48.61708312082959,5.225619126977081,1.5503392644927343,0.2439397913560899,12.155871981472693,1.3054593993262897,48.61721905264857,54.49130901912356,1.5605162265512138e-12,1.7879097796266133e-12,2.604388807129965,0.6635388476631002,3
bond0_transmitted_acamas,top_down,persistence,1,48.05163691564775,8.23538163984709,1.5211173851995736,0.3573397228082876,12.013985723997116,2.058885801980957,48.05132403951777,55.263633509202926,9.995064837608226e-13,9.999448223582008e-13,0.0018192375031253042,0.00048288933491373126,3
bond0_transmitted_acamas,top_down,persistence,8,47.528503773268746,8.38889489938307,1.5196007041979172,0.3605276093969392,11.883204775536896,2.0972626137347823,47.52819565232227,54.780471719934646,9.995318684776162e-13,9.999861829271942e-13,0.0018150762530511945,0.0008522080000451145,3
bond0_transmitted_acamas,top_down,ridge,1,48.69076897177998,6.09419635132045,1.5297375294892153,0.18180159168000695,12.172968072451468,1.523491657966246,48.68550250793512,55.71290515402262,9.98892415188764e-13,9.99157065548839e-13,0.0017054035388889817,0.0015067223321238998,3
bond0_transmitted_acamas,top_down,ridge,8,48.349567979829,6.2161473281535535,1.5340936246170906,0.1795069590540664,12.087668293259552,1.553984497071226,48.34430600272034,55.51714295958926,9.987602486374435e-13,9.990209951518638e-13,0.0016968530701274877,0.007507679665044027,3
bond0_transmitted_acamas,wls,lightgbm,1,48.99943860185068,5.430119200389467,1.545933023864085,0.24096126073439714,12.250064529846858,1.3570988984305379,48.99933800901843,55.12560778152457,0.0,0.0,6.815703556822949,0.07437104166698798,3
bond0_transmitted_acamas,wls,lightgbm,8,48.13014571871927,5.43339201990399,1.5339652906139989,0.23905049139882412,12.032674058693864,1.3579106464752868,48.129776193576426,54.232863683438495,0.0,0.0,6.554602001374405,0.6633305279974593,3
bond0_transmitted_acamas,wls,persistence,1,48.05180036926665,8.235347448492735,1.5211226214393159,0.3573398022677165,12.01402432483516,2.0588779321146706,48.051476729894354,55.26376486589948,0.0,0.0,0.004548099395583213,0.00031090333383569185,3
bond0_transmitted_acamas,wls,persistence,8,47.528662273970156,8.388856948869869,1.5196058287837957,0.3605274686165764,11.883242100395575,2.0972538193097208,47.52834319335049,54.780597819064326,0.0,0.0,0.004537695193185626,0.0006868883331965966,3
