experiment_stage,eligible_for_final_claims,target,horizon,outer_fold,method,mae,mase,beats_best_constituent,train_seconds,best_constituent_mae,weights,stacking_accepted
development,False,cluster_UM,1,outer_2,ridge,1062872941.5920458,1.008437280723627,False,0.5439058330011903,,,
development,False,cluster_UM,1,outer_2,lightgbm,1301076111.0727248,1.2344407352203022,False,0.5439058330011903,,,
development,False,cluster_UM,1,outer_2,ens_mean,1046162528.6490852,0.9925827013768925,False,0.5439058330011903,1042314122.8689455,0.3333;0.3333;0.3333,True
development,False,cluster_UM,1,outer_2,ens_inverse_mae,1015027790.6084249,0.9630425471993512,True,0.5439058330011903,1042314122.8689455,0.4106;0.3926;0.1968,True
development,False,cluster_UM,1,outer_2,ens_nonnegative,1046162528.6490829,0.9925827013768904,False,0.5439058330011903,1042314122.8689455,0.3333;0.3333;0.3333,True
development,False,cluster_UM,1,outer_2,ens_stacking,1086350958.3847487,1.030712857121078,False,0.5439058330011903,1042314122.8689455,0.1927;0.3548;0.4526,True
development,False,cluster_UM,8,outer_2,persistence,1043003720.7891682,0.9895856737135375,False,6.448465000004944,,,
development,False,cluster_UM,8,outer_2,ridge,1063739741.8137753,1.0092596872637938,False,6.448465000004944,,,
development,False,cluster_UM,8,outer_2,lightgbm,1310303245.9898474,1.2431952970127544,False,6.448465000004944,,,
development,False,cluster_UM,8,outer_2,ens_mean,1049974214.7955663,0.9961991697825816,False,6.448465000004944,1043003720.7891682,0.3333;0.3333;0.3333,True
development,False,cluster_UM,8,outer_2,ens_inverse_mae,1016617585.9357679,0.9645509202269038,True,6.448465000004944,1043003720.7891682,0.4141;0.3960;0.1899,True
development,False,cluster_UM,8,outer_2,ens_nonnegative,1049974214.7955652,0.9961991697825806,False,6.448465000004944,1043003720.7891682,0.3333;0.3333;0.3333,True
development,False,cluster_UM,8,outer_2,ens_stacking,1088242401.9477897,1.03250742929308,False,6.448465000004944,1043003720.7891682,0.2017;0.3548;0.4434,True
development,False,averageRttWithGoogleDns,1,outer_2,persistence,0.4196355840077303,,False,0.5743385839959956,,,
development,False,averageRttWithGoogleDns,1,outer_2,ridge,0.4281653057269236,,False,0.5743385839959956,,,
development,False,averageRttWithGoogleDns,1,outer_2,lightgbm,0.5601967148076067,,False,0.5743385839959956,,,
development,False,averageRttWithGoogleDns,1,outer_2,ens_mean,0.4358091655363334,,False,0.5743385839959956,0.4196355840077303,0.3333;0.3333;0.3333,True
development,False,averageRttWithGoogleDns,1,outer_2,ens_inverse_mae,0.4327571286631266,,False,0.5743385839959956,0.4196355840077303,0.3522;0.3374;0.3104,True
development,False,averageRttWithGoogleDns,1,outer_2,ens_nonnegative,0.4281653057269236,,False,0.5743385839959956,0.4196355840077303,0.0000;1.0000;0.0000,True
development,False,averageRttWithGoogleDns,1,outer_2,ens_stacking,0.43352871028996587,,False,0.5743385839959956,0.4196355840077303,0.0000;0.9004;0.0996,True
development,False,averageRttWithGoogleDns,8,outer_2,persistence,0.41983861218568663,,False,5.368509250998613,,,
development,False,averageRttWithGoogleDns,8,outer_2,ridge,0.4257858529579539,,False,5.368509250998613,,,
development,False,averageRttWithGoogleDns,8,outer_2,lightgbm,0.5433281266744271,,False,5.368509250998613,,,
development,False,averageRttWithGoogleDns,8,outer_2,ens_mean,0.43273875811279966,,False,5.368509250998613,0.41983861218568663,0.3333;0.3333;0.3333,True
development,False,averageRttWithGoogleDns,8,outer_2,ens_inverse_mae,0.43068809270739605,,False,5.368509250998613,0.41983861218568663,0.3469;0.3372;0.3159,True
