experiment_stage,eligible_for_final_claims,hierarchy,method,model,horizon,context,outer_fold,top_mae,top_mase,bottom_mae_macro,bottom_mase_macro,worst_child_mae,coherence_error,coherent,adjustment_mae,train_seconds_total,infer_seconds_total,n_test,top_metric_scale,top_mae_vs_weighted_mean,bond_agg_rel_error,bond_host
development,False,cpu_core_weighted,bottom_up_nn,ridge,1,32,outer_2,1.2099837418227541,1.148380627144131,1.7351077424938695,1.1212687977112494,4.043011656945298,0.0,True,0.5640543284984098,0.011366584003553726,0.0017990419946727343,4852,weighted_mean_CU,1.2904214818815554,,
development,False,bond0_transmitted_acamas,independent,ridge,1,32,outer_2,55.71797201188356,1.3914062298625158,13.931041213016488,1.3281708881253373,55.71823015275019,0.006919230729502319,True,0.0,0.00745654300408205,0.0014375839964486659,8014,,,0.00017352694631481117,acamas
development,False,bond0_transmitted_acamas,bottom_up,ridge,1,32,outer_2,55.72329967594526,1.391539273918112,13.931041213016488,1.3281708881253373,55.71823015275019,0.0,True,0.006919230729502319,0.00745654300408205,0.0016632499973638915,8014,,,0.00017352694631481117,acamas
development,False,bond0_transmitted_acamas,top_down,ridge,1,32,outer_2,55.71797201188356,1.3914062298625158,13.929709866144053,1.3280662452660112,55.71290515402262,9.986741799051986e-13,True,0.001729891889989294,0.00745654300408205,0.0016329999962181319,8014,,,0.00017352694631481117,acamas
development,False,bond0_transmitted_acamas,ols,ridge,1,32,outer_2,55.71903754469588,1.3914328386736345,13.930722146702657,1.294346344002463,55.71716461993784,0.0,True,0.0027676922917869093,0.00745654300408205,0.0014744589971087407,8014,,,0.00017352694631481117,acamas
development,False,bond0_transmitted_acamas,wls,ridge,1,32,outer_2,55.72063584607718,1.3914727519443233,13.930375255549865,1.328154257160036,55.71556632288639,0.0,True,0.0043245212993671175,0.00745654300408205,0.0014998339975136332,8014,,,0.00017352694631481117,acamas
development,False,bond0_transmitted_acamas,mint,ridge,1,32,outer_2,55.720635846566054,1.3914727519565315,13.930375255675237,1.3281542545873992,55.71556632340336,0.0,True,0.004324521794848115,0.00745654300408205,0.001511208996817004,8014,,,0.00017352694631481117,acamas
development,False,bond0_transmitted_acamas,bottom_up_nn,ridge,1,32,outer_2,55.72005428260932,1.391458228963622,13.930224583711167,1.3263887605661508,55.714975388608586,0.0,True,0.011001885957061891,0.00745654300408205,0.001617249996343162,8014,,,0.00017352694631481117,acamas
development,False,bond0_transmitted_acamas,ols_nn,ridge,1,32,outer_2,55.71633373547633,1.3913653183232593,13.929726695871123,1.1634466979712221,55.71390944397411,0.0,True,0.0073871571320701,0.00745654300408205,0.0014589999955205712,8014,,,0.00017352694631481117,acamas
development,False,memory_um,independent,ridge,8,32,outer_2,1063739741.8137753,1.007982530286277,224244437.99396488,1.1198426686254053,624820134.8466765,428265056.35127103,False,0.0,0.07707212599780178,0.012983042000996647,8272,,,,
