base_model,horizon,reconciliation_method,nonnegative,mean_cluster_mae,std_cluster_mae,mean_rmse,mean_r2,mean_mase,mase_valid_all,coherence_before,coherence_after,rel_vs_ind,rel_vs_pers,macro_machine_mae,weighted_machine_mae,worst_machine_mae,best_machine_mae,machines_improved,machines_degraded,adj_magnitude,wall_train
persistence,16,independent,False,1058049629.858864,220579749.35824892,3788234009.2125077,0.3560648171365098,1.1115011364248557,True,0.0,0.0,1.0,1.0,191973124.7246809,160124369.66989312,383603348.95737815,5498924.430663855,0.0,0.0,0.0,0.0004644170012397333
persistence,16,mint,False,1058049629.8586489,220579749.35820168,3788234009.2125125,0.35606481713650795,1.1115011364246576,True,0.0,0.0,0.9999999999998058,0.9999999999998058,191973124.726351,160124369.67158267,383603348.96571016,5498924.430664,3.6666666666666665,3.3333333333333335,0.016740454083032392,0.0004644170012397333
persistence,16,wls,False,1058049629.8588299,220579749.3581546,3788234009.2124915,0.3560648171365159,1.1115011364248277,True,0.0,0.0,0.9999999999999831,0.9999999999999831,191973124.72616807,160124369.67149195,383603348.96868277,5498924.43066393,4.0,3.0,0.01783846110684281,0.0004644170012397333
ridge,1,bottom_up,False,1053284282.2430868,239784962.64369434,3369079514.399451,0.4916235659144816,1.1045890806548408,True,398158437.0610418,0.0,0.972720265548638,0.9914474203410822,221326800.50993642,185739402.6767653,502290266.02808875,4796303.93430479,0.0,0.0,49769804.63263023,0.009936083667829066
ridge,1,independent,False,1085329875.9505737,262856622.81030264,3372382751.921577,0.4914965241405333,1.1425301133409644,True,398158437.0610418,398158437.0610418,1.0,1.019445825979094,221326800.50993642,185739402.6767653,502290266.02808875,4796303.93430479,0.0,0.0,0.0,0.009936083667829066
ridge,1,mint,False,1039897838.0820197,241915382.57777125,3353820321.529358,0.4966039534750868,1.092186177418063,True,398158437.0610418,0.0,0.9593009593891854,0.97786758896587,220404924.00665197,185372987.8078302,491009721.54827833,4796469.306731312,3.3333333333333335,3.6666666666666665,49770109.076054424,0.009936083667829066
ridge,1,wls,False,1041037884.1961557,243517277.8679619,3353933732.2113304,0.49656112377661515,1.093469481141733,True,398158437.0610418,0.0,0.9601446710558372,0.9787534342647987,220834192.33862007,185848186.14714536,492172819.7239998,4796352.659352976,3.0,4.0,49769804.63263023,0.009936083667829066
ridge,8,bottom_up,False,1053212512.2921486,238651553.76039112,3370061167.884895,0.4910820688935602,1.103868216051857,True,398385331.9792436,0.0,0.9726938510876876,0.9917683795486886,221301976.27120617,185704919.76067254,501919150.81843513,4796051.879013496,0.0,0.0,49798166.49740545,0.056816332334165
ridge,8,bottom_up,True,1053212512.2921486,238651553.76039112,3370061167.884895,0.4910820688935602,1.103868216051857,True,398385331.9792436,0.0,0.9726938510876876,0.9917683795486886,221301976.27120617,185704919.76067254,501919150.81843513,4796051.879013496,0.0,0.0,49798166.49740545,0.056816332334165
ridge,8,independent,False,1085300768.7920952,261742331.195525,3373358553.6612496,0.4909563664721887,1.1418449142157423,True,398385331.9792436,398385331.9792436,1.0,1.019819831765697,221301976.27120617,185704919.76067254,501919150.81843513,4796051.879013496,0.0,0.0,0.0,0.056816332334165
ridge,8,independent,True,1053212512.2921486,238651553.76039112,3370061167.884895,0.4910820688935602,1.103868216051857,True,398385331.9792436,0.0,0.9726938510876876,0.9917683795486886,221301976.27120617,185704919.76067254,501919150.81843513,4796051.879013496,0.0,0.0,49798166.49740545,0.056816332334165
ridge,8,mint,False,1041630324.0657748,243379311.44585654,3354804624.698256,0.4960662818437284,1.0935544782811617,True,398385331.9792436,0.0,0.9605953305408775,0.9795786757971431,221879283.4163036,186870085.938872,494352052.0434242,4797243.802357747,3.0,4.0,49798474.644331515,0.056816332334165
ridge,8,mint,True,1041630324.0657748,243379311.44585654,3354804624.698256,0.4960662818437284,1.0935544782811617,True,398385331.9792436,0.0,0.9605953305408775,0.9795786757971431,221879283.4163036,186870085.938872,494352052.0434242,4797243.802357747,3.0,4.0,49798474.644331515,0.056816332334165
ridge,8,ols,False,1070917205.6423079,257070914.60153675,3364978812.9534035,0.49341751960999974,1.1263517446211722,True,398385331.9792436,0.0,0.9868137274979235,1.0063720756141514,236855731.3821493,207248404.30031404,493753280.8972206,50434843.50213472,1.6666666666666667,5.333333333333333,49798166.49740545,0.056816332334165
ridge,8,ols,True,1070917205.6423079,257070914.60153675,3364978812.9534035,0.49341751960999974,1.1263517446211722,True,398385331.9792436,0.0,0.9868137274979235,1.0063720756141514,236855731.3821493,207248404.30031404,493753280.8972206,50434843.50213472,1.6666666666666667,5.333333333333333,49798166.49740545,0.056816332334165
ridge,8,wls,False,1043191906.8191165,245566463.90726095,3355188146.9781,0.4959552142360503,1.0953208572342665,True,398385331.9792436,0.0,0.9617534297232823,0.9807951038880729,222733445.57544604,187702851.0147262,496027077.5731066,4796205.841932732,2.6666666666666665,4.333333333333333,49798166.49740542,0.056816332334165
ridge,8,wls,True,1043191906.8191165,245566463.90726095,3355188146.9781,0.4959552142360503,1.0953208572342665,True,398385331.9792436,0.0,0.9617534297232823,0.9807951038880729,222733445.57544604,187702851.0147262,496027077.5731066,4796205.841932732,2.6666666666666665,4.333333333333333,49798166.49740542,0.056816332334165
ridge,16,bottom_up,False,1052323521.1740385,236942945.22799027,3364895955.0858574,0.491458714605385,1.1027984707792104,True,398505628.0601147,0.0,0.9723577501056027,0.9922914872028404,221150633.249146,185554709.26095214,501554221.1463488,4796457.708809941,0.0,0.0,49813203.50751433,0.12305825066626612
ridge,16,independent,False,1084685745.6566374,259495323.3317866,3368640818.7129884,0.49120740388209333,1.1410775162600608,True,398505628.0601147,398505628.0601147,1.0,1.0207287060778722,221150633.249146,185554709.26095214,501554221.1463488,4796457.708809941,0.0,0.0,0.0,0.12305825066626612
ridge,16,mint,False,1041021866.8551685,241582123.42362288,3349786461.2551064,0.4964045963927779,1.092794818493668,True,398505628.0601147,0.0,0.9605277559457982,0.9803762135560431,221785549.19382766,186773602.7866057,493864314.91403884,4797777.973169509,3.0,4.0,49813517.62766129,0.12305825066626612
ridge,16,wls,False,1042459906.5165892,243606440.9974715,3350170700.76621,0.4962935529211136,1.0944188019055716,True,398505628.0601147,0.0,0.9615941008675426,0.9814989011518915,222587122.56193623,187552786.75459135,495552621.43879676,4796614.247673986,2.6666666666666665,4.333333333333333,49813203.50751433,0.12305825066626612
