horizon,mae,rmse,mase,r2,mae_vs_persistence,mae_vs_ridge,mae_vs_ewma,mae_vs_independent,coherence_before,coherence_after,bottom_macro_mae,weighted_bottom_mae,worst_machine_mae,base_model,reconciliation_method,unit,seed_mean,seed_std,seed_min,seed_max,seed_cv,stability_class,identical_hashes,fold_consistency,best_observed_note
1,1.2488501661309483,2.8845167614827383,1.0584320631439044,0.5129093842880786,-0.054182463170389605,-0.0035691020337228646,-0.052938011344774216,0.0,115.43292676248166,115.43292676248166,54.22951088756313,58.91524292251257,126.15745334631039,dlinear,independent,cpu_weighted_mean_pct,1.248427259038244,0.006937395033218799,1.0281708996512142,1.3941457895497489,0.005451238411054968,practically_seed_stable,False,0.18739910852999492,
8,1.2390818092394589,2.8898892427459715,1.0496111264291343,0.5089373544712277,-0.05948292602676178,-0.007077788241276144,-0.058587308713811716,0.0,103.32785712494508,103.32785712494508,54.330755868248325,59.03153242540813,126.89810255019653,dlinear,independent,cpu_weighted_mean_pct,1.2474726756052974,0.008129615107824601,1.033701682753594,1.397477768165588,0.006278570370042868,practically_seed_stable,False,0.18342729309205996,
16,1.244552127303098,2.8872894267949047,1.0551034556015806,0.5150201744672763,-0.06312921861809406,-0.010828695843054107,-0.0621289850488815,0.0,114.65649143487195,114.65649143487195,54.437336277486814,59.15066056952923,127.66389399919535,dlinear,independent,cpu_weighted_mean_pct,1.2500870068653993,0.006102088687419266,1.0286942821379106,1.4053671312056175,0.004753647607987666,practically_seed_stable,False,0.18377951436605616,
1,1.1528004520782964,2.856118739939187,0.9764162596921002,0.5242257578932398,-0.13004714544313103,-0.0835808349883505,-0.12902213856244413,-0.0803321122205496,115.43292676248166,0.0,54.22951088756313,58.91524292251257,126.15745334631039,dlinear,bottom_up,cpu_weighted_mean_pct,1.1540154853747573,0.009890588254594834,0.914708149667674,1.3226841038486563,0.008353400318859167,practically_seed_stable,False,0.2123685706833636,
8,1.1585803399732844,2.8718077130886397,0.9804785262808923,0.5161897689116315,-0.12275297471965792,-0.07400475570167109,-0.12200946394397798,-0.0676011582599532,103.32785712494508,0.0,54.330755868248325,59.03153242540813,126.89810255019653,dlinear,bottom_up,cpu_weighted_mean_pct,1.167528734538356,0.010672414208272966,0.9348743317307808,1.337145667620345,0.008752689268266967,practically_seed_stable,False,0.20346714942102778,
16,1.158194097370503,2.878354392094799,0.9811376504339787,0.5197655819765276,-0.13072617125434058,-0.08230862520015658,-0.12987264558876158,-0.07228264710683761,114.65649143487195,0.0,54.437336277486814,59.15066056952923,127.66389399919535,dlinear,bottom_up,cpu_weighted_mean_pct,1.1680376676347581,0.011236361187811433,0.92917724026084,1.3409944288012663,0.009509774651374833,practically_seed_stable,False,0.20525628221671344,
1,1.1630890925214514,2.84542883322221,0.9854032733086328,0.5273210829510536,-0.12132540217860104,-0.07435631676376696,-0.12025268451040654,-0.07105145629629973,115.43292676248166,0.0,55.24020005863255,60.00346188768538,131.0756423433017,dlinear,wls,cpu_weighted_mean_pct,1.1624093007025176,0.007819314960583733,0.9355919932375958,1.3213183017515375,0.006377290422414,practically_seed_stable,False,0.20175968412093728,
8,1.168767424561171,2.862036473103894,0.9895758190982568,0.5191946855667139,-0.11424050544164477,-0.06495460104527152,-0.1134550303554669,-0.05840954331779825,103.32785712494508,0.0,55.21267035117024,59.9821428723701,130.57520450551962,dlinear,wls,cpu_weighted_mean_pct,1.1753681672514356,0.009945801421454967,0.9542072313783913,1.3356741586598475,0.0079616839793278,practically_seed_stable,False,0.19272332944497456,
16,1.1660814235609485,2.8609796187904624,0.9881733416413004,0.5249841753130192,-0.12395150852191794,-0.07511680941613287,-0.12306511207549699,-0.0649997828732083,114.65649143487195,0.0,55.355468105006146,60.1398805369839,131.7846176532671,dlinear,wls,cpu_weighted_mean_pct,1.1737841840948204,0.007584860743999133,0.9469075135657572,1.3321357981229187,0.006161095434223866,practically_seed_stable,False,0.19496455376129235,
1,1.1588935845842823,2.8471891827996405,0.9817553984341739,0.5268083616253769,-0.124386753900019,-0.07759179546669258,-0.12331443287593448,-0.07431485558064221,115.43292676248166,0.0,54.91703899704388,59.65457224781512,129.39784753492287,dlinear,mint,cpu_weighted_mean_pct,1.158329163889223,0.008200642465017434,0.9341661836274086,1.3182733206679045,0.006745023862524066,practically_seed_stable,False,0.2002181589158478,
8,1.1637952175376483,2.862806095064162,0.9851624558163609,0.5189636683639596,-0.1178893957681099,-0.06883090629949105,-0.11710362434503975,-0.06231388992200534,103.32785712494508,0.0,54.903897436314175,59.64889073364085,129.29535667236087,dlinear,mint,cpu_weighted_mean_pct,1.1714198529352096,0.010461703949887968,0.953539357043862,1.3333655910441014,0.008394963373525,practically_seed_stable,False,0.19136865710337428,
16,1.1617250190324049,2.864148367787109,0.9843439776089307,0.5240404026732969,-0.12718152332580396,-0.07853016053960432,-0.1262993374002506,-0.06845837585216875,114.65649143487195,0.0,55.00056478166882,59.75715484956179,130.20198885551767,dlinear,mint,cpu_weighted_mean_pct,1.1699628999509895,0.008586840458784566,0.9445418468941472,1.3307078769705418,0.007044368877644134,practically_seed_stable,False,0.19414801480245394,
