hierarchy,base_model,method,threshold,high_load_mae,precision,recall,f1,false_alarms_per_day,signed_bias,operational_class,lightgbm_seed_invariant,dlinear_peak_bias_all_seeds
memory_um,persistence,bottom_up,q90,3747861615.9744973,0.850109347033656,0.8501758648980406,0.8501425922402173,50.48673143469738,-654234868.9910194,coherence_only,False,False
memory_um,persistence,bottom_up,q95,9638772499.788933,0.7177981053736676,0.717587277989408,0.7176926278315151,33.79549822877648,-2937903315.0005846,coherence_only,False,False
memory_um,persistence,independent,q90,3747861615.9744973,0.850109347033656,0.8501758648980406,0.8501425922402173,50.48673143469738,-654234868.9910194,n/a,False,False
memory_um,persistence,independent,q95,9638772499.788933,0.7177981053736676,0.717587277989408,0.7176926278315151,33.79549822877648,-2937903315.0005846,n/a,False,False
memory_um,persistence,mint,q90,3747861615.9730835,0.850109347033656,0.8501758648980406,0.8501425922402173,50.48673143469738,-654234868.9515224,coherence_only,False,False
memory_um,persistence,mint,q95,9638772499.786299,0.7177981053736676,0.717587277989408,0.7176926278315151,33.79549822877648,-2937903314.961028,coherence_only,False,False
memory_um,persistence,wls,q90,3747861615.97806,0.850109347033656,0.8501758648980406,0.8501425922402173,50.48673143469738,-654234869.0414567,coherence_only,False,False
memory_um,persistence,wls,q95,9638772499.792135,0.7177981053736676,0.717587277989408,0.7176926278315151,33.79549822877648,-2937903315.051052,coherence_only,False,False
memory_um,ridge,bottom_up,q90,3164978110.4523883,0.7875618038326893,0.8674966583366827,0.8210187485395213,76.45343253042088,-2244072139.11841,operational_improvement,False,False
memory_um,ridge,bottom_up,q95,8109167858.369293,0.8148936492354665,0.6246782939376799,0.6967690640098572,22.293984948378547,-7274091507.434975,operationally_harmful,False,False
memory_um,ridge,independent,q90,3203761230.071082,0.7976109641130982,0.8259728052016588,0.8032337225593952,64.83929546454652,-2079037260.0503986,n/a,False,False
memory_um,ridge,independent,q95,7921817408.985545,0.7623239875224894,0.6524621407077622,0.6985673906794945,29.019859067389934,-6856745300.078251,n/a,False,False
memory_um,ridge,mint,q90,3142375559.7593274,0.7971713694586113,0.855838700334576,0.8205496016778518,69.04069455653843,-2187048658.442073,coherence_only,False,False
memory_um,ridge,mint,q95,8007231478.2119465,0.8065313851622637,0.6406712765170632,0.7059374619519876,23.501824136962718,-7129911432.849828,operationally_harmful,False,False
memory_um,ridge,wls,q90,3144136275.695122,0.7971213340358354,0.8562537855718413,0.8207444647255484,69.09560566326155,-2191026800.5513635,coherence_only,False,False
memory_um,ridge,wls,q95,8007861596.74447,0.8066761550267537,0.6404007677366412,0.7057053944827175,23.58431368156649,-7132303079.737419,operationally_harmful,False,False
