base_model,horizon,reconciliation_method,fold,mae_machine01_UD,mae_machine02_UD,mae_machine03_UD,mae_machine04_UD,mae_machine05_UD,mae_machine06_UD,mae_machine07_UD,macro_machine_mae,weighted_machine_mae,worst_machine_mae,best_machine_mae,machines_improved_vs_ind,machines_degraded_vs_ind,top_mae
persistence,1,independent,2,251945601.19048193,16871134.07899505,978161272.6561179,571730400.6454886,9842455.96424689,5070326.537987679,20666338.562628336,264898218.51942092,215614729.72227508,978161272.6561179,5070326.537987679,0,0,1654563840.6184323
persistence,1,bottom_up,2,251945601.19048193,16871134.07899505,978161272.6561179,571730400.6454886,9842455.96424689,5070326.537987679,20666338.562628336,264898218.51942092,215614729.72227508,978161272.6561179,5070326.537987679,0,0,1654563840.6184323
persistence,1,top_down,2,251945601.19048193,16871134.078995068,978161272.6561179,571730400.6454887,9842455.96424689,5070326.537987679,20666338.562628336,264898218.51942092,215614729.7222751,978161272.6561179,5070326.537987679,0,2,1654563840.6184323
persistence,1,wls,2,251945601.18697926,16871134.079100877,978161272.7943828,571730400.6489011,9842455.964249462,5070326.537999694,20666338.562617414,264898218.53917575,215614729.73542815,978161272.7943828,5070326.537999694,2,5,1654563840.6675441
persistence,1,mint,2,251945601.17314747,16871134.07895647,978161272.8257182,571730400.6465865,9842455.964247119,5070326.537989073,20666338.56260962,264898218.54132208,215614729.73506543,978161272.8257182,5070326.537989073,3,4,1654563840.6796536
ridge,1,independent,2,428264688.96651477,20705437.777143702,1165432595.256641,803841659.7066218,12737484.517430188,7282008.784975189,22575580.637588914,351548493.66384506,297404258.7317171,1165432595.256641,7282008.784975189,0,0,1786927458.8985488
ridge,1,bottom_up,2,428264688.96651477,20705437.777143702,1165432595.256641,803841659.7066218,12737484.517430188,7282008.784975189,22575580.637588914,351548493.66384506,297404258.7317171,1165432595.256641,7282008.784975189,0,0,1813130401.741398
ridge,1,top_down,2,474495667.3907054,166687505.78966337,1154922093.7094562,803843528.4533023,71502113.31634036,20148516.958034392,151368738.83528474,406138309.207541,375948289.11482185,1154922093.7094562,20148516.958034392,1,6,1786927458.8985488
ridge,1,wls,2,426350519.8239315,20802152.942650564,1152890261.4659271,809417133.610078,12737602.91166673,7281947.036962246,22575828.60252292,350293635.19910556,296243662.11024475,1152890261.4659271,7281947.036962246,3,4,1754040503.167309
ridge,1,mint,2,426328087.1842073,20753039.182084866,1160228968.8916447,807774233.4804374,12737629.248800708,7282446.347835524,22577512.159398116,351097416.6420584,296804358.0916993,1160228968.8916447,7282446.347835524,2,5,1755402601.0994751
lightgbm,8,independent,2,21045552614.658085,241123322.264259,43888445096.06625,25320386004.953133,6329215086.128892,262461275.7612616,15530629902.911873,16088259043.249111,15542982856.458279,43888445096.06625,241123322.264259,0,0,4086783999.4021482
lightgbm,8,bottom_up,2,21045552614.658085,241123322.264259,43888445096.06625,25320386004.953133,6329215086.128892,262461275.7612616,15530629902.911873,16088259043.249111,15542982856.458279,43888445096.06625,241123322.264259,0,0,66250785518.19929
lightgbm,8,top_down,2,9480123235.35553,13948971364.910088,34935369783.13101,22471242259.46024,11762333525.192766,1773496981.8572607,27330718713.35163,17386036551.894073,18122146653.435966,34935369783.13101,1773496981.8572607,3,4,4086783999.4021482
lightgbm,8,wls,2,19011835495.599583,245415761.9580337,37226012787.15101,24660460241.197098,6329600730.594393,262538529.3230191,15531241092.997396,14752443519.831503,14356135065.741278,37226012787.15101,245415761.9580337,3,4,18478128581.337414
lightgbm,8,mint,2,27269384710.99923,329233775.78696716,52452157998.25206,24861777162.387547,6346432638.7187805,252503482.84953016,15517896154.987034,18147055131.997307,17810822564.995945,52452157998.25206,252503482.84953016,3,4,25682449653.462254
persistence,8,independent,2,252135629.49323016,16872258.847195357,978974672.9593811,572212498.8162476,9843610.986460349,5070563.775628626,20664267.512572534,265110500.3415308,215767996.72834316,978974672.9593811,5070563.775628626,0,0,1655905782.5918763
persistence,8,bottom_up,2,252135629.49323016,16872258.847195357,978974672.9593811,572212498.8162476,9843610.986460349,5070563.775628626,20664267.512572534,265110500.3415308,215767996.72834316,978974672.9593811,5070563.775628626,0,0,1655905782.5918763
persistence,8,top_down,2,252135629.49323016,16872258.847195376,978974672.9593811,572212498.8162477,9843610.986460349,5070563.775628626,20664267.512572534,265110500.34153083,215767996.72834322,978974672.9593811,5070563.775628626,0,2,1655905782.5918763
persistence,8,wls,2,252135629.49127746,16872258.847059477,978974672.982333,572212498.817543,9843610.98646471,5070563.775630613,20664267.512565944,265110500.3446963,215767996.73023608,978974672.982333,5070563.775630613,3,4,1655905782.5929816
persistence,8,mint,2,252135629.51470703,16872258.847263165,978974672.8540117,572212498.8162788,9843610.986468708,5070563.775638374,20664267.512570184,265110500.3295626,215767996.72295496,978974672.8540117,5070563.775638374,2,5,1655905782.5491028
ridge,8,independent,2,428569122.27674246,20707935.05656375,1167697633.7927384,804518974.3564005,12744191.705698682,7284340.913054824,22575900.26896352,352014014.0528803,297741958.7423166,1167697633.7927384,7284340.913054824,0,0,1788411406.9318063
ridge,8,bottom_up,2,428569122.27674246,20707935.05656375,1167697633.7927384,804518974.3564005,12744191.705698682,7284340.913054824,22575900.26896352,352014014.0528803,297741958.7423166,1167697633.7927384,7284340.913054824,0,0,1814899348.1047177
ridge,8,top_down,2,475141197.33466005,166921487.35923883,1156963400.1455228,804464110.0336175,71616699.24156791,20178060.531896852,151597150.71963093,406697443.6237336,376456616.5213015,1156963400.1455228,20178060.531896852,2,5,1788411406.9318063
ridge,8,wls,2,426680419.3446472,20804601.226887416,1154538401.0802243,810030199.9289709,12744318.462110044,7284277.025097347,22576106.235274512,350665474.7576017,296520752.36698246,1154538401.0802243,7284277.025097347,3,4,1755673173.309065
ridge,8,mint,2,426654182.75884765,20755184.546766028,1161729730.2485502,808378031.5350814,12744354.110389592,7284793.092139105,22577857.150224283,351446304.7774283,297065092.4359108,1161729730.2485502,7284793.092139105,2,5,1756980501.263976
