hierarchy,seed,fold,horizon,reconciliation_method,top_mae_report,pct_vs_independent,coherence_error_before,coherence_error_after,bottom_mae_mean_native,worst_machine_mae_native,improved_machine_count,degraded_machine_count
memory_um,2,0,16,mint,1371102034.437272,-1.6071068559430635,529072246.86218697,0.0,293472602.0190576,645814293.5566134,5,2
memory_um,0,1,1,bottom_up,799487870.2696177,-4.434901188246865,303539149.51929253,0.0,178494246.02162883,328854318.090123,0,0
memory_um,0,1,1,wls,792786911.0619098,-5.235886234589304,303539149.51929253,0.0,177809120.0540493,322746810.76172173,3,4
memory_um,0,1,1,mint,792890342.5107149,-5.223522774188128,303539149.51929253,0.0,177528654.64329857,321138315.97130764,4,3
memory_um,1,1,1,bottom_up,789788087.818767,-5.419359978699134,308961110.060936,0.0,177182364.2887784,319829810.67325735,0,0
memory_um,1,1,1,wls,784987446.2757449,-5.994258178171674,308961110.060936,0.0,176421543.09061798,329336511.00047284,3,4
memory_um,1,1,1,mint,785173797.7174767,-5.971941763300737,308961110.060936,0.0,176191950.3396975,327809408.8843525,4,3
memory_um,2,1,1,bottom_up,804186280.5178248,-3.8323280299509266,294593879.10703707,0.0,175652373.48504195,317905024.12437326,0,0
memory_um,2,1,1,wls,796969617.4532963,-4.695324207728369,294593879.10703707,0.0,175057824.3667956,316791215.63853866,3,4
memory_um,2,1,1,mint,797087545.8944224,-4.6812218735840405,294593879.10703707,0.0,174931263.2417891,315805138.68313307,4,3
memory_um,0,1,8,bottom_up,798545078.7047428,-4.493291728067672,287605532.3304146,0.0,177605775.0677328,316219021.5783459,0,0
memory_um,0,1,8,wls,794256307.6040021,-5.006232601772542,287605532.3304146,0.0,177383673.798938,325102628.84437406,4,3
memory_um,0,1,8,mint,794415111.9192388,-4.987239463110626,287605532.3304146,0.0,177276521.15879196,324245774.5982371,5,2
memory_um,1,1,8,bottom_up,814135817.3139976,-3.8165724288210634,321775739.93839884,0.0,178436697.35536167,334631726.8276659,0,0
memory_um,1,1,8,wls,805020064.0723344,-4.893523439979052,321775739.93839884,0.0,177373940.85059854,322398576.2622202,3,4
memory_um,1,1,8,mint,805044241.3326281,-4.890667096215672,321775739.93839884,0.0,177008956.5496243,321570575.6055846,4,3
memory_um,2,1,8,bottom_up,810015026.8022116,-3.275018137643093,315371101.7092051,0.0,183707702.1478138,339501089.6793313,0,0
memory_um,2,1,8,wls,798790711.7710268,-4.615328665084483,315371101.7092051,0.0,182468431.87096238,331703176.9933488,5,2
memory_um,2,1,8,mint,798881175.0295172,-4.604526325933778,315371101.7092051,0.0,182190822.59053347,330613918.25325596,6,1
memory_um,0,1,16,bottom_up,805620111.2654964,-4.8223727422393114,298993412.82859784,0.0,178379845.79303184,323826852.0686276,0,0
memory_um,0,1,16,wls,800705804.6421564,-5.402959097378668,298993412.82859784,0.0,177859003.6910645,332536005.22984236,3,4
memory_um,0,1,16,mint,800943702.60157,-5.374853340099495,298993412.82859784,0.0,177837218.94399452,331710457.69678426,4,3
memory_um,1,1,16,bottom_up,794251346.0221783,-6.4252681454539,318838563.5528655,0.0,179636298.66443032,329949351.82044345,0,0
memory_um,1,1,16,wls,791043489.7628727,-6.803201769105649,318838563.5528655,0.0,178917052.4515677,340686211.7695115,3,4
memory_um,1,1,16,mint,791327446.0788033,-6.769747452339702,318838563.5528655,0.0,178827464.98173097,339532709.32791424,4,3
memory_um,2,1,16,bottom_up,806641602.0151223,-6.224819878861232,316452296.0020378,0.0,185298453.10486856,354065405.2406315,0,0
memory_um,2,1,16,wls,805140793.5784646,-6.399294615997652,316452296.0020378,0.0,184906533.34535044,363541697.92188656,3,4
memory_um,2,1,16,mint,805903054.7677052,-6.310678829083349,316452296.0020378,0.0,184902369.19060427,363146675.6841961,4,3
memory_um,0,2,1,bottom_up,1087821698.7668452,3.727162880021395,446698754.89137936,0.0,222412737.13792375,616887912.2037297,0,0
memory_um,0,2,1,wls,1045026092.8781725,-0.3535304795573846,446698754.89137936,0.0,220735988.842688,587208850.1702096,4,3
memory_um,0,2,1,mint,1044144042.2036036,-0.4376367389684166,446698754.89137936,0.0,219747163.00494167,583648941.2473478,4,3
