hierarchy,seed,fold,horizon,finite_pred_pct,negative_pred_pct,pct_above_100_cpu_report,y_min,y_median,y_max,p_min,p_median,p_max,y_range,p_range,pred_to_target_range_ratio,scaled_space_mae,inverse_transformed_mae,median_pred_over_target,q90_mae,q95_mae,early_stop_epoch,training_batches_completed,timeout_status
cpu_core_weighted,2,2,1,100.0,0.08244023083264633,0.0,424.80000000136596,614.6666666710128,8628.866666682687,-666.7151775439485,665.1754416612891,7107.475187498722,8204.066666681321,7774.190365042671,0.9476020467526817,unavailable_in_frozen_pack_metrics,325.6234470883823,1.0821726274239467,1232.8564821435737,1869.916262091733,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
cpu_core_weighted,0,2,8,100.0,0.0230361667818475,0.0,424.80000000136596,613.266666668157,8105.400000009686,-513.9648974423138,672.0013786220588,5761.296914971842,7680.6000000083195,6275.261812414155,0.8170275515464102,unavailable_in_frozen_pack_metrics,327.23829376050975,1.0957735274819422,1258.8919485455995,1918.8808766081124,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
cpu_core_weighted,1,2,8,100.0,0.0691085003455425,0.0,424.80000000136596,613.266666668157,8105.400000009686,-623.9523959859704,664.7434860753475,6349.565405720411,7680.6000000083195,6973.517801706382,0.9079391976797162,unavailable_in_frozen_pack_metrics,329.78646386123035,1.0839387206333277,1222.8093898680456,1835.3097730664706,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
cpu_core_weighted,2,2,8,100.0,0.0230361667818475,0.0,424.80000000136596,613.266666668157,8105.400000009686,-331.7458954164666,674.4358170250758,5390.879488018273,7680.6000000083195,5722.62538343474,0.7450753044590971,unavailable_in_frozen_pack_metrics,329.80475328707877,1.099743152011257,1301.7126024362399,2003.034658297555,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
cpu_core_weighted,0,2,16,100.0,0.0526592943654555,0.0,424.80000000136596,612.2999999967093,8105.400000009686,-629.9805333530031,659.3029929859201,6049.449985823526,7680.6000000083195,6679.430519176529,0.8696495741438551,unavailable_in_frozen_pack_metrics,327.1450308233799,1.0767646463979479,1257.4535014538303,1882.6003375020327,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
cpu_core_weighted,1,2,16,100.0,0.07898894154818326,0.0,424.80000000136596,612.2999999967093,8105.400000009686,-676.5053856910762,678.7492027307522,6315.485251753576,7680.6000000083195,6991.990637444653,0.9103443269324114,unavailable_in_frozen_pack_metrics,330.3116968803403,1.108523930645762,1256.3952131056699,1877.427676517218,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
cpu_core_weighted,2,2,16,100.0,0.0526592943654555,0.0,424.80000000136596,612.2999999967093,8105.400000009686,-611.5145976069228,672.8138841299701,5990.9598898548265,7680.6000000083195,6602.474487461749,0.8596300402904197,unavailable_in_frozen_pack_metrics,331.6666429645258,1.0988304493444163,1256.737712970779,1877.3402011715089,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
memory_um,0,0,1,100.0,0.0,,115448389632.0,120039839744.0,178617548800.0,115416365342.88495,119666119747.87744,150297250671.9935,63169159168.0,34880885329.10855,0.5521822007530912,unavailable_in_frozen_pack_metrics,1288970217.5265772,0.9968867003078348,1534965274.5263774,6825030817.6213,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
memory_um,1,0,1,100.0,0.0,,115448389632.0,120039839744.0,178617548800.0,115270354977.13943,119605554949.51999,145273060677.31677,63169159168.0,30002705700.177338,0.47495812981116897,unavailable_in_frozen_pack_metrics,1341642528.9338136,0.9963821611607765,1597214140.4325995,6961879155.230209,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
memory_um,2,0,1,100.0,0.0,,115448389632.0,120039839744.0,178617548800.0,115139468060.60149,119647118227.4708,144119698486.83698,63169159168.0,28980230426.23549,0.45877182485778895,unavailable_in_frozen_pack_metrics,1342112238.0998075,0.9967284068575338,1596140678.1268957,6930370739.740584,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
memory_um,0,0,8,100.0,0.0,,115448389632.0,120039043072.0,178617548800.0,115481160645.59811,119549007306.9134,147007743487.33252,63169159168.0,31526582841.734406,0.49908188199701453,unavailable_in_frozen_pack_metrics,1351523873.7521622,0.9959176968380807,1609057772.121418,7070441917.268001,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
memory_um,1,0,8,100.0,0.0,,115448389632.0,120039043072.0,178617548800.0,115217311291.80797,119470133456.77733,149312470811.61554,63169159168.0,34095159519.80757,0.5397437605450884,unavailable_in_frozen_pack_metrics,1368538216.7719264,0.9952606285366551,1631717663.6945312,7088358876.605846,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
memory_um,2,0,8,100.0,0.0,,115448389632.0,120039043072.0,178617548800.0,114593146893.88985,119325451028.29128,139292916703.42566,63169159168.0,24699769809.535812,0.3910099506603553,unavailable_in_frozen_pack_metrics,1600707736.3900595,0.9940553337860191,1908436645.8253515,8007707524.385048,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
memory_um,0,0,16,100.0,0.0,,115448389632.0,120038010880.0,178617548800.0,115488412762.12288,119536938280.57625,146552289214.56955,63169159168.0,31063876452.44667,0.49175700391755245,unavailable_in_frozen_pack_metrics,1349931371.2096462,0.9958257172394779,1609232070.9704883,7057751922.404444,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
memory_um,1,0,16,100.0,0.0,,115448389632.0,120038010880.0,178617548800.0,115227015763.89738,119547875335.38365,146376982972.0406,63169159168.0,31149967208.143204,0.4931198644784723,unavailable_in_frozen_pack_metrics,1351460849.0060005,0.9959168305020788,1610102769.411069,7034084443.622142,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
memory_um,2,0,16,100.0,0.0,,115448389632.0,120038010880.0,178617548800.0,115092516467.17714,119576628613.48145,142423205430.1078,63169159168.0,27330688962.93065,0.4326587423816103,unavailable_in_frozen_pack_metrics,1393497020.5925777,0.9961563652784967,1659564488.3052547,7183675830.213227,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
