base_model,horizon,fold,method,outcome,rel_mae_change,top_mae_ind,top_mae_method,macro_ind,macro_method,macro_rel_change,worst_ind,worst_method,worst_rel_change,coh_ind,coh_method,coh_before
lightgbm,1,1,wls,win,-0.09663569464774624,1352577183.8579013,1221869948.1311007,238395087.0982274,246352054.7894912,0.03337723016072574,792462122.9281087,802856518.267588,0.013116583163713296,732754784.1564883,0.0,732754784.1564883
lightgbm,1,2,wls,win,-0.07563821467995042,1263368437.7287288,1167809504.6159296,232768082.75907645,240270211.25762352,0.032230056671094624,543885368.384455,557938720.5242872,0.025838812655644743,763501987.9491076,0.0,763501987.9491076
lightgbm,8,0,wls,loss,0.05887305278460757,1526324191.3500135,1616183556.0337863,506382941.607602,535715187.2514022,0.057925027155693296,1174995716.2805135,1158612420.2120178,-0.013943281529874507,1792691829.1344185,0.0,1792691829.1344185
lightgbm,8,1,wls,win,-0.024528044974004064,1349230704.7903304,1316136713.382926,255925025.03682604,260569657.43985084,0.018148410466528073,861639278.7633283,854592106.592839,-0.00817879632948465,799168503.5116102,0.0,799168503.5116102
lightgbm,8,2,wls,win,-0.07901286898947552,1262294522.4928114,1162557010.7609544,232323552.07860938,240670947.22559813,0.035930042702533714,551178955.4349654,567682546.3159047,0.029942345799315723,767941323.936843,0.0,767941323.936843
lightgbm,16,0,wls,loss,0.061285174459562275,1735274052.5911322,1841620625.6393313,493552141.9963023,517959041.81285065,0.04945151229174729,1183450473.6562254,1174124004.24636,-0.007880743315815833,1522331834.1169596,0.0,1522331834.1169596
lightgbm,16,1,wls,loss,0.005099305402241787,1348125215.317614,1354999717.5109816,265230185.9482822,269224669.04179174,0.015060439215197088,923669854.1910511,912366007.1556779,-0.012237973323567115,787283428.9104376,0.0,787283428.9104376
lightgbm,16,2,wls,win,-0.10367075492224034,1266339742.2184117,1135057345.1545937,228151917.36735824,237802041.6769665,0.04229692400116948,550804983.1242969,570643348.9154766,0.03601704123781112,780548531.5914713,0.0,780548531.5914713
persistence,1,0,mint,loss,1.6110682768590015e-12,1294154012.0869985,1294154012.0890834,228518221.43809983,228518221.43409243,-1.7536453141306052e-11,428567797.97776705,428567797.97819114,9.895448271615237e-13,0.0,0.0,0.0
persistence,1,1,mint,tie,-5.712399830614015e-13,843922661.6452392,843922661.6447572,157294732.34661326,157294732.34227806,-2.7560966355650755e-11,271525107.0082165,271525107.0005922,-2.8079643243500778e-11,0.0,0.0,0.0
persistence,1,2,mint,loss,3.6455383468970966e-12,1042314122.8689455,1042314122.8727453,190911648.209273,190911648.20569998,-1.8715621948151137e-11,451439811.7956275,451439811.782914,-2.8162097326081763e-11,0.0,0.0,0.0
