base_model,horizon,reconciliation_method,nonnegative,fold,mae_machine01_UM,mae_machine02_UM,mae_machine03_UM,mae_machine04_UM,mae_machine05_UM,mae_machine06_UM,mae_machine07_UM,macro_machine_mae,weighted_machine_mae,worst_machine_mae,best_machine_mae,machines_improved_vs_ind,machines_degraded_vs_ind,top_mae
lightgbm,16,bottom_up,False,1,923669854.1910511,117493174.25663477,320447553.3175338,229216803.1465906,59005406.13249794,16365935.181800306,190412575.41186672,265230185.9482822,251893111.30323818,923669854.1910511,16365935.181800306,0,0,1398288473.5837512
lightgbm,16,wls,False,1,912366007.1556779,117388872.91844311,333024084.23313236,256050106.56661472,59008092.270274855,16366191.446880966,190369328.70151794,269224669.04179174,253512997.06222594,912366007.1556779,16366191.446880966,3,4,1354999717.5109816
lightgbm,16,mint,False,1,914951920.4303038,117389876.15908913,331360537.2785935,273188272.5259369,59004993.50782017,16367466.556225931,190394703.00801226,271808252.7808545,254770139.77459374,914951920.4303038,16367466.556225931,4,3,1355061135.6553676
persistence,16,independent,False,1,271934026.06367266,119631060.336521,259324910.27430093,254732124.13025057,58699438.8398499,5358775.330831618,132619576.49291854,157471415.92404935,132840004.73008779,271934026.06367266,5358775.330831618,0,0,844976853.3901465
persistence,16,bottom_up,False,1,271934026.06367266,119631060.336521,259324910.27430093,254732124.13025057,58699438.8398499,5358775.330831618,132619576.49291854,157471415.92404935,132840004.73008779,271934026.06367266,5358775.330831618,0,0,844976853.3901465
persistence,16,wls,False,1,271934026.0956686,119631060.3359946,259324910.2751727,254732124.1302495,58699438.83984241,5358775.330831592,132619576.49291784,157471415.9286682,132840004.73506305,271934026.0956686,5358775.330831592,5,2,844976853.390347
persistence,16,mint,False,1,271934026.080095,119631060.33647141,259324910.28168112,254732124.13026348,58699438.83984838,5358775.330831998,132619576.49291848,157471415.92744425,132840004.73359713,271934026.080095,5358775.330831998,3,4,844976853.3903192
ridge,16,independent,False,1,323099011.5389217,118023898.65770902,320415411.46187526,298363308.74763656,56000940.4090463,4575765.737176121,127519842.99258061,178285454.22070652,150222682.06183684,323099011.5389217,4575765.737176121,0,0,835539072.0094448
ridge,16,bottom_up,False,1,323099011.5389217,118023898.65770902,320415411.46187526,298363308.74763656,56000940.4090463,4575765.737176121,127519842.99258061,178285454.22070652,150222682.06183684,323099011.5389217,4575765.737176121,0,0,792886360.3036158
ridge,16,wls,False,1,333151279.2355276,117987240.99607918,313792694.9272334,290817167.4858335,56001930.70028293,4575774.885862416,127523833.7412401,177692845.99600843,150401170.4411101,333151279.2355276,4575774.885862416,3,4,787972211.0399096
ridge,16,mint,False,1,332226909.9484973,117994135.74713886,313924731.0901055,290924974.6467847,56002382.19696447,4575717.208905626,127522909.35455552,177595965.74185032,150284225.18542963,332226909.9484973,4575717.208905626,4,3,788200179.1092962
lightgbm,1,independent,False,1,792462122.9281087,116637118.71938556,319752483.59072405,219537062.98829252,58853040.72280503,17087341.980673566,144436438.7576024,238395087.0982274,223877201.5154698,792462122.9281087,17087341.980673566,0,0,1352577183.8579013
lightgbm,1,bottom_up,False,1,792462122.9281087,116637118.71938556,319752483.59072405,219537062.98829252,58853040.72280503,17087341.980673566,144436438.7576024,238395087.0982274,223877201.5154698,792462122.9281087,17087341.980673566,0,0,1196299637.4371316
