run_id,experiment_stage,eligible_for_final_claims,evaluation_role,freeze_commit,freeze_tag,dataset_fingerprint,config_hash,pack_id,pack_hash,hierarchy,fold,horizon,context,base_model,seed,summing_matrix_hash,wall_train_sec_sum,top_mae_independent,reconciliation_method,nonnegative,coherence_error_before,coherence_error_after,is_coherent_after,top_mae,bottom_mae_mean,source_pack
base__memory_um__f0__h8__lightgbm__s0__wls__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,8,32,lightgbm,0,abe0cd1cb9555ccb,9.930978084000344,1526324191.3500135,wls,False,1792691829.1344185,0.0,True,1616183556.0337863,535715187.2514022,memory_classical
base__memory_um__f0__h8__lightgbm__s0__wls__nn1,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,8,32,lightgbm,0,abe0cd1cb9555ccb,9.930978084000344,1526324191.3500135,wls,True,1792691829.1344185,0.0,True,1616183556.0337863,535715187.2514022,memory_classical
base__memory_um__f0__h8__lightgbm__s0__mint__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,8,32,lightgbm,0,abe0cd1cb9555ccb,9.930978084000344,1526324191.3500135,mint,False,1792691829.1344185,0.0,True,1758572960.419478,528429739.88751686,memory_classical
base__memory_um__f0__h8__lightgbm__s0__mint__nn1,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,8,32,lightgbm,0,abe0cd1cb9555ccb,9.930978084000344,1526324191.3500135,mint,True,1792691829.1344185,0.0,True,1758572960.419478,528429739.88751686,memory_classical
base__memory_um__f0__h8__lightgbm__s0__ols__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,8,32,lightgbm,0,abe0cd1cb9555ccb,9.930978084000344,1526324191.3500135,ols,False,1792691829.1344185,0.0,True,1440844663.2613654,567332226.1989976,memory_classical
base__memory_um__f0__h8__lightgbm__s0__ols__nn1,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,8,32,lightgbm,0,abe0cd1cb9555ccb,9.930978084000344,1526324191.3500135,ols,True,1792691829.1344185,0.0,True,1440844663.2613654,567332226.1989976,memory_classical
base__memory_um__f0__h16__persistence__s0__independent__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,16,32,persistence,0,abe0cd1cb9555ccb,0.0002973730006488,1285438902.927975,independent,False,0.0,0.0,True,1285438902.927975,227277894.74342436,memory_classical
base__memory_um__f0__h16__persistence__s0__bottom_up__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,16,32,persistence,0,abe0cd1cb9555ccb,0.0002973730006488,1285438902.927975,bottom_up,False,0.0,0.0,True,1285438902.927975,227277894.74342436,memory_classical
base__memory_um__f0__h16__persistence__s0__wls__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,16,32,persistence,0,abe0cd1cb9555ccb,0.0002973730006488,1285438902.927975,wls,False,0.0,0.0,True,1285438902.9279616,227277894.7426948,memory_classical
base__memory_um__f0__h16__persistence__s0__mint__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,16,32,persistence,0,abe0cd1cb9555ccb,0.0002973730006488,1285438902.927975,mint,False,0.0,0.0,True,1285438902.9279926,227277894.74295175,memory_classical
base__memory_um__f0__h16__ridge__s0__independent__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,16,32,ridge,0,abe0cd1cb9555ccb,0.0737911659989549,1353419666.8608923,independent,False,464949215.46992654,464949215.46992654,False,1353419666.8608923,260710830.93452504,memory_classical
base__memory_um__f0__h16__ridge__s0__bottom_up__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,16,32,ridge,0,abe0cd1cb9555ccb,0.0737911659989549,1353419666.8608923,bottom_up,False,464949215.46992654,0.0,True,1257283240.376119,260710830.93452504,memory_classical
