run_id,fold,horizon,base_model,reconciliation_method,top_mae,top_rmse,top_r2,top_mase,mase_valid,coherence_before,coherence_after,is_coherent_after,adj_mean,adj_max,macro_machine_mae,weighted_machine_mae,worst_machine_mae,best_machine_mae,machines_improved_vs_ind,machines_degraded_vs_ind,ind_top_mae,normal_period_mae,reset_near_mae,reset_event_count,wall_train_sec_sum,mae_machine01_UD,mae_machine02_UD,mae_machine03_UD,mae_machine04_UD,mae_machine05_UD,mae_machine06_UD,mae_machine07_UD,pers_ind,same_ind,rel_vs_ind,rel_vs_pers
base__disk_ud__f0__h1__ridge__s0__independent__nn0,0,1,ridge,independent,2194093318.965312,5706312884.176283,0.9899123831101746,1.8301516738031205,True,1371630337.5730522,1371630337.5730522,False,0.0,0.0,481012423.7164384,530244393.9547837,1612370733.841185,6471305.986050512,0,0,2194093318.965312,2095454978.890302,15197620185.980911,29,0.0080393750022267,1160812756.7885027,113968869.14466816,428027697.5553921,1612370733.841185,22235753.85042319,6471305.986050512,23199848.848846927,1848015504.270662,2194093318.965312,1.0,1.1872699735986432
base__disk_ud__f0__h1__ridge__s0__bottom_up__nn0,0,1,ridge,bottom_up,2567684784.788605,5873753543.62329,0.9893116945033643,2.1417742655065095,True,1371630337.5730522,0.0,True,171453792.19663152,99634100901.67603,481012423.7164384,530244393.9547837,1612370733.841185,6471305.986050512,0,0,2194093318.965312,2457121378.5434723,16490859084.061821,29,0.0080393750022267,1160812756.7885027,113968869.14466816,428027697.5553921,1612370733.841185,22235753.85042319,6471305.986050512,23199848.848846927,1848015504.270662,2194093318.965312,1.1702714568218415,1.3894281616441133
base__disk_ud__f0__h1__ridge__s0__top_down__nn0,0,1,ridge,top_down,2194093318.965312,5706312884.176283,0.9899123831101746,1.8301516738031205,True,1371630337.5730522,7.824830930552199e-05,True,171453792.19663152,24951794942.24286,584216966.6416036,657452465.0181289,1550729603.6497142,34430417.25162725,1,6,2194093318.965312,2095454978.890302,15197620185.980911,29,0.0080393750022267,1210846671.8642268,337053483.7006127,586378380.9440225,1550729603.6497142,117821737.4032755,34430417.25162725,252258471.67774624,1848015504.270662,2194093318.965312,1.0,1.1872699735986432
base__disk_ud__f0__h1__ridge__s0__wls__nn0,0,1,ridge,wls,2281490512.4404535,5599956526.964053,0.9902849122093123,1.9030520005766665,True,1371630337.5730522,0.0,True,171453792.1966318,51197904825.48926,502534564.28379476,542378357.6452832,1544804384.8275242,6472082.661742035,1,6,2194093318.965312,2176356631.705956,15609190603.998653,29,0.0080393750022267,1378532776.9091551,114025318.56187366,428425656.13311553,1544804384.8275242,22259076.96706972,6472082.661742035,23222653.926083118,1848015504.270662,2194093318.965312,1.0398329427101833,1.2345624304385188
base__disk_ud__f0__h1__ridge__s0__mint__nn0,0,1,ridge,mint,2244289937.2821035,5588028215.358161,0.9903262558063967,1.8720220100543856,True,1371630337.5730522,0.0,True,171494426.11175403,54868444854.44334,527527929.0614483,564139156.995276,1585167852.0458343,6477008.277677129,1,6,2194093318.965312,2140472838.777036,15491784507.172144,29,0.0080393750022267,1512841188.8668714,114096094.13549551,428637102.26014996,1585167852.0458343,22241271.139942516,6477008.277677129,23234986.704167295,1848015504.270662,2194093318.965312,1.0228780689877235,1.2144324179616854
base__disk_ud__f0__h8__lightgbm__s0__independent__nn0,0,8,lightgbm,independent,4449179814.664111,7788871998.156785,0.9812150399695828,3.7079684262587356,True,42188268954.98278,42188268954.98278,False,0.0,0.0,14650815263.099407,18004748538.963226,47559010789.91258,18551807.364136316,0,0,4449179814.664111,4364364536.739525,15190702221.21123,29,10.734731417999685,12231250026.28817,1873545451.2550023,28562121740.82122,47559010789.91258,2907443283.8711014,18551807.364136316,9403783742.183638,1849506840.3956947,4449179814.664111,1.0,2.4056033302976196
base__disk_ud__f0__h8__lightgbm__s0__bottom_up__nn0,0,8,lightgbm,bottom_up,43004622472.60053,51378498251.31579,0.18262009974317284,35.84026471261378,True,42188268954.98278,0.0,True,5273533619.372848,113547833637.99121,14650815263.099407,18004748538.963226,47559010789.91258,18551807.364136316,0,0,4449179814.664111,42974705796.39388,43258984870.87112,29,10.734731417999685,12231250026.28817,1873545451.2550023,28562121740.82122,47559010789.91258,2907443283.8711014,18551807.364136316,9403783742.183638,1849506840.3956947,4449179814.664111,9.66574161171482,23.251940210937452
base__disk_ud__f0__h8__lightgbm__s0__top_down__nn0,0,8,lightgbm,top_down,4449179814.664111,7788871998.156785,0.9812150399695828,3.7079684262587356,True,42188268954.98278,7.326580734520498e-05,True,5273533619.372847,24941000765.258423,14913335123.953993,18604297017.77084,42234712430.94997,974840897.5542942,2,5,4449179814.664111,4364364536.739525,15190702221.21123,29,10.734731417999685,10157134926.67556,8516962478.911766,28851383021.813164,42234712430.94997,3570469099.4073734,974840897.5542942,10087843012.365816,1849506840.3956947,4449179814.664111,1.0,2.4056033302976196
base__disk_ud__f0__h8__lightgbm__s0__wls__nn0,0,8,lightgbm,wls,28879511764.0786,34584005339.29371,0.6296505355036994,24.068327702564535,True,42188268954.98278,0.0,True,5273533619.372848,75111631614.33069,14442521311.45435,17745577892.12672,45987921974.540855,18768422.401894826,1,6,4449179814.664111,28833089219.68554,31722238591.8528,29,10.734731417999685,12321016057.795698,1874287498.4460924,28576889096.17886,45987921974.540855,2907969185.506344,18768422.401894826,9410796945.310677,1849506840.3956947,4449179814.664111,6.490974284494916,15.614709355657178
base__disk_ud__f0__h8__lightgbm__s0__mint__nn0,0,8,lightgbm,mint,34526854607.50546,41292855216.46584,0.47202790567196695,28.774851113164406,True,42188268954.98278,0.0,True,5537881895.346704,90531982774.26941,14577597595.301712,17999239895.937576,48343022437.34083,18591702.134752396,3,4,4449179814.664111,34487399010.43145,36298286662.60335,29,10.734731417999685,10940873064.587534,1874617099.928712,28555863951.684967,48343022437.34083,2905522356.3808823,18591702.134752396,9404692555.054285,1849506840.3956947,4449179814.664111,7.7602740383088005,18.668141070577807
