target,exog,n_exog,multivariate,model,horizon,mae,mase,n_parameters,train_seconds,n_test,outer_fold,experiment_stage,eligible_for_final_claims
cluster_UM,cluster_mean_CU,1,True,ridge,1,1197357180.6813374,1.1360338306595503,65,0.0030655419977847487,8279,outer_2,development,False
cluster_UM,cluster_mean_CU,1,True,ridge,8,1198270020.4503114,1.1368999188045565,520,0.01936533300249721,8272,outer_2,development,False
cluster_UM,cluster_mean_CU,1,True,lightgbm,1,1292406126.5042498,1.226214788994733,-200,0.6449220840004273,8279,outer_2,development,False
cluster_UM,cluster_mean_CU,1,True,lightgbm,8,1262375112.584834,1.1977218310604507,-1600,5.861553582999477,8272,outer_2,development,False
machine01_tx_bond0,,0,False,ridge,1,55.71797201188356,,33,0.0016544999998586718,8014,outer_2,development,False
machine01_tx_bond0,,0,False,ridge,8,55.52220029252722,,264,0.009397750000061933,7952,outer_2,development,False
machine01_tx_bond0,,0,False,lightgbm,1,55.383498557507004,,-200,0.5358661659993231,8014,outer_2,development,False
machine01_tx_bond0,,0,False,lightgbm,8,54.4950916871225,,-1600,4.31786941700193,7952,outer_2,development,False
machine01_tx_bond0,machine01_rx_bond0,1,True,ridge,1,52.75489108973755,,65,0.002678249999007676,7790,outer_2,development,False
machine01_tx_bond0,machine01_rx_bond0,1,True,ridge,8,52.501310164647535,,520,0.015824833000806393,7728,outer_2,development,False
machine01_tx_bond0,machine01_rx_bond0,1,True,lightgbm,1,54.65691954487787,,-200,0.604980500000238,7790,outer_2,development,False
machine01_tx_bond0,machine01_rx_bond0,1,True,lightgbm,8,53.61339452198646,,-1600,5.260750792000181,7728,outer_2,development,False
machine01_rx_bond0,,0,False,ridge,1,18.12777280554524,,33,0.0014422079984797165,7981,outer_2,development,False
machine01_rx_bond0,,0,False,ridge,8,18.00519040644456,,264,0.009677041998656932,7918,outer_2,development,False
machine01_rx_bond0,,0,False,lightgbm,1,18.366673979577076,,-200,0.5371863750006014,7981,outer_2,development,False
machine01_rx_bond0,,0,False,lightgbm,8,18.107071404278756,,-1600,4.275284000003012,7918,outer_2,development,False
machine01_rx_bond0,machine01_tx_bond0,1,True,ridge,1,19.143690169324177,,65,0.0026635419999365695,7789,outer_2,development,False
machine01_rx_bond0,machine01_tx_bond0,1,True,ridge,8,19.035842991770547,,520,0.015760082998895086,7726,outer_2,development,False
machine01_rx_bond0,machine01_tx_bond0,1,True,lightgbm,1,20.13451115688429,,-200,0.6252884159985115,7789,outer_2,development,False
machine01_rx_bond0,machine01_tx_bond0,1,True,lightgbm,8,20.06230113921987,,-1600,5.668740749999415,7726,outer_2,development,False
averageRttWithGoogleDns,,0,False,ridge,1,0.4281653057269236,,33,0.0018837499992514495,8279,outer_2,development,False
averageRttWithGoogleDns,,0,False,ridge,8,0.4257858529579539,,264,0.009172500002023298,8272,outer_2,development,False
averageRttWithGoogleDns,,0,False,lightgbm,1,0.5601967148076067,,-200,0.6266676670020388,8279,outer_2,development,False
averageRttWithGoogleDns,,0,False,lightgbm,8,0.5433281266744271,,-1600,5.234173665998242,8272,outer_2,development,False
averageRttWithGoogleDns,"minRttwithGoogleDns,maxrttWithGoogleDns",2,True,ridge,1,0.44479119776377485,,97,0.007558166998933302,8279,outer_2,development,False
averageRttWithGoogleDns,"minRttwithGoogleDns,maxrttWithGoogleDns",2,True,ridge,8,0.4398168896838482,,776,0.0277240420000453,8272,outer_2,development,False
averageRttWithGoogleDns,"minRttwithGoogleDns,maxrttWithGoogleDns",2,True,lightgbm,1,0.6527183283729282,,-200,0.878644209002232,8279,outer_2,development,False
averageRttWithGoogleDns,"minRttwithGoogleDns,maxrttWithGoogleDns",2,True,lightgbm,8,0.5867878808263077,,-1600,8.426964708000014,8272,outer_2,development,False
jitterWithGoogleDns,,0,False,ridge,1,0.33100163948438543,,33,0.001445999998395564,8246,outer_2,development,False
jitterWithGoogleDns,,0,False,ridge,8,0.3267890908034918,,264,0.009684749998996267,8232,outer_2,development,False
jitterWithGoogleDns,,0,False,lightgbm,1,0.339453736807541,,-200,0.5612538749992382,8246,outer_2,development,False
jitterWithGoogleDns,,0,False,lightgbm,8,0.3379997921389344,,-1600,5.034323541000049,8232,outer_2,development,False
jitterWithGoogleDns,"averageRttWithGoogleDns,minRttwithGoogleDns,maxrttWithGoogleDns",3,True,ridge,1,0.3362186101755566,,129,0.006446084000344854,8246,outer_2,development,False
jitterWithGoogleDns,"averageRttWithGoogleDns,minRttwithGoogleDns,maxrttWithGoogleDns",3,True,ridge,8,0.33303255361812484,,1032,0.038879208001162624,8232,outer_2,development,False
jitterWithGoogleDns,"averageRttWithGoogleDns,minRttwithGoogleDns,maxrttWithGoogleDns",3,True,lightgbm,1,0.4797173951211616,,-200,0.8426720409988775,8246,outer_2,development,False
jitterWithGoogleDns,"averageRttWithGoogleDns,minRttwithGoogleDns,maxrttWithGoogleDns",3,True,lightgbm,8,0.47038171779835697,,-1600,8.015926458003378,8232,outer_2,development,False
