hierarchy,model,horizon,seed,outer_fold,method,top_mae,top_mase,mase_valid,coherence_error,experiment_stage,eligible_for_final_claims
cpu_core_weighted,lstm,1,1,outer_1,mint,1.0583723057649377,0.972924048729973,True,0.0,development,False
cpu_core_weighted,lstm,1,1,outer_1,bottom_up_nn,1.0413836070075946,0.957306941699095,True,0.0,development,False
memory_um,lstm,8,0,outer_1,independent,120526812380.36186,123.48454074287534,True,8.570281028747559,development,False
memory_um,lstm,8,0,outer_1,bottom_up,120526812371.7916,123.48454073409476,True,0.0,development,False
memory_um,lstm,8,0,outer_1,wls,120526812374.68631,123.48454073706051,True,0.0,development,False
memory_um,lstm,8,0,outer_1,mint,120526812374.68631,123.48454073706051,True,0.0,development,False
memory_um,lstm,8,0,outer_1,bottom_up_nn,120526812371.7916,123.48454073409476,True,0.0,development,False
cpu_core_weighted,lstm,8,0,outer_1,independent,1.2499338698868632,1.148877882615003,True,105.15759990625972,development,False
cpu_core_weighted,lstm,8,0,outer_1,bottom_up,1.1139419791183067,1.0238808093433331,True,0.0,development,False
cpu_core_weighted,lstm,8,0,outer_1,wls,1.1856013156077492,1.0897465553311898,True,0.0,development,False
cpu_core_weighted,lstm,8,0,outer_1,mint,1.1969651534475771,1.1001916374834029,True,0.0,development,False
cpu_core_weighted,lstm,8,0,outer_1,bottom_up_nn,1.1139419791183067,1.0238808093433331,True,0.0,development,False
memory_um,lstm,8,1,outer_1,independent,120526812380.87976,123.48454074340594,True,5.4629106521606445,development,False
memory_um,lstm,8,1,outer_1,bottom_up,120526812375.41682,123.48454073780896,True,0.0,development,False
memory_um,lstm,8,1,outer_1,wls,120526812377.262,123.4845407396994,True,0.0,development,False
memory_um,lstm,8,1,outer_1,mint,120526812377.262,123.4845407396994,True,0.0,development,False
memory_um,lstm,8,1,outer_1,bottom_up_nn,120526812375.41682,123.48454073780896,True,0.0,development,False
cpu_core_weighted,lstm,8,1,outer_1,independent,1.0593447517873302,0.9736977169063391,True,40.097757568914254,development,False
cpu_core_weighted,lstm,8,1,outer_1,bottom_up,1.1429758330565063,1.0505673032773613,True,0.0,development,False
