target,horizon,method,mae_mean,mae_std,beat_rate,peak_recall_mean
cluster_UM,8,regime_router,1093995164.5465884,315887151.8479142,0.6666666666666666,0.6948027472559568
cluster_UM,8,ridge,1085300768.7920952,261742331.195525,0.0,0.6533439210463289
cluster_UM,8,static_router,1056526641.8037561,228582470.72372618,0.0,0.6924772765773501
cluster_UM,16,constrained_mixture,1614725630.324033,893023637.5243273,0.0,0.7063511326860841
cluster_UM,16,ens_inverse_mae,1103779511.938803,296936576.68400794,0.3333333333333333,0.7004509638384692
cluster_UM,16,ens_mean,1106657370.5205019,284549704.6091926,0.3333333333333333,0.7022504807466817
cluster_UM,16,ens_stacking,1662654463.8900423,958330557.8285098,0.0,0.7107958116411051
cluster_UM,16,ewma,1206508734.4468184,262399765.14415994,0.0,0.655374044369401
cluster_UM,16,lightgbm,1800398809.0889266,839527065.0925131,0.0,0.7199262464237138
cluster_UM,16,persistence,1058049629.858864,220579749.35824892,0.0,0.7184524647061582
cluster_UM,16,regime_router,1533820886.502,1062143050.6449236,0.3333333333333333,0.7012246142301017
cluster_UM,16,ridge,1084685745.6566374,259495323.3317866,0.0,0.6534769710613949
cluster_UM,16,static_router,1054903702.7319635,225157835.04444635,0.0,0.6926191313728248
cluster_mean_CU,1,constrained_mixture,0.9854661422465959,0.1460786541462344,0.3333333333333333,0.6693640442676432
cluster_mean_CU,1,ens_inverse_mae,1.0828407824083635,0.15460011451275243,0.0,0.6712819207356482
cluster_mean_CU,1,ens_mean,1.0995426118706757,0.15523326481333283,0.0,0.6584875385967931
cluster_mean_CU,1,ens_stacking,0.982353547132432,0.14259064626229087,1.0,0.6715368714404705
cluster_mean_CU,1,ewma,1.3965043688469472,0.24388557526119167,0.0,0.6088137119949459
cluster_mean_CU,1,lightgbm,0.987077954187,0.14619475043202873,0.0,0.6645342660766825
cluster_mean_CU,1,persistence,1.2454132816582313,0.16466625383665295,0.0,0.636782272996926
cluster_mean_CU,1,regime_router,1.021123671621553,0.14846381589326518,0.0,0.6533253379011734
cluster_mean_CU,1,ridge,1.1869143890692744,0.1599426132959033,0.0,0.5804298208218517
cluster_mean_CU,1,static_router,0.987077954187,0.14619475043202873,0.0,0.6645342660766825
cluster_mean_CU,4,constrained_mixture,0.9861141688320836,0.14431312474742478,0.3333333333333333,0.6789021924947374
cluster_mean_CU,4,ens_inverse_mae,1.0828042754267238,0.15338403213718618,0.0,0.6659931114301294
cluster_mean_CU,4,ens_mean,1.0997796820072467,0.15465057568232754,0.0,0.660147799929291
cluster_mean_CU,4,ens_stacking,0.981678347280706,0.1397516369278963,0.6666666666666666,0.6854498115423565
cluster_mean_CU,4,ewma,1.3967439133384503,0.24388606713174626,0.0,0.6088137119949459
cluster_mean_CU,4,lightgbm,0.9853431840595145,0.14386981871230484,0.0,0.6764605360363715
cluster_mean_CU,4,persistence,1.2455764197208652,0.1647317725629187,0.0,0.636782272996926
cluster_mean_CU,4,regime_router,1.0127368810767858,0.14230840726113386,0.0,0.6586920791290972
cluster_mean_CU,4,ridge,1.1870088556821543,0.15997326918316707,0.0,0.5808960212880522
cluster_mean_CU,4,static_router,0.9853431840595145,0.14386981871230484,0.0,0.6764605360363715
cluster_mean_CU,8,constrained_mixture,0.9873155807054204,0.14790277185895262,0.3333333333333333,0.6765128044533287
cluster_mean_CU,8,ens_inverse_mae,1.0829415774107123,0.1545510822612923,0.0,0.6685316495999568
cluster_mean_CU,8,ens_mean,1.099950863978602,0.1551722494210992,0.0,0.6626164800153559
cluster_mean_CU,8,ens_stacking,0.9839105576851516,0.1444759884233302,0.6666666666666666,0.6776474689574052
cluster_mean_CU,8,ewma,1.3968563319243188,0.24361577558647718,0.0,0.6085155529310086
cluster_mean_CU,8,lightgbm,0.9894456436667456,0.14932120394309847,0.0,0.6701028217543935
cluster_mean_CU,8,persistence,1.2457416771268044,0.16466325461284895,0.0,0.6364880370785666
cluster_mean_CU,8,regime_router,1.0112031759129232,0.14164690567429775,0.0,0.6488416853850213
cluster_mean_CU,8,ridge,1.1871093673869246,0.15983441351574645,0.0,0.5814259905190097
cluster_mean_CU,8,static_router,0.9894456436667456,0.14932120394309847,0.0,0.6701028217543935
cluster_mean_CU,16,constrained_mixture,0.9837377354630688,0.14524501792051273,0.3333333333333333,0.6690265629768327
cluster_mean_CU,16,ens_inverse_mae,1.08170562730158,0.1550369105114575,0.0,0.6678047720771932
cluster_mean_CU,16,ens_mean,1.0995809475193354,0.1557162009084173,0.0,0.6582222771073744
cluster_mean_CU,16,ens_stacking,0.9802492109827439,0.14169320296501908,0.6666666666666666,0.6720464388731705
cluster_mean_CU,16,ewma,1.3969012549110402,0.24314944354499973,0.0,0.6085346483356006
cluster_mean_CU,16,lightgbm,0.9844251819655909,0.1456038232444724,0.0,0.6648731290916019
cluster_mean_CU,16,persistence,1.245217730005863,0.16412119643228196,0.0,0.6365130586432045
cluster_mean_CU,16,regime_router,1.0210629054350442,0.15536657705799028,0.0,0.6436241484899111
