family,base_model,horizon,outer_fold,machine,method,mae,mae_vs_local,mae_rel
CU,ridge,4,outer_0,machine02,local,1.2398840825968063,0.0,1.0
CU,ridge,4,outer_0,machine02,global_pooled,1.5093405502335149,0.2694564676367086,1.2173239187588896
CU,ridge,4,outer_0,machine02,global_onehot,1.458586873734565,0.2187027911377588,1.1763897078827796
CU,ridge,4,outer_0,machine02,global_residual,1.2398835147414173,-5.67855388933225e-07,0.9999995420092919
CU,ridge,4,outer_0,machine02,global_embed,1.2229084279011322,-0.01697565469567408,0.9863086760012917
CU,ridge,4,outer_0,machine03,local,0.8871886177218384,0.0,1.0
CU,ridge,4,outer_0,machine03,global_pooled,1.262721072778294,0.3755324550564556,1.4232836710876253
CU,ridge,4,outer_0,machine03,global_onehot,1.256105610595273,0.3689169928734346,1.415827012998381
CU,ridge,4,outer_0,machine03,global_residual,0.8871887276877816,1.0996594312917551e-07,1.000000123948776
CU,ridge,4,outer_0,machine03,global_embed,0.8990454455332774,0.01185682781143893,1.0133644949614946
CU,ridge,4,outer_0,machine04,local,3.2795499680092433,0.0,1.0
CU,ridge,4,outer_0,machine04,global_pooled,3.476589083851755,0.19703911584251177,1.0600811445974456
CU,ridge,4,outer_0,machine04,global_onehot,3.5642705560548062,0.284720588045563,1.0868169690423697
CU,ridge,4,outer_0,machine04,global_residual,3.2795505135040544,5.454948110994451e-07,1.0000001663322151
CU,ridge,4,outer_0,machine04,global_embed,4.207271364150685,0.9277213961414419,1.282880701678892
CU,ridge,4,outer_0,machine05,local,0.6077944979469124,0.0,1.0
CU,ridge,4,outer_0,machine05,global_pooled,0.6356243997508317,0.02782990180391931,1.0457883411217554
CU,ridge,4,outer_0,machine05,global_onehot,0.6359297244891476,0.028135226542235214,1.046290689759901
CU,ridge,4,outer_0,machine05,global_residual,0.6077940533753892,-4.445715232614944e-07,0.9999992685496089
CU,ridge,4,outer_0,machine05,global_embed,0.605697834171301,-0.0020966637756114626,0.9965503738801621
CU,ridge,4,outer_0,machine06,local,0.058339126950547715,0.0,1.0
CU,ridge,4,outer_0,machine06,global_pooled,0.07001285550293442,0.0116737285523867,1.2001011870177996
CU,ridge,4,outer_0,machine06,global_onehot,0.07102857144865339,0.012689444498105676,1.2175117311724963
CU,ridge,4,outer_0,machine06,global_residual,0.05833845160044486,-6.753501028550213e-07,0.9999884237194118
CU,ridge,4,outer_0,machine06,global_embed,0.070479609925768,0.012140482975220288,1.208101896785521
CU,ridge,4,outer_0,machine07,local,0.9605001273747366,0.0,1.0
CU,ridge,4,outer_0,machine07,global_pooled,1.0660613654765076,0.1055612381017711,1.1099023676241395
CU,ridge,4,outer_0,machine07,global_onehot,1.034987450791469,0.07448732341673237,1.0775505606858409
CU,ridge,4,outer_0,machine07,global_residual,0.9605000338004801,-9.357425645450945e-08,0.99999990257757
CU,ridge,4,outer_0,machine07,global_embed,0.9624726782774509,0.0019725509027143096,1.0020536706310552
CU,ridge,4,outer_1,machine01,local,2.4973100688598477,0.0,1.0
CU,ridge,4,outer_1,machine01,global_pooled,3.4474895091596824,0.9501794402998347,1.380481163371772
CU,ridge,4,outer_1,machine01,global_onehot,2.6189528336322567,0.12164276477240898,1.0487095160065347
CU,ridge,4,outer_1,machine01,global_residual,2.4973101201324694,5.127262170390168e-08,1.0000000205311397
CU,ridge,4,outer_1,machine01,global_embed,3.0460420102342693,0.5487319413744216,1.2197291991158097
CU,ridge,4,outer_1,machine02,local,1.2787675221122912,0.0,1.0
CU,ridge,4,outer_1,machine02,global_pooled,1.5217992627433627,0.24303174063107158,1.1900515429337988
CU,ridge,4,outer_1,machine02,global_onehot,1.4680461278203192,0.189278605708028,1.1480164317868928
CU,ridge,4,outer_1,machine02,global_residual,1.2787672912023076,-2.3090998357844228e-07,0.9999998194277071
CU,ridge,4,outer_1,machine02,global_embed,1.3022085468275082,0.02344102471521703,1.0183309509429022
CU,ridge,4,outer_1,machine03,local,0.7666649296425998,0.0,1.0
CU,ridge,4,outer_1,machine03,global_pooled,1.0644013268975214,0.2977363972549216,1.388352702390755
CU,ridge,4,outer_1,machine03,global_onehot,1.056334243516704,0.2896693138741042,1.3778303958799065
CU,ridge,4,outer_1,machine03,global_residual,0.7666653257582295,3.961156297416224e-07,1.0000005166737311
CU,ridge,4,outer_1,machine03,global_embed,0.8353208198599599,0.06865589021736007,1.0895513640481322
CU,ridge,4,outer_1,machine04,local,2.466325684607425,0.0,1.0
CU,ridge,4,outer_1,machine04,global_pooled,2.5930614191198798,0.1267357345124549,1.051386455285863
CU,ridge,4,outer_1,machine04,global_onehot,2.5669505495657163,0.10062486495829148,1.0407995041313078
CU,ridge,4,outer_1,machine04,global_residual,2.466325624611118,-5.999630703357184e-08,0.99999997567381
CU,ridge,4,outer_1,machine04,global_embed,3.5113306482550666,1.0450049636476417,1.4237092327950107
CU,ridge,4,outer_1,machine05,local,0.6034439618703862,0.0,1.0
CU,ridge,4,outer_1,machine05,global_pooled,0.633875680177675,0.030431718307288858,1.0504300651430254
CU,ridge,4,outer_1,machine05,global_onehot,0.6361869446143633,0.032742982743977134,1.054260187876418
CU,ridge,4,outer_1,machine05,global_residual,0.6034439126323824,-4.92380037853124e-08,0.9999999184050105
CU,ridge,4,outer_1,machine05,global_embed,0.628980858317536,0.02553689644714985,1.0423185880723667
CU,ridge,4,outer_1,machine06,local,0.07990703271887102,0.0,1.0
CU,ridge,4,outer_1,machine06,global_pooled,0.15465517234118056,0.07474813962230954,1.9354388103145876
CU,ridge,4,outer_1,machine06,global_onehot,0.1598384271847485,0.07993139446587748,2.0003048761313935
CU,ridge,4,outer_1,machine06,global_residual,0.07990505231252434,-1.980406346677177e-06,0.9999752161195418
CU,ridge,4,outer_1,machine06,global_embed,0.15816896464472008,0.07826193192584906,1.9794123153238619
CU,ridge,4,outer_1,machine07,local,0.9820606705991297,0.0,1.0
CU,ridge,4,outer_1,machine07,global_pooled,1.0571310745537779,0.07507040395464815,1.0764417170976306
CU,ridge,4,outer_1,machine07,global_onehot,1.028624105732942,0.046563435133812225,1.047414010689793
CU,ridge,4,outer_1,machine07,global_residual,0.9820606115010364,-5.9098093307952126e-08,0.9999999398223602
CU,ridge,4,outer_1,machine07,global_embed,1.0100090650466138,0.027948394447484093,1.0284589285409764
CU,ridge,4,outer_2,machine01,local,2.9034671279682662,0.0,1.0
CU,ridge,4,outer_2,machine01,global_pooled,3.7862025777438575,0.8827354497755913,1.3040280502136408
CU,ridge,4,outer_2,machine01,global_onehot,2.9811807752180686,0.07771364724980234,1.0267658092289762
CU,ridge,4,outer_2,machine01,global_residual,2.9034669496435233,-1.7832474297208023e-07,0.9999999385821381
CU,ridge,4,outer_2,machine01,global_embed,3.518357126673004,0.6148899987047378,1.2117778406311814
CU,ridge,4,outer_2,machine02,local,1.271443524516723,0.0,1.0
CU,ridge,4,outer_2,machine02,global_pooled,1.4498805776720813,0.1784370531553583,1.1403420991295563
CU,ridge,4,outer_2,machine02,global_onehot,1.402466725096235,0.131023200579512,1.1030507435470356
CU,ridge,4,outer_2,machine02,global_residual,1.2714431579344345,-3.665822885245973e-07,0.9999997116802426
CU,ridge,4,outer_2,machine02,global_embed,1.1863101484737124,-0.08513337604301063,0.9330419523939375
CU,ridge,4,outer_2,machine03,local,2.236369193586679,0.0,1.0
CU,ridge,4,outer_2,machine03,global_pooled,2.5261108670061097,0.2897416734194307,1.1295589629164693
CU,ridge,4,outer_2,machine03,global_onehot,2.5229811889806797,0.28661199539400073,1.1281595168704384
CU,ridge,4,outer_2,machine03,global_residual,2.2363691602824494,-3.330422959635371e-08,0.9999999851079018
CU,ridge,4,outer_2,machine03,global_embed,2.1101111020035677,-0.1262580915831113,0.9435432700713342
CU,ridge,4,outer_2,machine04,local,4.134870268572278,0.0,1.0
CU,ridge,4,outer_2,machine04,global_pooled,4.828827251959642,0.6939569833873644,1.1678304126400028
CU,ridge,4,outer_2,machine04,global_onehot,4.465355285102715,0.3304850165304378,1.0799263326451474
CU,ridge,4,outer_2,machine04,global_residual,4.134869776133692,-4.924385859084168e-07,0.9999998809059163
CU,ridge,4,outer_2,machine04,global_embed,4.680260845906216,0.5453905773339383,1.13190028753242
CU,ridge,4,outer_2,machine05,local,0.498958684322351,0.0,1.0
CU,ridge,4,outer_2,machine05,global_pooled,0.5365572035024526,0.0375985191801016,1.0753539729069255
CU,ridge,4,outer_2,machine05,global_onehot,0.5414532351905676,0.04249455086821663,1.0851664721016523
CU,ridge,4,outer_2,machine05,global_residual,0.49895842955503666,-2.547673143560303e-07,0.9999994894019838
CU,ridge,4,outer_2,machine05,global_embed,0.51765234064238,0.01869365632002895,1.037465339130067
