target,horizon,outer_fold,router,selected,constituent,selected_flag
machine01_CU,4,outer_1,static,lightgbm,lightgbm,1.0
machine01_CU,4,outer_1,regime,per_timestep,persistence,0.14029468289557975
machine01_CU,4,outer_1,regime,per_timestep,ewma,0.1210762331838565
machine01_CU,4,outer_1,regime,per_timestep,ridge,0.032543241511851374
machine01_CU,4,outer_1,regime,per_timestep,lightgbm,0.7060858424087124
machine01_CU,8,outer_1,static,lightgbm,persistence,0.0
machine01_CU,8,outer_1,static,lightgbm,ewma,0.0
machine01_CU,8,outer_1,static,lightgbm,ridge,0.0
machine01_CU,8,outer_1,static,lightgbm,lightgbm,1.0
machine01_CU,8,outer_1,regime,per_timestep,persistence,0.1389856755710414
machine01_CU,8,outer_1,regime,per_timestep,ewma,0.07446122080268422
machine01_CU,8,outer_1,regime,per_timestep,ridge,0.028777906826687315
machine01_CU,8,outer_1,regime,per_timestep,lightgbm,0.757775196799587
machine01_CU,16,outer_1,static,lightgbm,persistence,0.0
machine01_CU,16,outer_1,static,lightgbm,ewma,0.0
machine01_CU,16,outer_1,static,lightgbm,ridge,0.0
machine01_CU,16,outer_1,static,lightgbm,lightgbm,1.0
machine01_CU,16,outer_1,regime,per_timestep,persistence,0.14364279167212257
machine01_CU,16,outer_1,regime,per_timestep,ewma,0.07791017415215398
machine01_CU,16,outer_1,regime,per_timestep,ridge,0.05604294880188556
machine01_CU,16,outer_1,regime,per_timestep,lightgbm,0.7224040853738379
machine06_CU,1,outer_1,static,lightgbm,persistence,0.0
machine06_CU,1,outer_1,static,lightgbm,ewma,0.0
machine06_CU,1,outer_1,static,lightgbm,ridge,0.0
machine06_CU,1,outer_1,static,lightgbm,lightgbm,1.0
machine06_CU,1,outer_1,regime,per_timestep,persistence,0.11980185112762352
machine06_CU,1,outer_1,regime,per_timestep,ewma,0.0449745795854517
machine06_CU,1,outer_1,regime,per_timestep,ridge,0.09359926997783861
machine06_CU,1,outer_1,regime,per_timestep,lightgbm,0.7416242993090861
machine06_CU,4,outer_1,static,lightgbm,persistence,0.0
machine06_CU,4,outer_1,static,lightgbm,ewma,0.0
machine06_CU,4,outer_1,static,lightgbm,ridge,0.0
machine06_CU,4,outer_1,static,lightgbm,lightgbm,1.0
machine06_CU,4,outer_1,regime,per_timestep,persistence,0.14013659049120042
